Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x3][0x18],9 [0x3][0x19],10 [0x3][0x1a],11 [0x5][0x14],12 [0x5][0x16],13 [0x7][0x10]
0,"宝箱",0,"",0,0,1,0,0,0,0,0,0,0,0
1,"",0,"",0,0,1,0,0,1,10,3,1,0,1598
2,"",0,"",0,0,1,0,0,2,10,3,1,1,1597
3,"",0,"",0,0,1,0,0,3,0,1,1,0,1596
4,"",0,"",0,0,1,0,0,0,0,1,1,0,1598
5,"",0,"",0,0,1,0,0,0,0,0,0,0,0
6,"",0,"",0,0,1,0,0,0,0,0,0,0,0
7,"",0,"",0,0,1,0,0,0,0,0,0,0,0
8,"",0,"",0,0,1,0,0,0,0,0,0,0,0
9,"",0,"",0,0,1,0,0,0,0,0,0,0,0
10,"",0,"",0,0,1,0,0,0,0,1,1,0,1598
11,"",0,"",0,0,1,0,0,3,0,1,4,0,1598
12,"",0,"",0,0,1,0,0,3,0,2,5,0,1597
13,"",0,"",0,0,1,0,0,3,0,3,6,0,1596
14,"",0,"",0,0,1,0,0,3,0,3,7,0,1596
15,"",0,"",0,0,1,0,0,3,0,3,8,0,1596
16,"",0,"",0,0,1,0,0,3,0,2,9,0,1597
17,"",0,"",0,0,1,0,0,3,0,2,10,0,1597
18,"",0,"",0,0,1,0,0,3,0,3,11,0,1596
19,"",0,"",0,0,1,0,0,3,0,3,12,0,1596
20,"",0,"",0,0,1,0,0,3,0,3,13,0,1596
21,"",0,"",0,0,1,0,0,3,0,2,14,0,1597
22,"",0,"",0,0,1,0,0,3,0,3,15,0,1596
23,"",0,"",0,0,1,0,0,3,0,2,16,0,1597
24,"",0,"",0,0,1,0,0,3,0,3,17,0,1596
25,"",0,"",0,0,1,0,0,3,0,3,18,0,1596
26,"",0,"",0,0,1,0,0,3,0,3,19,0,1596
27,"",0,"",0,0,1,0,0,3,0,1,20,0,1598
28,"",0,"",0,0,1,0,0,3,0,2,21,0,1597
29,"",0,"",0,0,1,0,0,3,0,3,22,0,1596
30,"",0,"",0,0,1,0,0,3,0,3,23,0,1596
31,"",0,"",0,0,1,0,0,3,0,3,73,0,1596
32,"",0,"",0,0,1,0,0,3,0,3,73,0,1596
33,"",0,"",0,0,1,0,0,3,0,2,21,0,1597
34,"",0,"",0,0,1,0,0,3,0,2,21,0,1597
35,"",0,"",0,0,1,0,0,3,0,2,22,0,1597
36,"",0,"",0,0,1,0,0,3,0,2,22,0,1597
37,"",0,"",0,0,1,0,0,3,0,2,23,0,1597
38,"",0,"",0,0,1,0,0,3,0,2,23,0,1597
39,"",0,"",0,0,1,0,0,0,0,13,24,0,0
40,"",0,"",0,0,1,0,0,0,0,14,25,0,0
41,"",0,"",0,0,1,0,0,0,0,15,26,0,0
42,"",0,"",0,0,1,0,0,0,0,15,27,0,0
43,"",0,"",0,0,1,0,0,0,0,15,28,0,0
44,"",0,"",0,0,1,0,0,0,0,15,29,0,0
45,"",0,"",0,0,1,0,0,0,0,15,30,0,0
46,"",0,"",0,0,1,0,0,0,0,1,31,0,1598
47,"",0,"",0,0,1,0,0,0,0,2,32,0,1597
48,"",0,"",0,0,1,0,0,0,0,3,33,0,1596
49,"",0,"",0,0,1,0,0,0,0,3,34,0,1596
50,"",0,"",0,0,1,0,0,0,0,3,35,0,1596
51,"",0,"",0,0,1,0,0,3,0,1,40,0,1598
52,"",0,"",0,0,1,0,0,3,0,2,41,0,1597
53,"",0,"",0,0,1,0,0,3,0,2,42,0,1597
54,"",0,"",0,0,1,0,0,3,0,2,43,0,1597
55,"",0,"",0,0,1,0,0,3,0,3,44,0,1596
56,"",0,"",0,0,1,0,0,3,0,3,45,0,1596
57,"",0,"",0,0,1,0,0,3,0,3,46,0,1596
58,"",0,"",0,0,1,0,0,3,0,3,47,0,1596
59,"",0,"",0,0,1,0,0,3,0,3,48,0,1596
60,"",0,"",0,0,1,0,0,3,0,2,36,0,1597
61,"",0,"",0,0,1,0,0,0,0,3,35,0,1596
62,"",0,"",0,0,1,0,0,3,0,2,37,0,1597
63,"",0,"",0,0,1,0,0,3,0,2,38,0,1597
64,"",0,"",0,0,1,0,0,3,0,2,39,0,1597
65,"",0,"",0,0,1,0,0,3,0,3,49,0,1596
66,"",0,"",0,0,1,0,0,3,0,3,50,0,1596
67,"",0,"",0,0,1,0,0,3,0,3,51,0,1596
68,"",0,"",0,0,1,0,0,3,0,3,52,0,1596
69,"",0,"",0,0,1,0,0,3,0,3,53,0,1596
70,"",0,"",0,0,1,0,0,3,0,3,54,0,1596
71,"",0,"",0,0,1,0,0,3,0,3,55,0,1596
72,"",0,"",0,0,1,0,0,3,0,2,56,0,1597
73,"",0,"",0,0,1,0,0,3,0,2,57,0,1597
74,"",0,"",0,0,1,0,0,3,0,2,58,0,1597
75,"",0,"",0,0,1,0,0,3,0,2,59,0,1597
76,"",0,"",0,0,1,0,0,3,0,2,60,0,1597
77,"",0,"",0,0,1,0,0,3,0,2,61,0,1597
78,"",0,"",0,0,1,0,0,3,0,2,62,0,1597
79,"",0,"",0,0,1,0,0,3,0,1,63,0,1598
80,"",0,"",0,0,1,0,0,2,10,2,64,65,1597
81,"",0,"",0,0,1,0,0,2,20,2,66,67,1597
82,"",0,"",0,0,1,0,0,2,20,2,68,69,1597
83,"",0,"",0,0,1,0,0,2,20,2,70,71,1597
84,"",0,"",0,0,1,0,0,3,0,1,72,0,1598
85,"",0,"",0,0,1,0,0,3,0,1,74,0,1598
86,"",0,"",0,0,1,0,0,3,0,3,82,0,1596
87,"",0,"",0,0,1,0,0,3,0,3,83,0,1596
