Index,0 [0x0][0x0]
0,""
1,"かつて密猟者や森林放火魔といった重犯罪人を収監するために利用されていた監獄。千の口を持つ伝説の魔物の名にちなみ、「トトラク」と渾名された看守が、囚人たちに厳しい拷問と制裁を加えていたと伝えられる。\n恐るべきこの監獄が閉鎖されたのは30数年前の事。当時の幻術皇により、「人の道に反する」として閉じられてからというもの、地下監獄は管理する者もなく、魔物たちが巣喰う廃墟と化していたのだが……。"
2,"地下都市「ゲルモラ」時代に作られた地下墓所。森都「グリダニア」建国後も、死者を葬る場として使われ続けてきた。\nそんな場所に怪しげな人影が……。彼らの正体は、霊災時に落下した月の衛星「ダラガブ」を、救世神として崇めていたカルト集団「最後の群民」の生き残り。危険な終末思想を抱く彼らは、救世神の降臨を阻止した者たちに復讐すべく、墓所の遺体を依代に邪悪な妖異を召喚しようとしていた。"
3,"鉱脈が枯れたことで300年前に放棄された銅山。その採掘権を得た「アマジナ鉱山社」は、最新の採掘技術を用いて再開発に着手した。\nしかし、最深部の岩盤を爆破したとき、その内部から巨人族が出現。採掘師たちに襲いかかったのだった。襲撃者の正体は、ソーン朝ウルダハ時代に奴隷種族として使役され、反乱を起こしたため地下に封じられた「ヘカトンケイレス族」。自由と復讐を求めて暴れる巨人族を鎮圧せよ。"
4,"エールポート近海の幻影諸島付近にて、不審船が目撃された。この一報を受けた警備隊「イエロージャケット」は、サハギン族と協力関係にある海賊団「海蛇の舌」の活動を警戒。目撃地に近いスカルバレー沿岸のどこかに、彼らの拠点が築かれているのではないかとの疑いを強めていた。\nそんな折、怪しい者たちが「サスタシャ浸食洞」と呼ばれる洞窟に出入りしているとの情報が寄せられたことで、状況が動き出す。"
5,"黄金色に輝く沼から、金粉を散らしたような美しい霧が立ち上る美しき地。だが、その霧は硫黄と霊銀鉱が、地下水によって反応を起こした結果生み出されるもので、身体を蝕む毒を有している。\nある者はその光景に魅せられ、ある者は金脈を求めて、またある者はここで死した者たちの遺品を求めて、この美しき洞穴に挑む。だが、洞穴から出る者の姿は、あまりにも少ない。"
6,"歴代の幻術皇の住まいとして使われていたものの、改革者として知られた先々代の幻術皇が「贅沢に過ぎる」として手放した元御用邸。この邸宅を買い取ったのは、さるフォレスター族の名門一家であった。\n現当主アマンディヌは、美貌で知られる妙齢の女性。しかし、その女主人は霊災で顔面に深い傷を負って以来、人前に姿を現さなくなっていた。彼女が失われた美を取り戻すため、契約した者とは？"
7,"ウルダハのコロセウム財団が、傘下の闘士たちを鍛えるために設立した修練所。その内部では、興行に出す魔物や野獣も飼育されていた。だが、第七霊災直後の混乱期に施設は放棄。主を失った魔獣たちは、エサを与えられることなく、餓死したものと思われていた。\nしかし、5年の月日を経て、施設再建のために立ち入った者が見たのは、過酷な生存競争を勝ち抜き、凶暴さを増した魔獣たちの姿だった。"
8,"密林と化したレインキャッチャー樹林に、ブレイフロクスに率いられたゴブリン族の一団が野営地を築いた。しかし、彼らは生活圏を広げるうちに、決して目覚めさせてはならない存在の眠りを妨げてしまう。\n野営地は巨大な影に襲われ、ゴブリンたちは避難を余儀なくされた。しかし、放浪の旅で得たすべての財産が野営地には残されている。諦めきれないブレイフロクスは、虎視眈々と野営地の奪還を狙っていた。"
9,"灼熱の太陽に焼かれた地、南ザナラーン。その東部には、半ば地中に埋没した遺跡があるという。人呼んで「カルン埋没寺院」。\n砂都「ウルダハ」の母体になったと伝えられる、古代都市「ベラフディア」の歴代の王たちが、守護神として崇めていた太陽の女神「アーゼマ」を祀って建てたこの壮大な遺跡に隠されるものとは……。盗掘者を防ぐため、魔法仕掛けの罠が張り巡らされた埋没寺院を踏破せよ。"
10,"霊災と蛮神「タイタン」による大地震の影響により、ブロンズレイクを支えていた地盤は歪み、その水位は大きく低下した。鉄砲水が流れ去った後、人々が目にしたのは、浅くなった湖に浮かぶ大神殿の姿……。\nそこに祀られるのは、放浪神「ワンダラー」とも呼ばれる旅神「オシュオン」。1500年以上前に栄えた古代都市「ニーム」の守護神である。かくして秘宝を求める冒険者による、探究が始まったのだった。"
11,"雲海にそそり立つ宗教都市「イシュガルド」。その防衛の要とされていた防空城塞「ストーンヴィジル」は、ドラゴン族の猛攻の前に、あえなく陥落。皮肉なことに、今ではドラゴン族とその眷属のねぐらと化している。\n一方、のど元に爪を突き立てられた格好のイシュガルドは、名門「デュランデル家」の騎兵団を動員。奪還作戦を展開しているのだが、未だに結果は出ていない。果たしてこの膠着状態を打破する鍵とは。"
