Index,0 [0x0][0x0]
0,""
1,"OK"
2,"Cancel"
3,"Yes."
4,"No."
5,"Quit"
6,"<switch:<color #F3F3F3>/<color #C0FFC0>/<color #5990FF>/<color #B38CFF>/<color #FFA666>/<color #FFE119>/<color #FA89B6>/<color #E9C29C>>"
7,"None"
8,"..."
9," "
10,"Japanese"
11,"English"
12,"German"
13,"French"
14,"Simplified Chinese"
15,"Online ID: <value>"
16,"..."
17,"<value>"
18,"<value>"
19,"<value>/<value>"
20,"<value>"
21,"<if:<value>/<value>/<value>/<value>/<value>/<value>> <value>:<value>"
22,"<if:<value>/<value>/<value>/<value>/<value>/<value>> <value>:<value>"
23,"<if:<value>/<value>/<value>/<value>/<value>/<value>>"
24,"<if:<value>/<value>/<value>/<value>/<value>/<value>>"
25,"<if:<value>/<value>/<value>/<value>>"
26,"<if:<value>/<value>/<value>/<value>/<value>/<value>>"
27,"<if:<value>/<value>/<value>/<value>>"
28,"<if:#s>:<value> <if:p.m./a.m.>"
29,"<if:#s>:<value> <if:p.m./a.m.>"
30,"<value>:<value>:<value>"
31,"<if: 12/<value>/<value>>:<value>:<value>"
32,"<value>:<value>:<value>"
33,"<value>:<value>"
34,"<if:<switch:>>:<value> <if:p.m./a.m.>"
35,"Lv. <value>"
36,"Lv. <if: 0/+<value>/<value>>"
37,"《<value>》"
38,"<value>.<value>"
39,"A few minutes ago"
40,"<value>m"
41,"<value>h"
42,"<value>d"
43,"<value>"
44,"<value>m"
45,"<value>h"
46,"//"
47,"//"
48,":"
49,"<value>s"
50,"Send Tell"
51,"View Search Info"
52,"Edit Search Info"
53,"Trade"
54,"Invite to Party"
55,"Promote"
56,"Kick from Party"
57,"Attack"
58,"Examine"
59,"Add to Blacklist"
60,"Remove from Blacklist"
61,"Send Friend Request"
62,"Cancel Friend Request"
63,"Accept Friend Request"
64,"Decline Friend Request"
65,"Remove from Friend List"
66,"View"
67,"Reply"
68,"Delete"
69,"Remove Item"
70,"Follow"
71,"Hide Linkshell Log"
72,"Show Linkshell Log"
73,"Activate Linkshell"
74,"Disband Linkshell"
75,"Accept Linkshell Invite"
76,"Decline Linkshell Invite"
77,"Quit Linkshell"
78,"Promote to Linkshell Master"
79,"Promote to Linkshell Leader"
80,"Demote from Linkshell Leader"
81,"Kick from Linkshell"
82,"Deactivate Linkshell"
83,"Invite to Linkshell"
84,"Step Down as Linkshell Leader"
85,"Remove"
86,"Split Tab"
87,"Delete Tab"
88,"Hand Over"
89,"Unequip"
90,"Use"
91,"Discard"
92,"Split"
93,"Sell"
94,"Attach"
95,"Trade"
96,"Equip"
97,"Entrust to Retainer"
98,"Retrieve from Retainer"
99,"Put Up for Sale"
100,"Copy"
101,"Paste"
102,"Cut"
103,"Execute"
104,"Delete"
105,"Undo"
106,"Redo"
107,"Repair"
108,"Leave party and abandon your current duty?"
109,"Abandon your current duty?"
110,"<color #FF8080>Discard <if:<item>/<value> <item>>?</color>"
111,"Return to <item>?"
112,"Accept Raise?"
113,"Accept Rebirth from <value>?"
114,"Equip items in gear set <value> (<value>)?"
115,"Log out and return to the title screen?"
116,"Log out and exit the game?"
117,"Return to your home point?"
118,"Return to the starting point for\n“<value>”?"
119,"Return to the starting point for\n“<value>”?"
120,"Join <value>'s party?"
121,"Decline <value>'s party invite?"
122,"Leave party?"
123,"Disband party?"
124,"Add <value> to your blacklist?"
125,"Remove <value> from your blacklist?"
126,"Accept friend request from <value>?"
127,"Decline friend request from <value>?"
128,"Cancel friend request to <value>?"
129,"Remove <value> from your friend list?"
130,"Send letter to <value>?"
131,"Letters can only be sent to players on your friend list. <value> is not on that list."
132,"Delete this letter?"
133,"To send this message, you must first select a recipient from your friend list."
134,"Accept linkshell invite to “<value>”?"
135,"Decline linkshell invite to “<value>”?"
136,"Quit “<value>”?"
137,"You will not be able to restore this linkshell once it has been disbanded. Are you sure this is what you want?"
138,"Yes. This is absolutely what I want."
139,"Expel <value> from your linkshell?"
140,"Promote <value> to linkshell leader?"
141,"Demote <value> from linkshell leader?"
142,"Promote <value> to linkshell master, transferring all rights associated with the position?"
143,"Yes, immediately."
144,""
145,"Timers"
146,"<2b?:0xff, 0x19, 0x2>"
147,"Next Leve Allowance"
148,"  <value>:<value> Remaining  <value><if:<value>/<value>/<value>/<value>> <value>:<value><value>"
149,"Send friend request to <value>?"
150," "
151,"Are you certain you wish to use the collectable?"
152,"Discard collectable."
153,"<color #FF8080>Discard <item><if: (Collectability Rating: <value>)/none>?</color>"
154,"Lower Quality"
155,"<color #FF8080>Lower the quality of <if:<item>/<value> <item>> resulting in the following:</color>"
156,"<color #FF8080>Lower the quality of <item> (Collectability Rating: <value>) resulting in the following:</color>"
157,"Lower quality of collectable."
158,"Lower quality of item."
165,"Kick <value> from party?"
166,"<value> wishes to teleport you to <item>."
167,"　 <if:<switch:<icon:53>/<icon:54>/<icon:65>/<icon:66>/<icon:67>>/<icon:52>> <ref:PlaceName>."
168,"Accept"
169,"Decline"
170,"Party Invite"
171,"Friend Request"
172,"Linkshell Invite"
173,"Promote <value> to party leader?"
174,"Invite to <value>"
175,"Solo"
176,"Party"
177,"Light Party"
178,"Full Party"
179,"Mounted"
180,"Disciplines of War"
181,"Disciplines of Magic"
182,"Disciplines of the Land"
183,"Disciplines of the Hand"
184,"Specialized Job"
185,""
186,"Teleport"
187,"Select a destination.\nCurrent Gil: <value>"
190,""
191,""
192,""
193,""
194,"Return to the starting point for\n“<value>”?"
195,"Exit the game?"
196,"Return to <item>?"
198,"<value>\n<if: <value>m /<value>s>"
199,"<value> wishes to teleport you to <switch:New Gridania/Bentbranch Meadows/the Hawthorne Hut/Quarrymill/Camp Tranquil/Fallgourd>."
200,"\n<color #FF7B1A>Spell ready in <if:<value> <if:minute/minutes>/<if:less than a minute/less than 30 seconds>>.</color>"
201,"Trade"
202,""
203,"Trade"
204,"Cancel"
205,"gil"
206,"Specify quantity."
207,"Distancing yourself from the target will cause the trade to be canceled."
208,"OK"
209,"<icon:11> Withdraw Item"
210,"Synthesis"
211,""
212,"Quit"
213,"Progress"
214,"Durability"
215,"Condition"
216,"Quality"
217,"HQ"
218,"Step"
219,"/"
220,"Quick Synthesis"
221,""
222,"Quit"
223,"Succeeded"
224,"Failed"
225,"/"
226,"Normal"
227,"Good"
228,"Excellent"
229,"Poor"
230,"Character"
231,""
232,"HP"
233,"MP"
234,"TP"
235,"Attributes"
236,"Strength"
237,"Vitality"
238,"Dexterity"
239,"Intelligence"
240,"Mind"
241,"Piety"
242,"Elements"
243,"Fire"
244,"Water"
245,"Lightning"
246,"Wind"
247,"Earth"
248,"Ice"
249,""
250,""
251,""
252,""
253,""
254,""
255,"Physical Properties"
256,"Attack Power"
257,"Defense"
258,"Accuracy"
259,"Evasion"
260,"Mental Properties"
261,"Attack Magic Potency"
262,"Healing Magic Potency"
263,"Magic Accuracy"
264,"Enhancing Magic Potency"
265,"Enfeebling Magic Potency"
266,"Magic Evasion"
267,"Damage"
268,"Delay"
269,"Defensive Properties"
270,"Block Rate"
271,"Block Strength"
272,"Parry"
273,"Crafting"
274,"Craftsmanship"
275,"Control"
276,"Gathering"
277,"Gathering"
278,"Perception"
279,"Magic Defense"
280,"Skip"
281,"Skip cutscene?"
282,"<icon:11> Delete<if:  <icon:12> Keyboard/>"
283,"♀"
284,"♂"
285,"Physical Damage"
286,"Auto-attack"
287,"Delay"
288,"Magic Damage"
289,"※In the release version, the\nsilhouette displayed here will\nbe replaced with a 3D model."
290,"Social"
291,""
292,"Search Conditions"
293,"Name"
294,"Class/Job"
295,"GC"
296,"Location"
297,"Company"
298,"Lang."
299,"The list is empty."
300,"Blacklist"
301,""
302,"Add"
303,"Name"
304,"The list is empty."
305,"Search Info"
306,""
307,"<if:<i><value></i>/<value>>"
308," «<value>»"
309,"<value> (<value>)"
310,"Party"
311,""
312,"Leave"
313,"Disband"
314,"Name"
315,"Class/Job"
316,"GC"
317,"Location"
318,"Company"
319,"Lang."
320,""
321,"There are no party members."
322,"<icon:9> Change Order  <icon:11> Subcommands"
323,"<value>.<value>"
324,"<icon:12> Execute Search"
325,"Search"
326,""
327,"Execute"
328,"Cancel"
329,"Reset"
330,"First Name"
331,"Last Name"
332,"Name"
333,"Online Status"
334,"Class/Job"
335,"Level"
336,"Location"
337,"Grand Company"
338,"Language"
339,"No search results."
340,"OK"
341,"Cancel"
342,"Search Comment"
343,"Up to 200 search results displayed."
344,"Highlighted letters indicate the languages available to the player: Japanese (J), English (E), German (D), French (F). The underlined letter indicates the current client language."
345,"Add"
346,"Update"
347,"Add Player to Blacklist"
348,"Add Player to Friend List"
349,"Move online players to top of list."
350,"Shop"
351,""
352,"Current Stock"
353,"Buyback"
354,"Select quantity."
355,"Item"
356,"Quantity"
357,"Price"
358,"Bag"
359,"<icon:11> Subcommands  <icon:9> Purchase　<icon:12> Select Item to Sell"
360,"Item Request"
361,""
362,"Hand Over"
363,"Cancel"
365,"The Buyback list contains a record of the last 10 items sold."
366,"Once an item is removed from the list, it cannot be bought back."
367,"The list will be cleared upon changing areas."
368,"<2b?:0xff, 0x7, 0x2>"
369,"Unknown"
370,"Hide Log Window"
371,"<color #FF7B1A></color><value>"
372,"Edit Macro"
373,"What would you like to do?"
390,"Need"
391,"Greed"
392,"Pass"
393,"Unique"
394,"s"
395,"Treasure Coffer"
397,"This item has materia attached. Are you certain you wish to sell it?"
398,"Your spiritbond with this item is 100%. Are you certain you wish to sell it?"
399,"This item is unique and untradable. Are you certain you wish to sell it?"
400,"User Macros"
401,""
402,"Text Commands"
403,"Dictionary"
404,"Name"
405,"Macro #"
406,"Icons"
407,""
408,"<icon:11> Subcommands  <icon:12> Text Commands"
410,"Linkshells"
411,""
412,"List"
413,"Name"
414,"Class/Job"
415,"GC"
416,"Location"
417,"Company"
418,"Lang."
419,"Online: <value>"
420,"Moogle Delivery Service"
421,""
422,"Unopened"
423,"Opened"
424,"New"
425,"Select amount."
426,"<value> / "
427,"<icon:11> Subcommand  <icon:12> New Letter"
428,"You have no unopened letters."
429,"You have no opened letters."
430,"Take All"
431,"Delete"
432,""
433,"Reply"
434,"Recipient"
435,"<icon:11> Subcommands"
436,"<icon:9><icon:11>Subcommands  <icon:10>Back"
437,"Number of system letters. Up to 10 are saved."
438,"Number of campaign item letters. Up to 20 are saved."
439,"Number of letters with attachments from friends. Up to 20 attachments are saved."
440,"Letter Editor"
441,""
442,"Edit"
443,"Send"
444,""
445,"Body"
446,"<?0x2e>"
447,"Discard the letter and return any attached items or gil to your inventory?"
448,"<icon:9> Target Attachment"
449,"<icon:11> Prioritize in Duty List <icon:25> Scroll"
