Index,0 [0x5][0x8],1 [0x0][0x0],2 [0x0][0x4],3 [0x5][0xa],4 [0x3][0xc]
0,0,"","",0,0
1,0,"Sibyllinischer Singsang","",1,109
2,1,"Der Schatz im Meer","",2,109
3,2,"Llymlaens Legende","",3,109
4,3,"Duell an Deck","",4,109
5,4,"Der Himmel brennt","",5,109
6,5,"Der Fluch des Waldes","",6,109
7,6,"Der Groll der Gebieter","",7,109
8,7,"Der Wald ruft","",8,109
9,8,"Ein bewegtes Fest","",9,109
10,9,"Die goldene Stadt","",10,109
11,10,"Kollateralschaden","",11,109
12,11,"Die latente Gefahr","",12,109
13,12,"Beginn einer Freundschaft","",13,109
14,13,"Rettung der Sylphen","",14,109
15,14,"Zwischen den Fronten","",15,109
16,15,"Ein kühner Plan","",16,109
17,16,"Der Gott der Flammen","",17,109
18,17,"Befreiung der Befreier","",18,109
19,18,"In eine unsichere Zukunft","",19,109
20,59,"Die Macht des Geldes","",20,111
21,60,"Die Falschgeldaffäre","",21,111
22,61,"Die Kehrseite der Münze","",22,111
23,79,"Das Debüt","",23,111
24,80,"Der Preis der Freiheit","",24,111
25,81,"Das große Turnier","",25,111
26,99,"Blutiger Baptismus","",26,111
27,100,"Der Piratenball","",27,111
28,101,"Befehl des Kapitäns","",28,111
29,139,"Tipps für Abenteurer","",29,111
30,140,"Tipps für Abenteurer","",30,111
31,141,"Tipps für Abenteurer","",31,111
32,143,"Auswahl eines neuen Partners","",32,111
33,159,"Gemeinsam stark","",33,111
34,160,"Der finstere Wald","",34,111
35,161,"Schatten der Vergangenheit","",35,111
36,179,"Kein Grund zum Klagen","",36,111
37,180,"Lockruf des Goldes","",37,111
38,181,"Sicheres Geleit","",38,111
39,239,"Bestellte Blutrache","",39,111
40,240,"Die Rivalin","",40,111
41,241,"Die Lehre Nald'thals","",41,111
42,259,"Im Dienste der Gebieter","",42,111
43,260,"Des Ritters Traum","",43,111
44,261,"Stimmen im Wind","",44,111
45,299,"Kleine Lehrer","",45,111
46,300,"Kleine Teufel","",46,111
47,301,"Ausflug ins Grüne","",47,111
48,319,"Auf einem Ohr taub","",48,111
49,320,"Sirenengesang","",49,111
50,321,"Insel der Versuchungen","",50,111
51,359,"Von herrlicher Gestalt","",51,111
52,360,"F'lhaminns Blume","",52,111
53,361,"Die Kordialklinge","",53,111
54,379,"Lebensrettendes Leder","",54,111
55,380,"Markenschutz muss sein","",55,111
56,381,"Reparatur-Abitur","",56,111
57,399,"Akt I: Rot","",57,111
58,400,"Akt II: Asche","",58,111
59,401,"Akt III: Schnee","",59,111
60,419,"Abgrundtiefer Schlaf","",60,111
61,420,"Der Jüngling und der Drache","",61,111
62,421,"Träum ich oder wach ich","",62,111
63,439,"Showdown","",63,111
64,440,"Der verschwundene Kunde","",64,111
65,441,"Die Suppe versalzen","",65,111
66,459,"Ein Fragment vergangener Zeiten","",66,111
67,460,"Sabotage","",67,111
68,461,"Die Ausreißerin","",68,111
69,479,"Die Wurzeln Gridanias","",69,111
70,480,"Fernweh","",70,111
71,481,"Mogrys auf Blumen betten","",71,111
72,499,"Fischrücken bezwingen","",72,111
73,500,"Terz am Teich","",73,111
74,501,"Eine gute Zeit","",74,111
75,626,"Götterdämmerung, Akt I „Ifrit“","",75,110
76,632,"Verhört, versenkt, verzweifelt","",76,110
77,633,"Endgültige Übergangslösung","",77,110
78,635,"Auge um Auge","",78,110
79,637,"Der richtige Pfiff","",79,110
80,638,"Harte Schale, weicher Kern","",80,110
81,639,"Der verlorene Sohn","",81,110
82,640,"Werben und umwerben","",82,110
83,641,"Das Rauschen des Meeres","",83,110
84,642,"Im Trüben fischen","",84,110
85,643,"Vom richtigen Zeitpunkt","",85,110
86,645,"Dreck am Stecken","",86,110
87,647,"Im Namen der Kunst","",87,110
88,652,"Der Widerspenstigen Zähmung","",88,110
89,653,"Pfade der Erleuchtung","",89,110
90,654,"Elementarentschärfung","",90,110
91,655,"Vegetarismus Venerabile","",91,110
92,657,"Schelmisches Schlitzohr","",92,110
93,658,"Wie im Märchen","",93,110
94,659,"Schocktherapie","",94,110
95,661,"Der Kampf um Anerkennung","",95,110
96,662,"Lonsyggs Logbuch","",96,110
97,663,"Lass Blumen sprechen","",97,110
98,664,"Tödliche Arglosigkeit","",98,110
99,665,"Steinernes Schweigen","",99,110
100,666,"Das Gesetz des Waldes","",100,110
101,667,"Geld stinkt nicht","",101,110
102,668,"Von Goblins beklaut","",102,110
103,673,"Nach den Gerechten sehen","",103,110
104,674,"Scharfsichtige Bestechung","",104,110
105,675,"Insomnie","",105,110
106,676,"Der Fluch des Klans","",106,110
107,678,"Nimm deine Ware und geh","",107,110
108,679,"Schutzwald-Waldschutz","",108,110
109,680,"Lös dich in Wohlgefallen auf","",109,110
110,681,"Die einzige Spur","",110,110
111,682,"Gute Wache, böse Wache","",111,110
112,683,"Von Dodos gejagt","",112,110
113,684,"Horch, was kommt von draußen rein","",113,110
114,685,"Der Preis der Freiheit","",114,110
115,686,"Erz auf zwei Beinen","",115,110
116,689,"Unlauterer Wettbewerb","",116,110
117,694,"Ruf nach Unsterblichkeit","",117,110
118,705,"Panik auf der Alm","",118,110
119,706,"Am Leben kleben","",119,110
120,707,"Blutige Rituale","",120,110
121,725,"Spenden macht selig","",121,110
122,726,"Blut und Spiele","",122,110
123,727,"Gerüchte um den Schwarzmarkt","",123,110
124,733,"Höllenschlünde hoch im Himmel","",124,110
125,734,"Ein Erntefest organisieren","",125,110
126,735,"Unorganisiertes Verbrechen","",126,110
127,736,"Das Herz der Unendlichkeit","",127,110
128,743,"Auf der Hut vor Feindesflut","",128,110
129,744,"Schuss ins Herz","",129,110
130,745,"Gerüchterstattung","",130,110
131,752,"Saliah Ahldbhar","",131,110
132,753,"Blutige Nachforschungen","",132,110
133,754,"Die ausgegrabene Wahrheit","",133,110
134,755,"Rostschutzmittel","",134,110
135,761,"Auf den Säbelzahn gefühlt","",135,110
136,762,"Beichtvater der Azeyma","",136,110
137,763,"Bittere Medizin","",137,110
138,764,"Der Fluch des Fungus","",138,110
139,770,"Der neugierige Goblin","",139,110
140,771,"Ein sattes Geschäft","",140,110
