Index,0 [0x0][0x0],1 [0x6][0x4],2 [0x3][0x8]
0,"Gestion du profil",1,1
1,"",0,0
2,"Gestion des rangs",1,2
3,"Gestion du blason",1,3
4,"Gestion du coffre",0,0
5,"Invitation de membres",2,1
6,"Approbation des demandes d'intégration",2,4
7,"Exclusion de membres",2,2
8,"Promotion des membres",2,3
9,"Modification de l'annonce",3,1
10,"",0,0
11,"Utilisation du bloc-notes",3,2
12,"Utilisation des crédits de compagnie",4,1
13,"Activation des bienfaits",4,2
14,"Désactivation des bienfaits",4,3
15,"",5,0
16,"",5,0
17,"",5,0
18,"",5,0
19,"",5,0
20,"",5,0
21,"",5,0
22,"",5,0
23,"",5,0
24,"",5,0
25,"",5,0
26,"",5,0
27,"",5,0
28,"",5,0
29,"",5,0
30,"",5,0
31,"",5,0
32,"",5,0
33,"",5,0
34,"",5,0
35,"",5,0
36,"",5,0
37,"",5,0
38,"",5,0
39,"",5,0
40,"",5,0
41,"",5,0
42,"",5,0
43,"Accès à la maison",6,1
44,"Nom de la maison",6,2
45,"Message d'accueil",6,3
46,"Achat/Cession de terrain",7,1
47,"Construction/Destruction de maison",7,2
48,"Extérieur et intérieur",8,1
49,"Aucune action sur le mobilier",8,3
50,"Ajout/Déplacement du mobilier",8,4
51,"Ajout/Retrait/Déplacement du mobilier",8,5
52,"Teinture du mobilier",8,2
53,"Gestion des visites",6,4
54,"Livre d'or",0,6
55,"Culture du potager",9,1
56,"Récolte des cultures",9,2
57,"Suppression des cultures",9,3
58,"Mise en pension du chocobo",10,1
59,"Entraînement des autres chocobos",10,2
60,"Tours éthéréens",8,7
61,"Affectation/Révocation d'un servant",8,6
62,"Aménagement/Destruction de l'atelier",11,1
63,"Création/Interruption de projets",12,1
64,"Fourniture de matériaux",12,2
65,"Progression de projet",12,3
66,"Récupération d'objets terminés",12,4
67,"Création de prototypes",12,5
68,"Enregistrement/Démontage d'aéronefs",13,1
69,"Équipement d'éléments d'aéronef",13,2
70,"Teinture d'éléments d'aéronef",0,7
71,"Nom des aéronefs",13,3
72,"Expédition/Rappel des aréonefs",13,4
73,"Finalisation des rapports d'expédition",13,5
