Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x19][0x8]
0,"","",false
1,"The Insatiable","The Insatiable",false
2,"The True","The True",false
3,"Coeurlfist","Coeurlfist",true
4,"Ironeater","Ironeater",true
5,"Of the Vengeful Lance","Of the Vengeful Lance",false
6,"The Godsbow","The Godsbow",false
7,"The White","The White",false
8,"Starcaller","Starcaller",true
9,"The Exterminator","The Exterminator",false
10,"Notorious Monster Hunter","Notorious Monster Hunter",true
11,"Honest Gillionaire","Honest Gillionaire",true
12,"Ruthless Gillionaire","Ruthless Gillionaire",true
13,"Warmonger","Warmonger",true
14,"Archmage","Archmage",true
15,"Builder of the Realm","Builder of the Realm",false
16,"Provider of the Realm","Provider of the Realm",false
17,"Of the Golden Saw","Of the Golden Saw",false
18,"Of the Golden Anvil","Of the Golden Anvil",false
19,"Of the Golden Hammer","Of the Golden Hammer",false
20,"Of the Golden Leaf","Of the Golden Leaf",false
21,"Of the Golden Hide","Of the Golden Hide",false
22,"Of the Golden Needle","Of the Golden Needle",false
23,"Of the Golden Lead","Of the Golden Lead",false
24,"Of the Golden Ladle","Of the Golden Ladle",false
25,"Meadowbreaker","Meadowbreaker",true
26,"Forestbreaker","Forestbreaker",true
27,"Desertbreaker","Desertbreaker",true
28,"Of the Meadow Mines","Of the Meadow Mines",false
29,"Of the Forest Mines","Of the Forest Mines",false
30,"Of the Desert Mines","Of the Desert Mines",false
31,"Meadowreaper","Meadowreaper",true
32,"Forestreaper","Forestreaper",true
33,"Desertreaper","Desertreaper",true
34,"Of the Meadow Grasses","Of the Meadow Grasses",false
35,"Of the Forest Grasses","Of the Forest Grasses",false
36,"Of the Desert Grasses","Of the Desert Grasses",false
37,"Meadowcaster","Meadowcaster",true
38,"Forestcaster","Forestcaster",true
39,"Desertcaster","Desertcaster",true
40,"Of the Meadow Pools","Of the Meadow Pools",false
41,"Of the Forest Pools","Of the Forest Pools",false
42,"Of the Desert Pools","Of the Desert Pools",false
43,"Carrier of the Cauldron","Carrier of the Cauldron",false
44,"The Assimilator","The Assimilator",false
45,"Seeker of Blood","Seeker of Blood",false
46,"Seeker of Truth","Seeker of Truth",false
47,"Seeker of Skill","Seeker of Skill",false
48,"Seeker of Bounty","Seeker of Bounty",false
49,"Sidestepper","Sidestepper",true
50,"Lord Protector","Lady Protector",true
51,"Lord Creator","Lady Creator",true
52,"Peacemaker","Peacemaker",true
53,"The Last Resort","The Last Resort",false
54,"The Sword of La Noscea","The Sword of La Noscea",false
55,"The Sword of the Shroud","The Sword of the Shroud",false
56,"The Sword of Thanalan","The Sword of Thanalan",false
57,"The Sword of Eorzea","The Sword of Eorzea",false
58,"The Shield of La Noscea","The Shield of La Noscea",false
59,"The Shield of the Shroud","The Shield of the Shroud",false
60,"The Shield of Thanalan","The Shield of Thanalan",false
61,"The Shield of Eorzea","The Shield of Eorzea",false
62,"Brother of the Broken Blade","Sister of the Broken Blade",true
63,"The Warden's Wall","The Warden's Wall",false
64,"Bearer of the Horn","Bearer of the Horn",true
65,"The Uncommitted","The Uncommitted",false
66,"The Professional","The Professional",false
67,"Inquisitor","Inquisitor",true
68,"Divine Crusher","Divine Crusher",true
69,"Stonesplitter","Stonesplitter",true
70,"A Kobold's Worst Nightmare","A Kobold's Worst Nightmare",false
71,"An Ixal's Worst Nightmare","An Ixal's Worst Nightmare",false
72,"An Amalj'aa's Worst Nightmare","An Amalj'aa's Worst Nightmare",false
73,"The Guardian of Aleport","The Guardian of Aleport",false
74,"The Guardian of Hyrstmill","The Guardian of Hyrstmill",false
75,"The Guardian of the Golden Bazaar","The Guardian of the Golden Bazaar",false
76,"The Wind of Aleport","The Wind of Aleport",false
77,"The Wind of Hyrstmill","The Wind of Hyrstmill",false
78,"The Wind of the Golden Bazaar","The Wind of the Golden Bazaar",false
79,"The Hand of Aleport","The Hand of Aleport",false
80,"The Hand of Hyrstmill","The Hand of Hyrstmill",false
81,"The Hand of the Golden Bazaar","The Hand of the Golden Bazaar",false
82,"Wild Thing","Wild Thing",true
83,"The Winter Wyrm","The Winter Wyrm",false
84,"Messenger of Love","Messenger of Love",true
85,"Royal Seneschal","Princess for a Day",true
86,"Dreamseeker","Dreamseeker",true
87,"Cascadier","Cascadier",true
88,"Crystal Bearer","Crystal Bearer",true
89,"Stormlord","Stormlady",true
90,"Serpentlord","Serpentlady",true
91,"Flamelord","Flamelady",true
92,"The Stormsworn","The Stormsworn",false
93,"The Serpentsworn","The Serpentsworn",false
94,"The Flamesworn","The Flamesworn",false
95,"Stormcarrier","Stormcarrier",true
96,"Serpentcarrier","Serpentcarrier",true
97,"Flamecarrier","Flamecarrier",true
98,"Stormbringer","Stormbringer",true
99,"Serpentbringer","Serpentbringer",true
100,"Flamebringer","Flamebringer",true
101,"Featherfoot","Featherfoot",true
102,"A Bo's Best Friend","A Bo's Best Friend",true
103,"Lightning","Lightning",true
104,"Cavalier","Cavalier",true
105,"The Wanderer's Shadow","The Wanderer's Shadow",false
106,"Green Eyes","Green Eyes",false
107,"The Strategist","The Strategist",false
108,"The Reaper","The Reaper",false
109,"Dungeon Master","Dungeon Master",true
110,"Tempter of Fate","Temptress of Fate",false
111,"Elite Cascadier","Elite Cascadier",true
112,"Storm Puppy","Storm Puppy",true
113,"Storm Howler","Storm Howler",true
114,"Storm Growler","Storm Growler",true
115,"Storm Hound","Storm Hound",true
116,"Storm Stalker","Storm Stalker",true
117,"Storm Chaser","Storm Chaser",true
118,"","",false
119,"","",false
120,"","",false
121,"","",false
122,"Serpent Puppy","Serpent Puppy",true
123,"Serpent Howler","Serpent Howler",true
124,"Serpent Growler","Serpent Growler",true
125,"Serpent Hound","Serpent Hound",true
126,"Serpent Stalker","Serpent Stalker",true
127,"Serpent Chaser","Serpent Chaser",true
128,"","",false
129,"","",false
130,"","",false
131,"","",false
132,"Flame Puppy","Flame Puppy",true
133,"Flame Howler","Flame Howler",true
134,"Flame Growler","Flame Growler",true
135,"Flame Hound","Flame Hound",true
136,"Flame Stalker","Flame Stalker",true
137,"Flame Chaser","Flame Chaser",true
138,"","",false
139,"","",false
140,"","",false
141,"","",false
142,"The Ravenous Wolf","The Ravenous Wolf",false
143,"The Alpha Wolf","The Alpha Wolf",false
144,"The Heart of the Party","The Heart of the Party",false
145,"Brother of Ash","Sister of Ash",true
146,"Sylph-Friend","Sylph-Friend",true
147,"Treasure Hunter","Treasure Hunter",true
148,"789th Order Champion","789th Order Champion",true
149,"Novv Clutchmate","Novv Clutchmate",true
150,"The Ambitious Angler","The Ambitious Angler",false
151,"The Meat Shield","The Meat Shield",false
152,"The Meat Axe","The Meat Axe",false
153,"Of the Stalwart Shield","Of the Stalwart Shield",false
154,"Of the Stalwart Axe","Of the Stalwart Axe",false
155,"Frontline Forerunner","Frontline Forerunner",true
156,"Storm Forerunner","Storm Forerunner",true
157,"Flame Forerunner","Flame Forerunner",true
158,"Serpent Forerunner","Serpent Forerunner",true
159,"Drone Sniper","Drone Sniper",true
160,"Heliodrome Hero","Heliodrome Hero",true
161,"Hunter for Hire","Hunter for Hire",true
162,"Seeker of Fortune","Seeker of Fortune",true
163,"Seasoned Tracker","Seasoned Tracker",true
164,"Bounty Hunter","Bounty Hunter",true
165,"Soldier of Fortune","Soldier of Fortune",true
166,"Captain of the Hunt","Captain of the Hunt",false
167,"Rafflesia Reaper","Rafflesia Reaper",true
168,"Melusine Mauler","Melusine Mauler",true
169,"The Avatar","The Avatar",false
170,"Domitor","Domitrix",false
171,"The Disassembler","The Disassembler",true
172,"","",false
173,"Bearer of the Coffer","Bearer of the Coffer",true
174,"Defender of Eorzea","Defender of Eorzea",false
175,"The Postman","The Postwoman",false
176,"Ehcatl Blackguard","Ehcatl Blackguard",true
177,"The Negotiator","The Negotiator",false
178,"The Final Witness","The Final Witness",false
