Index,0 [0x7][0x8],1 [0x7][0xc],2 [0x7][0x10],3 [0x7][0x14],4 [0x5][0x18],5 [0x5][0x1a],6 [0x5][0x1c],7 [0x5][0x1e],8 [0x19][0x20],9 [0x0][0x0],10 [0x0][0x4]
131072,0,0,0,0,1,1,0,0,false,"",""
131073,2040811,0,0,0,2,2,0,0,false,"",""
131074,3884000,590352,590353,0,3,1,0,0,false,"","Ins Kommandozimmer von Nophicas Schar eintreten?"
131075,3884182,0,0,0,1,1,0,0,false,"","Das Kommandozimmer verlassen?"
131076,3878860,0,0,0,1,1,0,0,false,"","Den Wasserrosentisch verlassen?"
131077,1381039,590354,590355,0,4,1,0,0,false,"Zum Honigblumen-Steg.","An Bord gehen?"
131078,1381038,590356,590259,0,4,1,0,0,false,"","An Bord gehen?"
131079,4124796,0,0,0,5,3,0,0,false,"",""
131080,1359058,0,0,0,5,4,0,0,false,"",""
131081,4124801,0,0,0,5,5,0,0,false,"",""
131082,4125264,0,0,0,1,1,0,0,false,"","Das Zimmer verlassen?"
131083,2232680,0,0,0,1,1,0,0,false,"","Das Zimmer verlassen?"
131084,4125288,0,0,0,1,1,0,0,false,"","Das Zimmer verlassen?"
131085,4107979,0,0,0,1,1,0,0,false,"","Die Silberhalle verlassen?"
131086,4143657,590441,590620,590448,6,1,0,0,false,"","Für 40 Gil zur Mondsichel-Bucht übersetzen?"
131087,4143677,590442,590621,590449,6,1,0,0,false,"","Für 40 Gil zum Silberbasar übersetzen?"
131088,4107477,0,590450,0,7,1,0,0,false,"","Den Sonnenwind betreten?"
131089,4132388,0,0,0,1,1,0,0,false,"","Den Sonnenwind verlassen?"
131090,4148347,0,590564,0,21,1,0,0,false,"","Den Saal der Morgenröte betreten?"
131091,4148350,0,0,0,1,1,0,0,false,"","Den Saal der Morgenröte verlassen?"
131092,4158063,0,0,0,1,1,0,0,false,"Zum Luftschiff-Landeplatz (3. OG).","Zum Luftschiff-Landeplatz (3. OG) fahren?"
