Index,0 [0x3][0x90],1 [0x3][0x91],2 [0x3][0x92],3 [0x3][0x93],4 [0x3][0x94],5 [0x19][0xa1],6 [0x1a][0xa1],7 [0x1b][0xa1],8 [0x5][0x88],9 [0x3][0x95],10 [0x3][0x96],11 [0x3][0x97],12 [0x3][0x98],13 [0x1c][0xa1],14 [0x3][0x99],15 [0x3][0x9a],16 [0x3][0x9b],17 [0x3][0x9c],18 [0x0][0x0],19 [0x5][0x8a],20 [0x5][0x8c],21 [0x7][0x5c],22 [0x3][0x9d],23 [0x3][0x9e],24 [0x1d][0xa1],25 [0x7][0x60],26 [0x1e][0xa1],27 [0x3][0x9f],28 [0x7][0x64],29 [0x7][0x68],30 [0x7][0x6c],31 [0x7][0x70],32 [0x7][0x74],33 [0x7][0x78],34 [0x7][0x7c],35 [0x5][0x8e],36 [0x1f][0xa1],37 [0x7][0x4],38 [0x7][0x8],39 [0x5][0x30],40 [0x5][0x32],41 [0x7][0xc],42 [0x5][0x34],43 [0x5][0x36],44 [0x5][0x38],45 [0x7][0x10],46 [0x7][0x14],47 [0x7][0x18],48 [0x7][0x1c],49 [0x7][0x20],50 [0x5][0x3a],51 [0x5][0x3c],52 [0x5][0x3e],53 [0x5][0x40],54 [0x5][0x42],55 [0x5][0x44],56 [0x5][0x46],57 [0x5][0x48],58 [0x5][0x4a],59 [0x5][0x4c],60 [0x5][0x4e],61 [0x5][0x50],62 [0x5][0x52],63 [0x5][0x54],64 [0x5][0x56],65 [0x7][0x24],66 [0x7][0x28],67 [0x7][0x2c],68 [0x3][0x58],69 [0x2][0xa0],70 [0x6][0x84],71 [0x7][0x80],72 [0x20][0xa1],73 [0x19][0xa2]
0,0,0,0,0,0,true,false,false,60,1,0,4,1,false,0,0,0,0,"",0,18,0,0,0,false,0,true,1,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-1,0,0,true,true
1,0,2,1,0,0,true,true,false,90,24,27,4,1,false,1,1,1,1,"Tausend Löcher von Toto-Rak",0,18,22,0,0,true,2281258,true,3,169,112005,0,0,444,1200,1203,5,false,3400,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53288,550,0,100,-1,0,0,true,true
2,0,2,1,0,0,true,true,false,90,16,19,4,1,false,1,1,1,1,"Totenacker Tam-Tara",0,18,17,0,0,true,1958540,true,4,164,112002,1003,1004,73,1000,1004,2,false,2600,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32156,400,0,100,-1,0,0,true,true
3,0,2,1,0,0,true,true,false,90,17,20,4,1,false,1,1,1,1,"Kupferglocken-Mine",0,18,177,0,0,true,2790145,true,3,161,112003,2704,2705,101,2700,2705,3,false,2700,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39690,400,0,100,-1,0,0,true,true
4,0,2,1,0,0,true,true,false,90,15,18,4,1,false,1,1,1,1,"Sastasha",0,18,174,0,0,true,3283219,true,4,157,112001,2504,2505,1206,2500,2505,1,false,2500,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30870,400,6,100,-1,0,0,true,true
5,0,2,1,0,0,true,true,false,90,47,49,4,1,false,1,1,1,1,"Goldklamm",0,18,316,0,0,true,3619405,true,3,172,112014,0,0,1532,2900,2903,12,false,5700,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131969,2400,4,100,-1,0,0,true,true
6,0,2,1,0,0,true,true,false,90,28,31,4,1,false,1,1,1,1,"Haukke-Herrenhaus",0,18,18,0,0,true,3633039,true,3,166,112006,0,0,422,1100,1103,6,false,3800,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62244,700,11,100,-1,0,0,true,true
7,0,2,1,0,0,true,true,false,90,20,23,4,1,false,1,1,1,1,"Halatali",0,18,180,0,0,true,4097951,true,3,162,112004,0,0,1197,2405,2407,4,false,3000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45570,450,0,100,-1,0,0,true,true
8,0,2,1,0,0,true,true,false,90,32,34,4,1,false,1,1,1,1,"Brüllvolx' Langrast",0,18,183,0,0,true,3998421,true,4,158,112007,0,0,1279,2400,2403,7,false,4200,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77396,900,0,100,-1,0,0,true,true
9,0,2,1,0,0,true,true,false,90,35,37,4,1,false,1,1,1,1,"Versunkener Tempel von Qarn",0,18,304,0,0,true,4064743,true,3,163,112009,0,0,1570,3500,3509,8,false,4500,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89303,1200,0,100,-1,0,0,true,true
