Index,0 [0x4][0x14],1 [0x6][0x8],2 [0x6][0xc],3 [0x5][0x10],4 [0x5][0x12],5 [0x19][0x16],6 [0x9][0x0],7 [0x9][0x4],8 [0x1a][0x16],9 [0x1b][0x16]
0,0,0,0,0,0,false,0.0,1.0,false,true
1,639,0,0,0,0,false,0.0,1.0,false,true
2,738,0,0,2443,0,false,0.0,1.0,false,true
3,868,0,0,0,0,false,0.0,1.0,false,true
4,344,0,0,0,0,false,0.0,1.0,false,true
5,869,0,0,0,0,false,0.0,1.0,false,true
6,836,0,0,3139,0,false,0.0,1.0,false,true
7,0,465,248,2360,0,false,0.0,1.0,true,true
8,0,466,249,2360,0,false,0.0,1.0,true,true
9,0,467,250,2360,0,false,0.0,1.0,true,true
10,0,468,251,2360,0,false,0.0,1.0,true,true
11,0,469,252,2360,0,false,0.0,1.0,true,true
12,921,0,0,2360,0,false,0.9,1.0,false,true
13,920,0,0,2360,0,false,0.9,1.0,false,true
14,923,0,0,2360,0,false,0.6,1.0,false,true
15,924,0,0,2360,0,false,0.5,0.6,false,true
16,922,0,0,2360,0,false,0.3,1.0,false,true
17,652,0,0,0,0,false,0.0,2.0,false,true
18,1022,0,0,0,0,false,0.0,2.0,false,true
19,1023,0,0,3504,0,false,0.0,2.0,false,true
20,1085,0,0,0,0,false,0.0,0.7,false,false
21,1086,0,0,0,0,false,0.0,0.7,false,false
22,915,0,0,0,0,false,0.0,1.0,false,false
23,730,0,0,0,0,false,0.0,1.7,false,false
24,1061,0,0,0,0,false,0.0,3.5,false,false
25,1062,0,0,0,0,false,0.0,2.2,false,false
26,1300,0,0,0,0,false,0.0,3.0,false,false
27,89,0,656,0,0,false,0.0,1.0,false,true
28,0,522,959,0,0,false,0.0,1.0,false,true
29,558,0,0,0,0,false,0.0,2.5,false,false
30,16,0,771,0,0,false,0.0,2.0,false,false
31,658,0,0,0,0,false,0.0,1.5,false,false
32,976,0,0,0,0,false,0.0,0.7,false,false
33,1087,0,0,0,0,false,0.0,0.7,false,false
34,0,0,0,0,0,false,0.0,1.0,false,true
35,0,0,0,0,0,false,0.0,1.0,false,true
36,0,0,0,0,0,false,0.0,1.0,false,true
37,0,0,0,0,0,false,0.0,1.0,false,true
38,0,0,0,0,0,false,0.0,1.0,false,true
39,0,0,0,0,0,false,0.0,1.0,false,true
40,0,0,0,0,0,false,0.0,1.0,false,true
