Index,0 [0x7][0x0],1 [0x5][0x4],2 [0x3][0x32],3 [0x5][0x6],4 [0x3][0x33],5 [0x5][0x8],6 [0x3][0x34],7 [0x5][0xa],8 [0x3][0x35],9 [0x5][0xc],10 [0x3][0x36],11 [0x5][0xe],12 [0x3][0x37],13 [0x5][0x10],14 [0x3][0x38],15 [0x5][0x12],16 [0x3][0x39],17 [0x5][0x14],18 [0x3][0x3a],19 [0x5][0x16],20 [0x3][0x3b],21 [0x5][0x18],22 [0x5][0x1a],23 [0x5][0x1c],24 [0x5][0x1e],25 [0x5][0x20],26 [0x5][0x26],27 [0x5][0x22],28 [0x5][0x28],29 [0x5][0x24],30 [0x5][0x2a],31 [0x5][0x2c],32 [0x5][0x2e],33 [0x5][0x30]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2001298,357,3,358,3,359,3,360,3,361,3,362,3,363,3,371,3,364,3,365,3,446,447,448,0,480,155,589,180,611,152,644,849,868
2,2001299,366,3,396,3,367,3,368,3,369,3,370,3,372,3,373,3,374,3,375,3,449,450,451,0,571,138,424,146,633,154,645,853,875
3,2001300,376,3,377,3,356,3,378,3,379,3,380,3,381,3,383,3,384,3,385,3,452,453,454,0,521,156,620,152,430,146,646,860,863
4,2001301,386,3,387,3,388,3,389,3,390,3,391,3,392,3,393,3,394,3,395,3,455,456,457,0,475,155,577,138,540,145,646,649,865
5,2001302,397,3,398,3,400,3,401,3,402,3,403,3,382,3,413,3,404,3,405,3,458,459,453,0,569,138,516,156,616,152,647,652,870
6,2001303,406,3,407,3,408,3,409,3,399,3,410,3,411,3,412,3,414,3,415,3,460,461,448,0,632,154,642,147,499,155,650,643,873
7,2001304,416,3,417,3,418,3,419,3,420,3,421,3,422,3,423,3,424,3,425,3,462,463,454,0,317,139,604,148,517,156,643,658,848
8,2001305,426,3,427,3,428,3,429,3,430,3,431,3,432,3,433,3,434,3,435,3,464,451,457,0,552,146,486,155,628,153,644,659,855
9,2001306,436,3,437,3,438,3,439,3,440,3,441,3,442,3,443,3,444,3,445,3,465,459,461,0,493,155,587,180,543,145,645,657,859
