Index,0 [0x6][0x8],1 [0x3][0xc],2 [0x3][0xd],3 [0x2][0xe],4 [0x0][0x0],5 [0x0][0x4]
0,0,0,0,0,"",""
1,16,10,1,-3,"Initiative","Lässt den Charakter seine Waffe ziehen oder wegstecken."
2,1,13,1,0,"Charakter","Zeigt die Spielwerte des Charakters an. Du kannst z. B. neue Ausrüstung anlegen, Bonuspunkte für Attribute verteilen und Titel ändern."
3,4,11,1,-2,"Kommandoliste","Zeigt die Kommandos an, die der Charakter ausführen kann. Du kannst z. B. Kommandos im Kommandomenü anlegen und durch Kommandos anderer Klassen ergänzen."
4,5,32,2,0,"Archiv","Zeigt aktive und abgeschlossene Aufträge und Freibriefe an. Du kannst z. B. die Aufgabenliste anpassen und Freibriefe beginnen oder entfernen."
5,47,34,2,2,"Timer","Zeigt die verbleibende Spielzeit oder Wartezeit für verschiedene Inhalte, z. B. Freibriefe oder Dungeons, an."
6,6,21,1,8,"Errungenschaften","Zeigt eine Liste der Errungenschaften an. Du kannst den Fortschritt und die Bedingungen einsehen."
7,23,43,3,1,"Sammler-Notizbuch","Zeigt eine Liste der Gegenstände an, die Sammler durch Abbauen, Herausbrechen, Abholzen und Abernten beschaffen sollen. Außerdem wird angezeigt, in welchen Gegenden diese Gegenstände zu finden sind."
8,21,40,3,-2,"Bestiarium","Zeigt eine Liste der Monster an, die Krieger und Magier erlegen sollen. Außerdem wird angezeigt, in welchen Gegenden die Monster zu finden sind."
9,22,42,3,0,"Handwerker-Notizbuch","Zeigt eine Liste der Gegenstände an, die Handwerker herstellen sollen sowie deren Syntheserezepte. Hier kannst du den Synthesevorgang starten."
10,2,15,1,2,"Inventar","Zeigt die Gegenstände und Kristalle in deinem Besitz an. Du kannst Ausrüstung anlegen und Gegenstände benutzen."
11,3,31,2,-1,"Schlüsselgegenstände","Zeigt die Schlüsselgegenstände in deinem Besitz an. Wenn du einen Auftrag, zu dem ein Schlüsselgegenstand gehört, entfernst, wird auch der Schlüsselgegenstand gelöscht."
12,17,60,5,0,"Kontakte","Zeigt eine Liste deiner Gruppenmitglieder an. Du kannst z. B. die Gruppe verlassen oder eine Gruppe auflösen."
13,18,75,6,4,"Freunde","Zeigt eine Liste der Charaktere an, die du als Freunde registriert hast. Du kannst z. B. einem Freund etwas zuflüstern und ihn in deine Gruppe einladen."
14,19,76,6,5,"Schwarze Liste","Zeigt eine Liste der Charaktere an, die du auf die Schwarze Liste gesetzt hast. Sie unterliegen verschiedenen Beschränkungen, z. B. erscheinen sie nicht in deinem Chat-Fenster und können nicht mit dir handeln oder dich in ihre Gruppe einladen."
15,20,70,6,-1,"Spielersuche","Mit der Spielersuche kannst du unter verschiedenen Kriterien nach anderen Spielercharakteren suchen. Außerdem kannst du deinen Online-Status oder Suchkommentar ändern."
16,7,50,4,0,"Karte","Zeigt eine Karte an, auf der du die Position deiner Gruppenmitglieder oder Zielgebiete deiner Aufträge nachsehen kannst. Händler und wichtige Orientierungspunkte sind ebenfalls eingetragen."
17,9,71,6,0,"Emotes","Zeigt eine Liste der Emotes an. Sie helfen dir, mit anderen Spielern zu interagieren und verleihen dem Spiel Atmosphäre. Du kannst sie auch im Kommandomenü anlegen."
18,10,62,5,2,"Markierungen","Mit Markierungen kannst du Gegner oder Verbündete kennzeichnen, um den Kampfablauf zu dirigieren."
19,29,83,7,1,"Systemkonfiguration","In den Systemeinstellungen kannst du Konfigurationen von Sound und Grafik vornehmen oder die Tastenbelegung ändern."
20,28,86,7,4,"Tastenbelegung","Hier kannst du die Tasten mit verschiedensten Funktionen belegen."
21,30,85,7,3,"Makros","Hier kannst du Textmakros erstellen, um wiederkehrende komplexe Aktionen mit einem einzigen Klick ausführen zu können, und im Kommandomenü anlegen."
22,31,84,7,2,"Layout","Hier kannst du die Position von Anzeigefenstern und anderen UI-Elementen ändern."
23,27,87,7,6,"Ausloggen","Loggt dich aus und bringt dich zum Titelbildschirm zurück."
24,26,88,7,7,"Spiel beenden","Loggt dich aus und beendet das Spiel."
25,32,14,1,1,"Arsenal","Hier werden Ausrüstungsgegenstände beim Erwerb automatisch verstaut. Sie sind nach Körperteilen geordnet und können jederzeit angelegt werden."
26,0,0,0,0,"",""
27,8,72,6,1,"Freie Gesellschaft","Zeigt Informationen über die Freie Gesellschaft, in der du registriert bist, an. Wenn du nicht registriert bist, kannst du diese Funktion nicht nutzen."
28,11,74,6,3,"Kontaktkreis","Zeigt alle Mitglieder all deiner Kontaktkreise an. Du kannst deinen derzeit aktiven Kontaktkreis einstellen."
29,24,44,3,2,"Fischer-Notizbuch","Hier können Fischer ihren Fang und die Angelstellen einer Region einsehen."
30,33,81,7,-1,"Tutorial-Hilfstexte","Zeigt eine Liste der bisher gesehenen Hilfe-Texte an."
31,25,30,2,-2,"Empfehlung","Zeigt eine Liste der empfohlenen Aufträge in der Umgebung an."
32,13,80,7,-2,"Kundendienst / Infos","Zeigt Meldungen und Informationen des Kundendienstes an. Außerdem kannst du den Kundendienst kontaktieren."
33,46,33,2,1,"Inhaltssuche","Zeigt für dich geeignete Gruppen-Spielinhalte wie Dungeons und Gildengeheiße an, für die du automatisch in eine Gruppe eingeteilt wirst. Du siehst eine Beschreibung und die Voraussetzungen und kannst direkt von hier aus am Spielinhalt teilnehmen."
34,48,82,7,0,"Charakterkonfiguration","Hier kannst du Einstellungen, die deinen Charakter betreffen, vornehmen, z. B. Kameraeinstellungen, Zielmodi und Anzeigefilter."
35,0,0,4,1,"Teleport","Zeigt eine Liste der Ätheryten an, die du bereits besucht hast. Gegen eine Gebühr kannst du dich und deine Gruppenmitglieder dorthin teleportieren lassen."
36,0,0,4,2,"Rückführung","Teleportiert dich kostenlos zu dem zuvor festgelegten Heimatpunkt. Einmal benutzt, kannst du diese Funktion 15 Minuten lang (Erdenzeit) nicht ausführen."
37,0,0,7,5,"Lizenz","Zeigt die Lizenzvereinbarung von FINAL FANTASY XIV an."
38,0,0,0,0,"Notizbücher","（ヘルプ無し）"
39,0,0,0,0,"Kontakte","（ヘルプ無し）"
40,0,0,0,0,"System","（ヘルプ無し）"
41,50,45,3,3,"Fischverzeichnis","Zeigt eine informative, sich immer mehr erweiternde Übersicht über angelbare Beutetiere für Fischer."
42,49,16,1,3,"Mitstreiter","Zeigt Informationen über deinen Mitstreiter wie die verbleibende Zeit oder Kommandos."
43,0,0,0,0,"Inhalte","（ヘルプ無し）"
44,52,73,6,2,"Private Unterkünfte","Öffnet das Menü für private Unterkünfte."
45,35,0,0,0,"Anzeige","Einstellungen für den Bildschirm, z. B. Bildschirmmodus und Gammakorrektur."
46,36,0,0,0,"Sound","Einstellungen für den Sound, z. B. Lautstärke."
47,37,0,0,0,"Grafik","Detaillierte Einstellungen für die Grafik, angepasst an die Benutzerumgebung."
48,38,0,0,0,"Maus","Einstellungen für die Maussteuerung."
49,39,0,0,0,"Controller","Einstellungen für den Controller, z. B. Vibration."
50,51,0,0,0,"Anderes","Weitere Einstellungen, z. B. Sprachauswahl und Speicherort für Screenshots."
51,41,0,0,0,"Steuerung","Einstellungen für die Steuerung, z. B. Kamera und Zielen."
52,42,0,0,0,"UI","Einstellungen für das User-Interface, z. B. HUD-Layout."
53,43,0,0,0,"Namensanzeige","Einstellungen für den Namen und andere Informationen, die über der Spielfigur angezeigt werden."
54,44,0,0,0,"Kommandomenü","Einstellungen für das Kommandomenü."
55,45,0,0,0,"Chatlog","Einstellungen für das Chatlog, z. B. Schriftgröße und Filter."
56,53,19,1,6,"PvP-Profil","Zeigt deine Leistungen im Kampf gegen andere Spieler und spezielle PvP-Kommandos."
57,54,61,5,1,"Gruppensuche","Führt eine Suche nach Gruppen entsprechend deinen Zielen oder der gewünschten Rolle durch."
58,55,63,5,3,"Geländemarkierung","Setzt Markierungen im Gelände, die nur für Gruppenmitglieder sichtbar sind."
59,56,64,5,4,"Bereitschaftsanfrage","Fragt automatisch alle Gruppen-/Allianzmitglieder, ob sie bereit sind."
60,57,46,3,4,"Aktuelle Agenda","Zeigt eine Liste von momentan dringend zu erledigenden Herausforderungen und die Vergütung dafür an. Der bereits erreichte Fortschritt wird jeden <switch:Sonntag/Montag/Dienstag/Mittwoch/Donnerstag/Freitag/Samstag> um <if:#s> Uhr (Erdenzeit) zurückgesetzt."
61,58,17,1,4,"Reittier-Verzeichnis","Zeigt ein Album mit all deinen Reittieren an."
62,59,18,1,5,"Begleiter-Verzeichnis","Zeigt ein Album mit all deinen Begleitern an."
63,60,0,0,0,"Barrierefreiheit","Einstellungen zur Erleichterung der Benutzung wie etwa Visualisierung von Tönen."
64,61,41,3,-1,"Eorzea Incognita","Zeigt dein Reisetagebuch mit einer Liste von Orten an, die man unbedingt gesehen haben muss."
65,62,20,1,7,"Gold Saucer","Zeigt Informationen zum Gold Saucer an, unter anderem MGP in deinem Besitz, Glückskaktor-Ziehungen, Triple Triad-Turnierstände, Kartendecks und Status deines Renn-Chocobos."
66,63,12,1,-1,"Vermögen","Zeigt deinen momentanen Besitz an Gil und anderen Währungen an."
67,64,51,4,-1,"Windätherquellen","Zeigt Informationen zur Harmonisierung mit Windätherquellen an."
