Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x8]
0,"","",0
1,"Halone - Die Furie","Sie ist die Göttin der Gletscher und des Krieges und die Schutzgöttin Ishgards. Ihr Element ist das Eis und der erste Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie die Tochter Rhalgrs und Nophicas Erzfeindin. In der Kunst wird sie als unbeugsame Kriegerin mit bronzenem Schild dargestellt. Rüstungen und Waffen sind ihre Symbole.",61601
2,"Menphina - Die Liebende","Sie ist die Göttin des Mondes und der Liebe. Ihr Element ist das Eis und der zweite Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie Azeymas Stiefschwester und 
Oschons Geliebte. Sie wird in der Kunst oft als tüchtiges Hausmädchen mit einer runden Pfanne dargestellt. Ihr Symbol ist der Vollmond.",61602
3,"Thaliak - Der Forscher","Er ist der Gott der Flüsse und der Weisheit und der Schutzgott Sharlayans. Sein Element ist das Wasser. Der dritte Mond des Jahres steht unter seinem Stern. Nach allgemeiner Auffassung ist er der Vater Llymlaens und Byregots Lehrmeister. In der Kunst wird er als schüchterner Gelehrter mit Eschenstab dargestellt. Sein Symbol ist die Schriftrolle.",61603
4,"Nymeia - Die Norne","Sie ist die Göttin der Planeten und des Schicksals. Ihr Element ist das Wasser und der vierte Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie Althyks jüngere Schwester und Rhalgrs Herrin. In der Kunst wird sie oft von einem Schleier aus weißer Seide verborgen und mit einem Spinnrad dargestellt, welches auch ihr Symbol ist.",61604
5,"Llymlaen - Die Lotsin","Sie ist die Göttin der Weltmeere und der Seefahrer und die Schutzgöttin Limsa Lominsas. Ihr Element ist der Wind und der fünfte Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie Thaliaks Tochter und Nophicas ältere Schwester. Sie wird von Künstlern als kräftige Fischerin mit langer Harpune dargestellt. Ihre Symbole sind Wellen und Schiffe.",61605
6,"Oschon - Der Wanderer","Er ist der Gott der Berge und der Vagabunden. Sein Element ist der Wind und der sechste Mond des Jahres steht unter seinem Stern. Nach allgemeiner Auffassung ist er Nald'thals Blutsbruder und eng mit Halone befreundet. Er wird von Künstlern gerne als sorgloser Jäger mit einem Eichenbogen dargestellt. Seine Symbole sind Wander- und Hirtenstab.",61606
7,"Byregot - Der Erbauer","Er ist der Gott der Bauwerke und der Handwerker. Sein Element ist der Blitz. Der siebte Mond des Jahres steht unter seinem Stern. Nach allgemeiner Auffassung ist er Thaliaks Schüler und Halones älterer Bruder. Künstler stellen ihn als aufrichtigen Schmied mit großem, doppelköpfigem Eisenhammer dar. Sein Symbol ist die Hand. ",61607
8,"Rhalgr - Der Zerstörer","Er ist der Gott der Kometen und der Zerstörung und der Schutzgott Ala Mhigos. Sein Element ist der Blitz. Der achte Mond des Jahres steht unter seinem Stern. Nach allgemeiner Auffassung ist er Nymeias Diener und gleichzeitig Byregots und Halones Vater. Künstler stellen ihn als Magier mit einem Messingstab dar. Seine Symbole sind der Blitz und der Komet.",61608
9,"Azeyma - Die Aufseherin","Sie ist die Göttin der Sonne und des Rechts und ihr Element ist das Feuer. Der neunte Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie die große Schwester Menphinas und ebenfalls eine Tochter Althyks. Die Künstler Eorzeas zeichnen sie oft als erhabene Dame mit einem gelben Fächer. Ihr Symbol ist die Sonne.",61609
10,"Nald'thal - Die Kaufleute","Sie sind der zweigesichtige Gott des Handels und der Unterwelt und der Schutzgott Ul'dahs. Ihr Element ist das Feuer und der zehnte Mond im Jahr steht unter ihrem Stern. Nach allgemeiner Auffassung sind Nald und Thal Zwillinge. Künstler stellen sie oft in Gestalt eines scharfsinnigen Kaufmanns mit einer Waage dar. Ihr Symbol ist uraltes Muschelgeld.",61610
11,"Nophica - Die Mutter","Sie ist die Göttin des Bodens und der Fruchtbarkeit und die Schutzgöttin Gridanias. Ihr Element ist die Erde. Der elfte Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie die Tochter Azeymas und die jüngere Schwester Llymlaens. In der Kunst wird sie oft als muntere Bäuerin mit stählerner Sense dargestellt. Ihr Symbol ist der Ährenbund.",61611
12,"Althyk - Der Hüter","Er ist der Gott der Gravitation und der Zeit. Sein Element ist die Erde und der zwölfte Mond des Jahres steht unter seinem Stern. Nach allgemeiner Auffassung ist er Nymeias älterer Bruder und der Vater Azeymas und Menphinas. Künstler stellen ihn ehrfürchtig als strengen Kaiser mit einer Kriegsaxt aus Mithril dar. Seine Symbole sind die Sand- und die Sonnenuhr.",61612
