Index,0 [0x6][0x4],1 [0x3][0x8],2 [0x0][0x0]
0,0,0,""
1,61412,1,"Épopée (A Realm Reborn)"
2,61412,1,"Chroniques de la 7e ère astrale"
3,61412,2,"Épopée (Heavensward)"
4,61411,3,"Chroniques d'une nouvelle ère"
5,61411,3,"Bahamut"
6,61411,3,"La Tour de Cristal"
7,61411,3,"Alexander"
8,61411,3,"Primordiaux antiques"
9,61411,4,"Histoire principale"
10,61411,4,"Quêtes quotidiennes"
11,61411,5,"Histoire principale"
12,61411,5,"Quêtes quotidiennes"
13,61411,6,"Histoire principale"
14,61411,6,"Quêtes quotidiennes"
15,61411,7,"Histoire principale"
16,61411,7,"Quêtes quotidiennes"
17,61411,8,"Histoire principale"
18,61411,8,"Quêtes quotidiennes"
19,61411,9,"Hildibrand, gentilhomme détective"
20,61411,9,"Le ménestrel errant"
21,61411,9,"Les armes du zodiaque"
22,61411,9,"Quêtes du Mog postier"
23,61411,9,"Quêtes des tribus alliées"
24,61411,9,"Clan des aventuriers de Doma"
25,61411,10,"Noscea"
26,61411,11,"Sombrelinceul"
27,61411,12,"Thanalan"
28,61411,13,"Coerthas"
29,61411,14,"Mor Dhona"
30,61411,15,"Ishgard"
31,61411,16,"Abalathia"
32,61411,17,"Avant-pays dravanien"
33,61411,17,"Arrière-pays dravanien"
34,61411,17,"Écume des cieux de Dravania"
35,61411,17,"Idyllée"
36,61411,18,"Azys Lla"
37,62301,19,"Quêtes de gladiateur"
38,62302,19,"Quêtes de pugiliste"
39,62303,19,"Quêtes de maraudeur"
40,62304,19,"Quêtes de maître d'hast"
41,62305,19,"Quêtes d'archer"
42,62309,19,"Quêtes de surineur"
43,62306,19,"Quêtes d'élémentaliste"
44,62307,19,"Quêtes d'occultiste"
45,62308,19,"Quêtes d'arcaniste"
46,62310,19,"Quêtes de menuisier"
47,62311,19,"Quêtes de forgeron"
48,62312,19,"Quêtes d'armurier"
49,62313,19,"Quêtes d'orfèvre"
50,62314,19,"Quêtes de tanneur"
51,62315,19,"Quêtes de couturier"
52,62316,19,"Quêtes d'alchimiste"
53,62317,19,"Quêtes de cuisinier"
54,62318,19,"Quêtes de mineur"
55,62319,19,"Quêtes de botaniste"
56,62320,19,"Quêtes de pêcheur"
57,62401,20,"Quêtes de paladin"
58,62402,20,"Quêtes de moine"
59,62403,20,"Quêtes de guerrier"
60,62404,20,"Quêtes de chevalier dragon"
61,62405,20,"Quêtes de barde"
62,62410,20,"Quêtes de ninja"
63,62406,20,"Quêtes de mage blanc"
64,62407,20,"Quêtes de mage noir"
65,62408,20,"Quêtes d'invocateur"
66,62409,20,"Quêtes d'érudit"
67,62412,20,"Quêtes de chevalier noir"
68,62411,20,"Quêtes de machiniste"
69,62413,20,"Quêtes d'astromancien"
70,61401,21,"Quêtes du Maelstrom"
71,61402,21,"Quêtes de l'Ordre des deux vipères"
72,61403,21,"Quêtes des Immortels"
73,61411,22,"Événements saisonniers"
74,61411,23,"Quêtes spéciales"
75,62501,24,"Mandats de mercenariat"
76,62502,28,"Mandats de menuisier"
77,62503,29,"Mandats de forgeron"
78,62504,30,"Mandats d'armurier"
79,62505,31,"Mandats d'orfèvre"
80,62506,32,"Mandats de tanneur"
81,62507,33,"Mandats de couturier"
82,62508,34,"Mandats d'alchimiste"
83,62509,35,"Mandats de cuisinier"
84,62510,25,"Mandats de mineur"
85,62511,26,"Mandats de botaniste"
86,62512,27,"Mandats de pêcheur"
87,62501,36,"Mandats de mercenariat"
88,62502,40,"Mandats de menuisier"
89,62503,41,"Mandats de forgeron"
90,62504,42,"Mandats d'armurier"
91,62505,43,"Mandats d'orfèvre"
92,62506,44,"Mandats de tanneur"
93,62507,45,"Mandats de couturier"
94,62508,46,"Mandats d'alchimiste"
95,62509,47,"Mandats de cuisinier"
96,62510,37,"Mandats de mineur"
97,62511,38,"Mandats de botaniste"
98,62512,39,"Mandats de pêcheur"
99,0,0,""
100,0,0,""
101,0,0,""
102,62513,49,"Mandats du Maelstrom"
103,62514,49,"Mandats de l'Ordre des deux vipères"
104,62515,49,"Mandats des Immortels"
105,61801,50,"Donjons"
106,61802,50,"Raids"
107,61804,50,"Défis"
108,61803,50,"Opérations de guilde"
109,0,51,"Épopée"
110,0,51,"Quêtes annexes"
111,0,51,"Quêtes de classe"
112,0,51,"Quêtes de job"
113,0,51,"Quêtes de compagnie"
