Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x8],3 [0x3][0xc],4 [0x3][0xd],5 [0x3][0xe],6 [0x3][0xf],7 [0x19][0x14],8 [0x1a][0x14],9 [0x1b][0x14],10 [0x1c][0x14],11 [0x1d][0x14],12 [0x1e][0x14],13 [0x1f][0x14],14 [0x20][0x14],15 [0x3][0x10],16 [0x3][0x11],17 [0x19][0x15],18 [0x5][0xa],19 [0x1a][0x15],20 [0x1b][0x15],21 [0x3][0x12],22 [0x3][0x13]
0,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
1,"Petrification","Stone-like rigidity is preventing the execution of actions.",15001,0,2,6,122,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
2,"Stun","Unable to execute actions.",15004,0,2,3,125,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
3,"Sleep","Overwhelming drowsiness is preventing the execution of actions.",15013,0,2,2,123,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,3
4,"Daze","Scattered senses are preventing the execution of actions.",15003,0,2,8,0,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
5,"Amnesia","Unable to use abilities.",15015,0,2,15,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
6,"Pacification","Unable to use weaponskills.",15017,0,2,14,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
7,"Silence","A stifling magic is preventing casts.",15005,0,2,7,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
8,"Haste","Weaponskill recast time, spell recast time, and auto-attack delay are reduced.",15008,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
9,"Slow","Weaponskill recast time, spell recast time, and auto-attack delay are increased.",15009,0,2,13,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
10,"Slow","Weaponskill recast time, spell recast time, and auto-attack delay are increased.",15545,0,2,13,0,false,false,false,false,false,false,true,true,50,0,false,0,false,false,0,0
11,"Confused","Attacking allies instead of the enemy.",15603,0,2,17,0,false,false,false,true,false,true,false,false,100,0,false,0,false,false,0,0
12,"Levitation","Floating several ilms off the ground, defying the universal laws of gravity.",15037,0,1,16,128,false,false,false,false,false,false,true,true,1,0,false,0,false,false,0,0
13,"Bind","Unable to move.",15003,0,2,12,124,true,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
14,"Heavy","Movement speed is reduced.",15002,0,2,4,126,false,false,false,false,false,false,false,false,100,1,false,0,false,false,0,0
15,"Blind","Encroaching darkness is lowering accuracy.",15012,0,2,10,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
16,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
17,"Paralysis","Deadened nerves are sometimes preventing the execution of actions.",15006,0,2,5,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
18,"Poison","Toxins are causing damage over time.",15007,0,2,1,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
19,"Pollen","Deadly pollen has filled the lungs, causing damage over time.",15517,0,2,1,0,false,false,false,false,false,false,true,true,10,0,false,0,false,false,0,0
20,"TP Bleed","Bleeding TP over time.",15025,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
21,"HP Boost","Maximum HP is increased.",15075,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
22,"HP Penalty","Maximum HP is reduced.",15076,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
23,"MP Boost","Maximum MP is increased.",15077,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
24,"MP Penalty","Maximum MP is reduced.",15078,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
25,"Attack Up","Attack power is enhanced.",15050,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
26,"Attack Down","Attack power is reduced.",15051,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
27,"Accuracy Up","Accuracy is enhanced.",15060,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
28,"Accuracy Down","Accuracy is reduced.",15061,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
29,"Defense Up","Defense is enhanced.",15052,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
30,"Defense Down","Defense is reduced.",15053,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
31,"Evasion Up","Evasion is enhanced.",15062,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
32,"Evasion Down","Evasion is reduced.",15063,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
33,"Attack Magic Potency Up","Attack magic potency is enhanced.",15054,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
34,"Attack Magic Potency Down","Attack magic potency is reduced.",15055,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
35,"Healing Potency Up","Healing magic potency is enhanced.",15058,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
36,"Healing Potency Down","Healing magic potency is reduced.",15059,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
37,"Magic Defense Up","Magic defense is enhanced.",15056,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
38,"Magic Defense Down","Magic defense is reduced.",15057,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
39,"Stun Resistance","Immune to stun effects.",15566,0,1,16,0,false,false,false,false,false,false,true,true,100,0,false,0,false,false,0,0
40,"Silence Resistance","Immune to silence effects.",15567,0,1,16,0,false,false,false,false,false,false,true,true,100,0,false,0,false,false,0,0
