Index,0 [0x6][0x0],1 [0x3][0x24],2 [0x3][0x25],3 [0x6][0x4],4 [0x6][0x8],5 [0x6][0xc],6 [0x6][0x10],7 [0x6][0x14],8 [0x6][0x18],9 [0x6][0x1c],10 [0x6][0x20],11 [0x19][0x26]
0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,0,0,0,0,false
2,0,0,0,0,0,0,0,0,0,0,0,false
3,0,0,0,0,0,0,0,0,0,0,0,false
4,0,0,0,0,0,0,0,0,0,0,0,false
5,0,0,0,0,0,0,0,0,0,0,0,false
6,0,0,0,0,0,0,0,0,0,0,0,false
7,0,0,0,0,0,0,0,0,0,0,0,false
8,0,0,0,0,0,0,0,0,0,0,0,false
9,0,0,0,0,0,0,0,0,0,0,0,false
10,2,10,0,0,138,113,0,0,0,0,4,false
11,2,5,0,137,133,132,105,0,0,2,3,false
12,2,5,0,137,133,132,0,0,0,0,4,false
13,2,5,0,134,118,141,0,0,0,0,4,false
14,3,15,0,154,198,153,200,0,0,0,6,false
15,2,10,0,104,124,103,0,0,0,0,4,false
16,2,10,0,104,124,103,114,0,0,0,3,false
17,2,15,0,110,122,0,0,0,0,0,3,false
18,3,15,0,149,209,146,0,0,0,0,6,false
19,3,15,0,190,176,165,220,0,0,0,3,false
20,1,40,0,81,0,0,0,0,0,0,3,false
21,3,15,0,148,213,202,158,0,0,0,3,false
22,2,20,0,128,136,135,0,0,0,0,3,false
23,3,20,0,152,185,151,224,0,0,0,3,false
24,2,25,0,127,108,109,0,0,0,0,2,false
25,3,15,0,171,159,183,0,0,0,0,5,false
26,3,30,0,157,145,193,197,0,0,0,4,false
27,2,30,0,106,123,0,0,0,0,0,2,false
28,2,35,0,112,111,121,0,0,0,0,2,false
29,3,35,0,189,180,210,0,0,0,0,2,false
30,3,15,0,211,214,201,204,0,0,0,1,false
31,3,15,0,147,175,162,206,0,0,0,4,false
32,2,30,0,0,0,0,0,35,25,0,5,false
33,2,20,0,126,0,0,0,0,0,0,5,false
34,2,20,0,117,0,0,0,0,0,0,4,false
35,2,20,0,0,0,0,0,0,24,0,2,false
36,1,35,0,100,0,0,0,0,0,0,5,false
37,2,30,0,0,0,0,0,34,25,0,3,false
38,3,20,0,187,188,225,0,0,0,0,1,false
39,3,20,0,178,205,223,0,0,0,0,2,false
40,3,25,0,186,143,172,196,0,0,0,1,false
41,3,25,0,179,150,161,170,0,0,0,4,false
42,2,30,0,0,0,0,0,30,25,0,1,false
43,2,50,0,0,0,0,0,26,0,0,5,false
44,2,30,0,0,0,0,0,32,25,0,2,false
45,1,30,0,0,0,0,0,32,25,0,2,false
46,1,45,0,78,215,0,0,0,0,0,4,false
47,0,25,0,66,49,0,0,0,0,0,2,false
48,1,25,0,94,96,97,80,0,0,0,2,false
49,0,40,0,47,52,54,0,0,0,0,2,false
50,2,30,0,0,0,0,33,31,25,0,4,false
51,2,5,0,402,401,0,0,0,0,0,0,false
52,2,5,0,404,403,0,0,0,0,0,0,false
53,2,5,0,405,0,0,0,0,0,0,0,false
54,2,5,0,406,0,0,0,0,0,0,0,false
55,2,10,0,408,407,0,0,0,0,0,0,false
56,2,10,0,410,409,0,0,0,0,0,0,false
57,2,10,0,411,0,0,0,0,0,0,0,false
58,2,10,0,412,0,0,0,0,0,0,0,false
59,2,15,0,414,413,0,0,0,0,0,0,false
60,2,15,0,416,415,0,0,0,0,0,0,false
61,2,15,0,417,0,0,0,0,0,0,0,false
62,2,15,0,419,418,0,0,0,0,0,0,false
63,3,20,0,421,420,0,0,0,0,0,0,false
64,2,20,0,422,0,0,0,0,0,0,0,false
65,2,20,0,423,0,0,0,0,0,0,0,false
66,2,20,0,427,426,0,0,0,0,0,0,false
67,3,20,0,425,424,0,0,0,0,0,0,false
68,2,25,0,429,428,0,0,0,0,0,0,false
69,3,25,0,430,0,0,0,0,0,0,0,false
70,2,25,0,431,0,0,0,0,0,0,0,false
71,2,25,0,432,0,0,0,0,0,0,0,false
72,2,30,0,434,433,0,0,0,0,0,0,false
73,3,30,0,436,435,0,0,0,0,0,0,false
74,3,30,0,437,0,0,0,0,0,0,0,false
75,2,30,0,438,0,0,0,0,0,0,0,false
76,2,30,0,439,0,0,0,0,0,0,0,false
77,2,35,0,440,441,0,0,0,0,0,0,false
78,3,35,0,442,0,0,0,0,0,0,0,false
79,3,35,0,443,0,0,0,0,0,0,0,false
80,2,35,0,444,0,0,0,0,0,0,0,false
81,3,40,0,445,446,0,0,0,0,0,0,false
82,2,40,0,447,0,0,0,0,0,0,0,false
83,3,40,0,448,0,0,0,0,0,0,0,false
84,2,40,0,449,450,0,0,0,0,0,0,false
85,2,45,0,451,452,0,0,0,0,0,0,false
86,2,45,0,453,0,0,0,0,0,0,0,false
87,2,45,0,454,0,0,0,0,0,0,0,false
88,2,45,0,455,456,0,0,0,0,0,0,false
89,3,50,0,457,458,0,0,0,0,0,0,false
90,2,50,0,459,0,0,0,0,0,0,0,false
91,3,50,0,460,0,0,0,0,0,0,0,false
92,2,50,0,461,462,0,0,0,0,0,0,false
93,0,5,0,463,464,0,0,0,0,0,0,false
94,0,5,0,465,466,0,0,0,0,0,0,false
95,0,5,0,467,0,0,0,0,0,0,0,false
96,0,5,0,468,0,0,0,0,0,0,0,false
97,0,10,0,469,470,0,0,0,0,0,0,false
98,0,10,0,471,472,0,0,0,0,0,0,false
99,0,10,0,473,0,0,0,0,0,0,0,false
100,0,10,0,474,0,0,0,0,0,0,0,false
101,0,15,0,475,476,0,0,0,0,0,0,false
102,0,15,0,477,478,0,0,0,0,0,0,false
103,0,15,0,479,0,0,0,0,0,0,0,false
104,0,15,0,480,481,0,0,0,0,0,0,false
105,0,20,0,482,483,0,0,0,0,0,0,false
106,0,20,0,484,0,0,0,0,0,0,0,false
107,0,20,0,485,0,0,0,0,0,0,0,false
108,0,20,0,486,487,0,0,0,0,0,0,false
109,0,25,0,488,489,0,0,0,0,0,0,false
110,1,25,0,490,0,0,0,0,0,0,0,false
111,1,25,0,491,0,0,0,0,0,0,0,false
112,0,25,0,492,0,0,0,0,0,0,0,false
113,0,30,0,493,494,0,0,0,0,0,0,false
114,0,30,0,495,0,0,0,0,0,0,0,false
115,0,30,0,496,0,0,0,0,0,0,0,false
