Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0xc],3 [0x5][0xe],4 [0x3][0x10],5 [0x3][0x11],6 [0x6][0x8]
0,"","",0,0,0,0,0
1,"オートアタック","一定間隔で自動的に通常攻撃をし続ける。",0,0,0,1,101
2,"ジャンプ","ジャンプすることで少しくらいの段差は乗り越えることができる。",0,0,0,2,102
3,"リミットブレイク","リミットゲージを消費して、強力なリミットブレイクを発動する。\n発動するリミットブレイクは、クラスのロールによって異なる。\n盾役：パーティメンバー全員にダメージ軽減を付与する。\n近接攻撃役：敵単体に大ダメージを与える。\n遠隔攻撃役：前方直線範囲内の敵に大ダメージを与える。\n魔法攻撃役：地面を対象に、範囲内の敵に大ダメージを与える。\n回復役：パーティメンバー全員のHPを回復する。レベル3ではさらに蘇生する。",0,0,0,3,103
4,"スプリント","全ＴＰを消費して、自身の移動速度をアップする。\n<color?>効果時間：</color>（消費ＴＰ）/50",3,0,56,4,104
5,"分解","アイテムを解体し、再利用できる素材を取り出す。",0,95,0,21,120
6,"修理","装備品の耐久度を回復させる。\n触媒として装備レベルに応じたダークマターが必要。",0,0,0,5,106
7,"テレポ","ギルを消費して、訪れたことのあるエーテライトまで転移する。",5,4,0,6,111
8,"デジョン","ホームポイント登録した場所まで転移する。",6,1,57,7,112
9,"マウント・ルーレット","ランダムにマウントを呼び出す。",0,0,0,17,118
10,"ミニオン・ルーレット","ランダムにミニオンを呼び出す。",0,0,0,18,117
11,"","",0,0,0,0,0
12,"マテリア装着","装備品に思念結晶体マテリアを装着し、強化する。\n触媒としてマテリアに応じたコールマターが必要。",0,11,0,8,107
13,"マテリア装着II","装備品に思念結晶体マテリアを装着し、強化する。\n触媒としてマテリアに応じたコールマターが必要。\n失敗の危険性を伴うが、マテリア穴の個数を超えた装着も可能。",0,12,0,9,108
14,"マテリア化","思念の宿った物体を星気体に分解したあと、再結晶（マテリア）化する。",0,13,0,10,109
15,"染色","カララントを消費して、装備品の色を変更する。",0,14,0,11,110
16,"ターゲット・順送り","一番近い敵から順送りにターゲットする。",0,0,0,12,113
17,"ターゲット・逆送り","一番近い敵から逆送りにターゲットする。",0,0,0,13,114
18,"設置","手に持っているアイテムをその場に置く。",0,0,0,0,61112
19,"ディサイファー","古ぼけた地図を解読する。",1694,25,0,15,115
20,"ディグ","宝の地図に記された宝箱があるかどうか、周囲を探る。\n<color?>範囲：</color>半径30ｍ",1695,25,67,16,116
21,"精選","採集した蒐集品を選りすぐり、新たなアイテムを発見する。",0,256,0,22,121
22,"武具投影","ミラージュプリズムを消費して、装備品の外見を変更する。",0,15,0,20,119
23,"降りる","マウントから降りる。",0,0,0,0,61128
24,"","",0,0,0,0,0
25,"","",0,0,0,0,0
