Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd]
0,"",0,"",0,0,1,0,0
1,"",0,"",0,0,0,0,0
2,"Ruinenrenner",4,"Ruinenrenner",2,0,1,0,0
3,"Antilopenkuh",3,"Antilopenkühe",2,0,1,1,0
4,"Antilopenbock",4,"Antilopenböcke",2,0,1,0,0
5,"Opo-Opo",4,"Opo-Opos",1,0,1,0,0
6,"Lori",4,"Loris",1,0,1,0,0
7,"Dämonenschnake",3,"Dämonenschnaken",1,0,1,1,0
8,"Dämonenfliege",3,"Dämonenfliegen",1,0,1,1,0
9,"Schattenmilbe",3,"Schattenmilben",1,0,1,1,0
10,"Schaudermilbe",3,"Schaudermilben",1,0,1,1,0
11,"Terrormilbe",3,"Terrormilben",1,0,1,1,0
12,"Kapgeier",4,"Kapgeier",2,0,1,0,0
13,"Baumkronen-Bussard",4,"Baumkronen-Bussarde",2,0,1,0,0
14,"Wildschweinchen",4,"Wildschweinchen",1,0,1,2,0
15,"Wildschwein",4,"Wildschweine",2,0,1,2,0
16,"wild[a] Keiler",4,"wild[a] Keiler",2,0,1,0,0
17,"Brandballon",4,"Brandballons",1,0,1,0,0
18,"Zombie",4,"Zombies",1,0,1,0,0
19,"Zombie-Zauberer",4,"Zombie-Zauberer",2,0,1,0,0
20,"verhext[a] Gerippe",4,"verhext[a] Gerippe",2,0,1,2,0
21,"Gauner-Imp",4,"Gauner-Imps",1,0,1,0,0
22,"Rösling",4,"Röslinge",2,0,1,0,0
23,"Dämonenfliegenfalle",3,"Dämonenfliegenfallen",1,0,1,1,0
24,"Baumschrat",4,"Baumschrate",2,0,1,0,0
25,"Dryade",3,"Dryaden",1,0,1,1,0
26,"Karpfenkröte",3,"Karpfenkröten",1,0,1,1,0
27,"Nöck",1,"Nöcken",1,0,1,0,0
28,"Coeurl-Jungtier",4,"Coeurl-Jungtiere",2,0,1,2,0
29,"Dullahan",3,"Dullahan",1,0,1,0,0
30,"Lehmgolem",4,"Lehmgolems",1,0,1,0,0
31,"Gedankenschinder",4,"Gedankenschinder",2,0,1,0,0
32,"Mikrochu",4,"Mikrochus",1,0,1,2,0
33,"Ochu",4,"Ochus",1,0,1,2,0
34,"Adaman-Taimai",3,"Adaman-Taimai",1,0,1,0,0
35,"Tomberry",3,"Tomberrys",1,0,1,0,0
36,"Rüsselkäfer",4,"Rüsselkäfer",2,0,1,0,0
37,"Baumhörnchen",4,"Baumhörnchen",1,0,1,2,0
38,"schwarz[a] Fledermaus",3,"schwarz[a] Fledermäuse",2,0,1,1,0
