Index,0 [0x5][0x0],1 [0x3][0x4],2 [0x3][0x5],3 [0x3][0x6],4 [0x3][0x7],5 [0x3][0x8],6 [0x3][0x9],7 [0x5][0x2],8 [0x3][0xa]
0,65535,0,0,0,0,1,0,0,0
1,0,4,3,4,2,1,0,0,1
2,1,2,7,2,2,1,0,5,2
3,2,4,3,3,3,1,0,0,3
4,3,2,4,4,3,1,0,5,4
5,4,2,3,5,4,1,0,5,5
6,5,3,3,3,4,1,0,0,6
7,6,4,5,3,2,1,0,0,7
8,7,3,3,4,3,1,0,5,8
9,8,5,5,2,2,1,0,5,9
10,9,2,2,5,5,1,0,0,10
11,10,5,2,2,5,1,0,5,11
12,11,2,5,2,5,1,0,5,12
13,12,3,2,1,7,1,0,5,14
14,13,1,7,1,4,1,3,5,15
15,14,6,3,4,1,1,3,5,16
16,15,2,5,4,4,1,3,5,17
17,16,2,4,6,2,1,3,5,18
18,17,4,3,3,5,1,3,5,19
19,18,7,3,2,2,1,2,5,20
20,19,2,3,7,1,1,0,5,21
21,20,3,7,2,6,2,0,10,22
22,21,2,6,7,3,2,0,10,23
23,22,6,2,3,7,2,0,10,24
24,23,7,2,6,3,2,0,10,25
25,24,7,2,2,7,2,0,10,26
26,25,2,7,7,2,2,0,10,27
27,26,6,2,6,6,2,3,10,39
28,27,7,5,3,5,2,0,10,31
29,28,3,5,5,7,2,0,10,32
30,29,5,3,7,5,2,0,10,33
31,30,3,7,1,7,2,4,10,34
32,31,7,3,7,1,2,4,10,35
33,32,5,7,5,3,2,0,10,36
34,33,1,3,7,7,2,0,10,37
35,34,6,6,6,2,2,3,10,40
36,35,2,6,6,6,2,3,10,41
37,36,6,6,2,6,2,3,10,42
38,37,7,4,2,8,3,0,50,43
39,38,8,7,3,3,3,0,50,51
40,39,7,6,7,1,3,1,50,47
41,40,1,7,6,7,3,1,50,48
42,41,7,1,7,6,3,1,50,49
43,42,7,7,1,6,3,1,50,50
44,43,5,6,6,6,3,0,50,52
45,44,6,5,6,6,3,0,50,53
46,45,2,8,7,3,3,2,50,54
47,46,4,8,7,1,3,4,50,55
48,47,3,8,2,7,3,2,50,56
49,48,7,1,4,8,3,2,50,57
50,49,8,4,7,1,3,2,50,58
51,50,7,9,1,8,4,4,200,66
52,51,8,1,8,8,4,1,200,67
53,52,8,8,8,1,4,1,200,68
54,53,8,8,1,8,4,1,200,69
55,54,1,8,8,8,4,1,200,70
56,55,9,3,5,8,4,2,200,73
57,56,4,4,8,9,4,0,200,74
58,57,5,9,2,9,4,0,200,75
59,58,9,3,9,3,4,2,200,76
60,59,9,9,3,4,4,2,200,77
61,60,9,9,6,5,5,1,600,79
62,61,1,10,8,8,5,0,600,82
63,62,10,4,8,6,5,0,600,83
64,63,4,5,9,10,5,4,600,84
65,64,5,10,3,9,5,0,600,85
66,65,9,1,7,10,5,0,600,86
67,66,6,9,10,2,5,0,600,87
68,67,10,5,10,2,5,0,600,88
69,68,10,10,1,5,5,0,600,89
70,69,8,8,10,2,5,0,600,90
71,70,4,4,10,10,5,0,600,91
72,71,4,10,10,4,5,0,600,92
73,72,10,2,5,10,5,0,600,93
74,73,9,9,8,3,5,0,600,94
75,74,6,10,1,10,5,0,0,95
76,75,5,6,8,10,5,0,600,96
77,76,10,1,9,7,5,0,600,97
78,77,4,7,9,9,5,0,0,98
79,78,1,10,9,7,5,0,0,99
80,79,9,7,10,1,5,0,600,100
81,80,4,1,7,1,1,0,5,13
82,81,2,4,7,6,2,3,10,29
83,82,6,7,3,3,2,3,10,30
84,83,7,1,3,7,2,0,10,38
85,84,5,5,5,5,2,0,10,28
86,85,5,7,8,1,3,0,50,44
87,86,1,8,7,5,3,0,50,45
88,87,8,2,3,8,3,0,50,60
89,88,8,3,8,2,3,0,50,61
90,89,4,8,1,8,3,0,50,62
91,90,1,8,8,4,3,0,50,63
92,91,8,8,1,3,3,0,50,64
93,92,1,3,8,8,3,0,50,65
94,93,8,1,7,4,3,0,50,46
95,94,7,5,8,1,3,0,0,59
96,95,1,9,9,5,4,0,200,78
97,96,9,8,1,7,4,1,200,71
98,97,1,7,8,9,4,1,200,72
99,98,10,3,8,7,5,0,600,80
100,99,3,10,7,8,5,0,0,81
