Index,0 [0x0][0x0],1 [0x6][0x8],2 [0x6][0xc],3 [0x6][0x10],4 [0x6][0x14],5 [0x6][0x18],6 [0x6][0x1c],7 [0x6][0x20],8 [0x6][0x24],9 [0x3][0x32],10 [0x3][0x33],11 [0x19][0x35],12 [0x1a][0x35],13 [0x1b][0x35],14 [0x1c][0x35],15 [0x3][0x34],16 [0x6][0x28],17 [0x5][0x2c],18 [0x5][0x2e],19 [0x5][0x30],20 [0x7][0x4]
0,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
1,"Surprised",689,0,0,0,674,674,0,0,1,0,false,true,false,false,74,402,64001,100,200,0
2,"Angry",690,0,0,639,639,639,0,0,1,0,false,true,false,false,69,403,64002,101,201,0
3,"Furious",691,0,0,664,664,664,0,0,1,0,false,true,false,false,63,404,64003,102,202,0
4,"Blush",693,0,0,0,0,0,0,0,1,0,false,true,false,false,26,405,64004,103,203,0
5,"Bow",694,0,0,0,0,0,0,0,1,0,false,true,false,false,1,406,64005,104,204,0
6,"Cheer",695,0,0,0,675,675,0,0,1,0,false,true,false,false,44,407,64006,105,205,0
7,"Clap",696,0,0,656,645,676,0,0,1,0,false,true,false,false,42,408,64007,106,206,0
8,"Beckon",697,0,0,0,0,0,0,0,1,0,false,true,false,false,91,409,64008,107,207,0
9,"Comfort",698,0,0,0,677,677,0,0,1,0,false,true,false,false,27,410,64009,108,208,0
10,"Cry",699,0,0,0,678,678,0,0,1,0,false,true,false,false,62,411,64010,109,209,0
11,"Dance",700,0,0,0,0,0,0,0,1,0,false,true,false,false,31,412,64011,110,210,0
12,"Doubt",702,0,0,0,0,0,0,0,1,0,false,true,false,false,75,413,64012,111,211,0
13,"Doze",703,0,0,657,646,679,0,0,1,0,false,true,false,false,97,414,64013,112,212,0
14,"Fume",704,0,0,0,0,0,0,0,1,0,false,true,false,false,64,415,64014,113,213,0
15,"Goodbye",705,0,0,637,680,680,0,0,1,0,false,true,false,false,3,416,64015,114,214,0
16,"Wave",706,0,0,663,652,681,0,0,1,0,false,true,false,false,4,417,64016,115,215,0
17,"Huh",707,0,0,660,649,682,0,0,1,0,false,true,false,false,70,418,64017,116,216,0
18,"Joy",708,0,0,0,683,683,0,0,1,0,false,true,false,false,22,419,64018,117,217,0
19,"Kneel",710,0,0,0,0,0,0,0,1,0,false,true,false,false,5,420,64019,118,218,0
20,"Chuckle",711,0,0,662,651,685,0,0,1,0,false,true,false,false,20,421,64020,119,219,0
21,"Laugh",712,0,0,638,635,686,0,0,1,0,false,true,false,false,21,422,64021,120,220,0
22,"Lookout",713,0,0,665,665,665,0,0,1,0,false,true,false,false,101,423,64022,121,221,0
23,"Me",715,0,0,0,745,745,0,0,1,0,false,true,false,false,103,424,64023,122,222,0
24,"No",716,0,0,666,666,666,0,0,1,0,false,true,false,false,60,425,64024,123,223,0
25,"Deny",717,0,0,667,746,746,0,0,1,0,false,true,false,false,61,426,64025,124,224,0
26,"Panic",719,0,0,0,0,0,0,0,1,0,false,true,false,false,65,427,64026,125,225,0
27,"Point",720,0,0,0,687,687,0,0,1,0,false,true,false,false,98,428,64027,126,226,0
28,"Poke",721,0,0,0,748,748,0,3185,1,0,false,true,false,false,99,429,64028,127,227,0
29,"Congratulate",723,0,0,636,749,749,0,0,1,0,false,true,false,false,43,430,64029,128,228,0
30,"Psych",724,0,0,0,0,0,0,0,1,0,false,true,false,false,28,431,64030,129,229,0
31,"Salute",725,0,0,0,750,750,0,0,1,0,false,true,false,false,6,432,64031,130,230,0
32,"Shocked",729,0,0,0,751,751,0,0,1,0,false,true,false,false,71,433,64032,131,231,0
33,"Shrug",730,0,0,0,752,752,0,0,1,0,false,true,false,false,72,434,64033,132,232,0
34,"Rally",731,0,0,0,0,0,0,0,1,0,false,true,false,false,24,435,64034,133,233,0
35,"Soothe",732,0,0,0,753,753,0,0,1,0,false,true,false,false,25,436,64035,134,234,0
36,"Stagger",733,0,0,0,0,0,0,0,1,0,false,true,false,false,73,437,64036,135,235,0
37,"Stretch",734,0,0,0,588,588,0,0,1,0,false,true,false,false,100,438,64037,136,236,0
38,"Sulk",735,0,0,0,0,0,0,0,1,0,false,true,false,false,68,439,64038,137,237,0
39,"Think",736,0,0,669,589,589,0,0,1,0,false,true,false,false,94,440,64039,138,238,0
40,"Upset",737,0,0,670,590,590,0,0,1,0,false,true,false,false,66,441,64040,139,239,0
41,"Welcome",738,0,0,0,591,591,0,0,1,0,false,true,false,false,2,442,64041,140,240,0
42,"Yes",739,0,0,671,671,671,0,0,1,0,false,true,false,false,40,443,64042,141,241,0
43,"Thumbs Up",740,0,0,672,592,592,0,0,1,0,false,true,false,false,41,444,64043,142,242,0
44,"Examine Self",714,0,0,0,744,744,0,0,1,0,false,true,false,false,95,445,64044,143,243,0
45,"Pose",722,0,0,0,0,0,0,0,1,0,false,true,false,false,90,446,64045,144,244,0
46,"Blow Kiss",692,0,0,0,0,0,0,0,1,0,false,true,false,false,30,447,64049,148,248,0
47,"Grovel",701,0,0,0,0,0,0,0,1,0,false,true,false,false,76,448,64051,150,250,0
48,"Happy",709,0,0,0,684,684,0,0,1,0,false,true,false,false,23,449,64052,151,251,0
49,"Disappointed",718,0,0,668,747,747,0,0,1,0,false,true,false,false,67,450,64053,152,252,0
50,"Sit",654,653,0,0,0,0,0,0,2,1,false,false,true,false,96,451,64054,0,0,0
51,"Stand Up",655,0,0,655,0,0,0,0,2,1,true,false,false,false,0,0,64054,0,0,0
52,"Sit",643,642,0,0,0,0,0,0,2,2,false,false,false,false,0,0,64054,0,0,0
53,"Stand Up",644,0,0,0,644,0,0,0,2,2,true,false,false,false,0,0,64054,0,0,0
54,"Air Quotes",688,0,0,0,673,673,0,0,1,0,false,true,false,false,102,455,64063,0,0,0
55,"Storm Salute",726,0,0,0,0,0,0,0,1,0,false,true,false,false,7,456,64046,145,245,0
56,"Serpent Salute",727,0,0,0,0,0,0,0,1,0,false,true,false,false,7,457,64047,146,246,0
57,"Flame Salute",728,0,0,0,0,0,0,0,1,0,false,true,false,false,7,458,64048,147,247,0
58,"Pray",742,0,0,0,0,0,0,0,1,0,false,true,false,false,29,459,64064,178,278,0
59,"Imperial Salute",587,0,0,0,0,0,0,0,1,0,false,true,false,false,8,460,64066,179,279,23
60,"Visor",0,0,0,0,0,0,0,0,2,0,false,false,false,false,255,461,64065,0,0,0
61,"Visor",0,0,0,0,0,0,0,0,2,0,false,false,false,false,255,0,64065,0,0,0
62,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
63,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
64,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
65,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
66,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
67,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
68,"Straight Face",604,0,0,0,0,0,0,0,3,0,false,false,false,false,200,469,64101,161,261,0
69,"Smile",605,0,0,0,0,0,0,0,3,0,false,false,false,false,201,470,64102,162,262,0
70,"Grin",606,0,0,0,0,0,0,0,3,0,false,false,false,false,202,471,64103,163,263,0
71,"Smirk",607,0,0,0,0,0,0,0,3,0,false,false,false,false,203,472,64104,164,264,0
72,"Taunt",608,0,0,0,0,0,0,0,3,0,false,false,false,false,204,473,64105,165,265,0
73,"Shut Eyes",611,0,0,0,0,0,0,0,3,0,false,false,false,false,205,474,64106,166,266,0
74,"Sad",612,0,0,0,0,0,0,0,3,0,false,false,false,false,206,475,64107,167,267,0
75,"Scared",614,0,0,0,0,0,0,0,3,0,false,false,false,false,207,476,64108,168,268,0
76,"Amazed",615,0,0,0,0,0,0,0,3,0,false,false,false,false,208,477,64109,169,269,0
77,"Ouch",616,0,0,0,0,0,0,0,3,0,false,false,false,false,209,478,64110,170,270,0
78,"Annoyed",617,0,0,0,0,0,0,0,3,0,false,false,false,false,210,479,64111,171,271,0
79,"Alert",619,0,0,0,0,0,0,0,3,0,false,false,false,false,211,480,64112,172,272,0
80,"Worried",620,0,0,0,0,0,0,0,3,0,false,false,false,false,212,481,64113,173,273,0
81,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
82,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
83,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
84,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
85,"Throw",641,0,0,0,0,0,0,0,1,0,false,true,false,false,92,486,64050,180,280,24
86,"Snowball",743,0,0,0,0,0,0,0,1,0,false,true,false,false,0,0,64050,149,249,24
