Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd]
0,"",0,"",0,0,1,0,0
1,"filon de minerai",0,"filons de minerai",0,0,1,0,0
2,"carrière de pierre",0,"carrières de pierre",0,0,1,1,0
3,"arbre mature",0,"arbres matures",0,1,1,0,0
4,"carré de végétation",0,"carrés de végétation",0,0,1,0,0
5,"filon de minerai intact",0,"filons de minerai intacts",0,0,1,0,0
6,"carrière de pierre intacte",0,"carrières de pierre intactes",0,0,1,1,0
7,"arbre mature intact",0,"arbres matures intacts",0,1,1,0,0
8,"carré de végétation intact",0,"carrés de végétation intacts",0,0,1,0,0
9,"filon de minerai éphémère",0,"filons de minerai éphémères",0,0,1,0,0
10,"carrière de minerai éphémère",0,"carrières de minerai éphémères",0,0,1,1,0
11,"arbre mature éphémère",0,"arbres matures éphémères",0,1,1,0,0
12,"carré de végétation éphémère",0,"carrés de végétation éphémères",0,0,1,0,0
13,"filon de minerai légendaire",0,"filons de minerai légendaires",0,0,1,0,0
14,"carrière de minerai légendaire",0,"carrières de minerai légendaires",0,0,1,1,0
15,"arbre mature légendaire",0,"arbres matures légendaires",0,1,1,0,0
16,"carré de végétation légendaire",0,"carrés de végétation légendaires",0,0,1,0,0
17,"filon de minerai caché",0,"filons de minerai cachés",0,0,1,0,0
18,"carrière de minerai cachée",0,"carrières de minerai cachées",0,0,1,1,0
19,"arbre mature caché",0,"arbres matures cachés",0,1,1,0,0
20,"carré de végétation caché",0,"carrés de végétation cachés",0,0,1,0,0
21,"",0,"",0,0,1,0,0
