Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x7][0x8],3 [0x2][0xd],4 [0x3][0xc]
0,"","",0,0,0
1,"Choco-sprint","Permet de sprinter pendant une durée limitée.\nDurée d'effet: 1 seconde",70001,1,1
2,"Choco-sprint II","Permet de sprinter pendant une durée limitée.\nDurée d'effet: 2 secondes",70002,1,2
3,"Choco-sprint III","Permet de sprinter pendant une durée limitée.\nDurée d'effet: 3 secondes",70003,1,3
4,"Choco-soin","Restaure 6% de l'énergie du chocobo.",70004,2,6
5,"Choco-soin II","Restaure 9% de l'énergie du chocobo.",70005,2,9
6,"Choco-soin III","Restaure 12% de l'énergie du chocobo.",70006,2,12
7,"Choco-guérison","Retire une altération d'état avec une chance de réussite de 75%.",70007,3,75
8,"Choco-guérison II","Retire une altération d'état avec une chance de réussite de 90%.",70008,3,90
9,"Choco-guérison III","Retire une altération d'état avec une chance de réussite de 100%.",70009,3,100
10,"Choco-légèreté","Rend 80 points d'énergie à un chocobo victime de Pesanteur et soigne cet état.",70010,4,80
11,"Choco-légèreté II","Rend 130 points d'énergie à un chocobo victime de Pesanteur et soigne cet état.",70011,4,130
12,"Choco-légèreté III","Rend 180 points d'énergie à un chocobo victime de Pesanteur et soigne cet état.",70012,4,180
13,"Choco-sérénité","Rend 100 points d'énergie à un chocobo victime de Fébrilité et soigne cet état.",70013,5,100
14,"Choco-sérénité II","Rend 150 points d'énergie à un chocobo victime de Fébrilité et soigne cet état.",70014,5,150
15,"Choco-sérénité III","Rend 200 points d'énergie à un chocobo victime de Fébrilité et soigne cet état.",70015,5,200
16,"Chocoboomerang","Renvoie à l'expéditeur une attaque affaiblissante visant le chocobo.\nDurée d'effet: 10 secondes",70016,6,10
17,"Chocoboomerang II","Renvoie à l'expéditeur une attaque affaiblissante visant le chocobo.\nDurée d'effet: 15 secondes",70017,6,15
18,"Chocoboomerang III","Renvoie à l'expéditeur une attaque affaiblissante visant le chocobo.\nDurée d'effet: 20 secondes",70018,6,20
19,"Choco-larcin","Permet de voler un objet au chocobo classé juste avant soi avec une chance de réussite de 50%.",70019,7,50
20,"Choco-larcin II","Permet de voler un objet au chocobo classé juste avant soi avec une chance de réussite de 70%.",70020,7,70
21,"Choco-larcin III","Permet de voler un objet au chocobo classé juste avant soi avec une chance de réussite de 90%.",70021,7,90
22,"Choco-silence","Génère un champ de force autour du chocobo qui empêche pour un temps les adversaires d'utiliser des aptitudes.\nDurée d'effet: 35 secondes",70022,8,35
23,"Choco-silence II","Génère un champ de force autour du chocobo qui empêche pour un temps les adversaires d'utiliser des aptitudes.\nDurée d'effet: 40 secondes",70023,8,40
24,"Choco-silence III","Génère un champ de force autour du chocobo qui empêche pour un temps les adversaires d'utiliser des aptitudes.\nDurée d'effet: 45 secondes",70024,8,45
25,"Choco-choc","Génère un champ magnétique autour du chocobo qui empêche pour un temps les adversaires d'utiliser des objets.\nDurée d'effet: 25 secondes",70025,9,25
26,"Choco-choc II","Génère un champ magnétique autour du chocobo qui empêche pour un temps les adversaires d'utiliser des objets.\nDurée d'effet: 30 secondes",70026,9,30
27,"Choco-choc III","Génère un champ magnétique autour du chocobo qui empêche pour un temps les adversaires d'utiliser des objets.\nDurée d'effet: 35 secondes",70027,9,35
28,"Endurance améliorée","Réduit de 9% la perte d'énergie pendant l'accélération.",70028,10,9
29,"Endurance améliorée II","Réduit de 12% la perte d'énergie pendant l'accélération.",70029,10,12
30,"Endurance améliorée III","Réduit de 15% la perte d'énergie pendant l'accélération.",70030,10,15
31,"Résistance à Pesanteur","Octroie 60% de chances de résister à l'altération d'état Pesanteur.",70031,11,60
32,"Résistance à Pesanteur II","Octroie 70% de chances de résister à l'altération d'état Pesanteur.",70032,11,70
33,"Résistance à Pesanteur III","Octroie 80% de chances de résister à l'altération d'état Pesanteur.",70033,11,80
34,"Résistance à Pesanteur IV","Octroie 90% de chances de résister à l'altération d'état Pesanteur.",70034,11,90
35,"Résistance à Pesanteur V","Octroie 100% de chances de résister à l'altération d'état Pesanteur.",70035,11,100
36,"Résistance à Fébrilité","Octroie 60% de chances de résister à l'altération d'état Fébrilité.",70036,12,60
37,"Résistance à Fébrilité II","Octroie 70% de chances de résister à l'altération d'état Fébrilité.",70037,12,70
38,"Résistance à Fébrilité III","Octroie 80% de chances de résister à l'altération d'état Fébrilité.",70038,12,80
39,"Résistance à Fébrilité IV","Octroie 90% de chances de résister à l'altération d'état Fébrilité.",70039,12,90
40,"Résistance à Fébrilité V","Octroie 100% de chances de résister à l'altération d'état Fébrilité.",70040,12,100
41,"Récupération améliorée","Augmente de 50% le potentiel des soins.",70041,13,50
42,"Récupération améliorée II","Augmente de 65% le potentiel des soins.",70042,13,65
43,"Récupération améliorée III","Augmente de 80% le potentiel des soins.",70043,13,80
44,"Gain d'expérience accru","Augmente de 10% l'expérience gagnée.",70044,14,10
45,"Gain d'expérience accru II","Augmente de 20% l'expérience gagnée.",70045,14,20
46,"Gain d'expérience accru III","Augmente de 30% l'expérience gagnée.",70046,14,30
47,"Sprint de départ","Permet de démarrer la course à vitesse maximale.",70047,15,1
48,"","",0,0,0
49,"","",0,0,0
50,"","",0,0,0
