Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd]
0,"",0,"",0,0,1,0,0
1,"採掘場",0,"",0,0,1,0,0
2,"岩場",0,"",0,0,1,0,0
3,"良木",0,"",0,0,1,0,0
4,"草刈場",0,"",0,0,1,0,0
5,"未知の採掘場",0,"",0,0,1,0,0
6,"未知の岩場",0,"",0,0,1,0,0
7,"未知の良木",0,"",0,0,1,0,0
8,"未知の草刈場",0,"",0,0,1,0,0
9,"刻限の採掘場",0,"",0,0,1,0,0
10,"刻限の岩場",0,"",0,0,1,0,0
11,"刻限の良木",0,"",0,0,1,0,0
12,"刻限の草刈場",0,"",0,0,1,0,0
13,"伝説の採掘場",0,"",0,0,1,0,0
14,"伝説の岩場",0,"",0,0,1,0,0
15,"伝説の良木",0,"",0,0,1,0,0
16,"伝説の草刈場",0,"",0,0,1,0,0
17,"隠れた採掘場",0,"",0,0,1,0,0
18,"隠れた岩場",0,"",0,0,1,0,0
19,"隠れた良木",0,"",0,0,1,0,0
20,"隠れた草刈場",0,"",0,0,1,0,0
21,"",0,"",0,0,1,0,0
