Index,0 [0x6][0x8],1 [0x3][0xc],2 [0x3][0xd],3 [0x2][0xe],4 [0x0][0x0],5 [0x0][0x4]
0,0,0,0,0,"",""
1,16,10,1,-3,"Dégainer/Rengainer","Dégaine/rengaine votre arme principale."
2,1,13,1,0,"Personnage","Affiche des informations sur votre personnage, ses attributs, son équipement, ses titres, ses devises, etc."
3,4,11,1,-2,"Actions et traits","Affiche le menu des actions et des traits dont dispose votre personnage. Les actions peuvent être exécutées à partir des barres de raccourcis."
4,5,32,2,0,"Journal","Affiche une liste des quêtes, mandats et missions de compagnie en cours et terminés. Depuis cette liste, vous pouvez confirmer les objectifs et les lieux ou abandonner la tâche."
5,47,34,2,2,"Calendrier","Indique le temps restant pour diverses tâches comme les donjons, certaines quêtes ou les autorisations des mandats."
6,6,21,1,8,"Hauts faits","Affiche une liste des hauts faits ainsi que leurs conditions d'obtention."
7,23,43,3,1,"Carnet de récolte","Affiche des informations sur les objets déjà récoltés ainsi que les lieux de récolte classés par zone."
8,21,40,3,-2,"Bestiaire","Affiche une liste des objectifs de chasse des disciples de la guerre et de la magie, des informations sur l'habitat des monstres, le nombre tué, et l'expérience gagnée."
9,22,42,3,0,"Carnet d'artisanat","Ouvre l'interface d'artisanat depuis laquelle vous pouvez sélectionner des objets à synthétiser."
10,2,15,1,2,"Inventaire","Affiche une liste de tous les cristaux et objets de votre inventaire. À partir de cette liste, vous pouvez vous équiper d'objets, les utiliser, les jeter ou les ranger."
11,3,31,2,-1,"Objets-clefs","Affiche une liste des objets utilisés uniquement dans des quêtes spécifiques. Si vous abandonnez une quête, tous les objets-clefs associés sont jetés."
12,17,60,5,0,"Équipiers","Affiche une liste de vos équipiers actuels. À partir de cette liste, vous pouvez changer l'ordre des équipiers et, si vous êtes le chef d'équipe, exclure d'autres joueurs ou dissoudre l'équipe."
13,18,75,6,4,"Liste d'amis","Affiche une liste des joueurs présents dans votre liste d'amis. À partir de cette liste, vous pouvez envoyer des murmures ou inviter des joueurs à former une équipe."
14,19,76,6,5,"Liste noire","Affiche une liste des joueurs présents dans votre liste noire. Les messages de ces joueurs seront cachés et ils seront incapables d'échanger avec vous ou de vous inviter à former une équipe."
15,20,70,6,-1,"Recherche","Permet de chercher d'autres joueurs à l'aide de variables comme le nom, la classe, le niveau et l'état en ligne."
16,7,50,4,0,"Carte","Ouvre la carte de votre emplacement actuel. Vous y trouverez des informations sur les équipiers, les éthérites, les échoppes, les guildes et la destination des quêtes. Vous pouvez effectuer un zoom avant ou arrière, ainsi que passer à la carte de la région ou du monde."
17,9,71,6,0,"Emotes","Affiche une liste des emotes disponibles. Vous pouvez les effectuer depuis la liste ou les ajouter à votre barre de raccourcis."
18,10,62,5,2,"Signes","Permet de marquer diverses cibles pour que les équipiers les discernent plus facilement."
19,29,83,7,1,"Configuration système","Ouvre la fenêtre des paramètres système comme les options vidéo, audio, les fonctionnalités de jeu à la manette, etc."
20,28,86,7,4,"Attribution des touches","Permet d'assigner diverses fonctions à des touches de votre clavier selon votre style de jeu."
21,30,85,7,3,"Macros","Permet de créer des macros pour lancer des commandes complexes d'un simple bouton. Vous pouvez leur assigner des icones et les placer dans votre barre de raccourcis."
22,31,84,7,2,"ATH","Permet de modifier l'emplacement et la taille de tous les composants de l'interface utilisateur."
23,27,87,7,6,"Déconnexion","Permet de se déconnecter et retourner à l'écran titre."
24,26,88,7,7,"Quitter le jeu","Permet de se déconnecter et quitter le jeu."
25,32,14,1,1,"Arsenal","Affiche l'équipement stocké dans votre arsenal. Tout l'équipement obtenu y est automatiquement déplacé et classé par type. De là, vous pouvez vous en équiper, le réparer ou le déplacer dans votre inventaire."
26,0,0,0,0,"",""
