Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x8]
0,"","",0
1,"ハルオーネ","氷河と戦争を司る女神にして、都市国家イシュガルドの守護神。氷属の神力を有し、星一月の運行を務める。
通説では壊神ラールガーの娘であり、地神ノフィカの仇敵と解釈される。
青銅の大盾を持つ勝気な戦士の姿で描かれ、数槍を象徴として表されることが多い。",61601
2,"メネフィナ","双月と慈愛を司る女神。氷属の神力を有し、霊一月の運行を務める。
通説では日神アーゼマの異母妹であり、山神オシュオンの恋人と解釈される。
円い平鍋を持った健気な小間使いの姿で描かれ、月輪を象徴として表されることが多い。",61602
3,"サリャク","河川と知識を司る男神にして、都市国家シャーレアンの守護神。水属の神力を有し、星二月の運行を務める。
通説では海神リムレーンの父であり、工神ビエルゴの師と解釈される。
トネリコの杖を持つ内気な学者の姿で描かれ、巻物を象徴として表されることが多い。",61603
4,"ニメーヤ","惑星と運命を司る女神。水属の神力を有し、霊二月の運行を務める。
通説では時神アルジクの妹であり、壊神ラールガーの主と解釈される。
白絹のベールを被った聡明な機織の姿で描かれ、紡車を象徴として表されることが多い。",61604
5,"リムレーン","海洋と航海を司る女神にして、都市国家リムサ・ロミンサの守護神。風属の神力を有し、星三月の運行を務める。
通説では河神サリャクの娘であり、地神ノフィカの姉と解釈される。
大身の銛を持つ壮健な漁師の姿で描かれ、波浪を象徴として表されることが多い。",61605
6,"オシュオン","山岳と放浪を司る男神。風属の神力を有し、霊三月の運行を務める。
通説では商神ナルザルの義兄弟であり、戦神ハルオーネの親友と解釈される。
イチイの弓を持った呑気な猟人の姿で描かれ、山杖を象徴として表されることが多い。",61606
7,"ビエルゴ","建築と工芸を司る男神。雷属の神力を有し、星四月の運行を務める。
通説では河神サリャクの弟子であり、戦神ハルオーネの兄と解釈される。
双頭の鉄鎚を持つ誠実な鍛冶の姿で描かれ、手指を象徴として表されることが多い。",61607
8,"ラールガー","彗星と破壊を司る男神にして、都市国家アラミゴの守護神。雷属の神力を有し、霊四月の運行を務める。
通説では星神ニメーヤの僕であり、工神ビエルゴと戦神ハルオーネの養父と解釈される。
黄銅の杖を持った怜悧な魔法使いの姿で描かれ、流星を象徴として表されることが多い。",61608
9,"アーゼマ","太陽と審理を司る女神。火属の神力を有し、星五月の運行を務める。
通説では時神アルジクの娘であり、愛神メネフィナの姉と解釈される。
黄金の扇を持つ豪気な貴婦人の姿で描かれ、日輪を象徴として表されることが多い。",61609
10,"ナルザル","地底と商売を司る男神にして、都市国家ウルダハの守護神。火属の神力を有し、霊五月の運行を務める。
通説ではナルとザルの二面の神であり、双子と解釈される。
天秤を持つ明敏な商人の姿で描かれ、貝貨を象徴として表されることが多い。",61610
11,"ノフィカ","大地と豊穣を司る女神にして、都市国家グリダニアの守護神。土属の神力を有し、星六月の運行を務める。
通説では日神アーゼマの娘であり、海神リムレーンの妹と解釈される。
鋼の大鎌を持つ陽気な農民の姿で描かれ、新緑を象徴として表されることが多い。",61611
12,"アルジク","重力と時間を司る男神。土属の神力を有し、霊六月の運行を務める。
通説では星神ニメーヤの兄であり、日神アーゼマと月神メネフィナの父と解釈される。
霊銀の大斧を持つ厳格な帝王の姿で描かれ、砂時計を象徴として表されることが多い。",61612
