Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x3][0x28],3 [0x5][0x1c],4 [0x5][0x1e],5 [0x5][0x20],6 [0x5][0x22],7 [0x3][0x29],8 [0x3][0x2a],9 [0x3][0x2b],10 [0x3][0x2c],11 [0x19][0x33],12 [0x1a][0x33],13 [0x1b][0x33],14 [0x5][0x24],15 [0x6][0xc],16 [0x6][0x10],17 [0x7][0x8],18 [0x5][0x26],19 [0x6][0x14],20 [0x6][0x18],21 [0x3][0x2d],22 [0x2][0x31],23 [0x2][0x32],24 [0x1c][0x33],25 [0x3][0x2e],26 [0x3][0x2f],27 [0x3][0x30]
1,"default","ffxiv/_trial/default/level/default",1,1,0,2,1,0,1,0,0,false,true,true,1003,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
2,"collision_test","ffxiv/_trial/collision_test/level/collision_test",1,1,0,3,1,0,1,0,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
3,"battle_test","ffxiv/_trial/battle_test/level/battle_test",1,1,0,4,1,0,1,0,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
4,"pvp_test","ffxiv/sea_s1/pvp/s1p2/level/s1p2",5,1,0,5,1,0,1,0,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1,true,0,0,0
5,"event_test","ffxiv/_trial/event_test/level/event_test",1,1,0,6,1,0,1,0,0,false,true,true,1003,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
6,"w1f2_client_benchmark","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,24,0,43,21,0,1,0,0,false,true,true,1001,122002,123105,0,0,0,-1,0,-1,-1,false,0,0,0
7,"f1f1_client_benchmark","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,0,54,4,0,1,0,0,false,true,true,1004,122003,123204,0,0,0,-1,0,-1,-1,false,0,0,0
8,"f1t1_intel","ffxiv/fst_f1/twn/f1t1/level/f1t1",1,23,0,52,2,0,0,0,0,true,false,false,1003,122003,123201,0,0,0,-1,0,-1,-1,false,0,0,0
9,"f1f1_intel","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,0,54,4,0,1,0,0,true,true,true,1004,122003,123204,0,0,0,-1,0,-1,-1,false,0,0,0
10,"s1f2_client_benchmark","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,22,0,31,16,0,1,0,0,false,true,true,1001,122001,123005,0,0,0,-1,0,-1,-1,false,0,0,0
11,"f1d1_client_benchmark","ffxiv/fst_f1/dun/f1d1/level/f1d1",1,23,0,58,8,2,3,0,0,false,true,true,1002,122003,124201,0,0,0,-1,0,-1,-1,false,0,0,0
13,"zoo","ffxiv/_trial/zoo/level/zoo",1,1,0,10,1,0,1,0,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
14,"npc_pop_test","",1,1,0,11,1,0,1,0,0,false,true,true,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
