Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x10],4 [0x7][0x8],5 [0x3][0x11],6 [0x19][0x12]
0,"","",0,0,0,0,true
1,"The Heat of Battle","Increases EXP earned through battle by 5%.\n<color?>Duration:</color> 24h",64213,5,3500,1,true
2,"Earth and Water","Increases EXP earned through gathering by 5%.\n<color?>Duration:</color> 24h",64215,5,3500,2,true
3,"Helping Hand","Increases EXP earned through crafting by 5%.\n<color?>Duration:</color> 24h",64216,5,3500,3,true
4,"A Man's Best Friend","Increases EXP earned by companions by 10%.\n<color?>Duration:</color> 24h",64214,5,2800,4,true
5,"Mark Up","Increases Wolf Marks earned by 5%.\n<color?>Duration:</color> 24h",64217,5,2800,5,true
6,"Seal Sweetener","Increases company seals earned by 5%.\n<color?>Duration:</color> 24h",64218,5,2800,6,true
7,"Brave New World","Increases the attributes of all Disciple of War or Magic members under level 25 by 10%.\n<color?>Duration:</color> 24h",64201,5,1750,8,true
8,"Live off the Land","Increases Gathering by 5.\n<color?>Duration:</color> 24h",64202,5,2800,9,true
9,"What You See","Increases Perception by 5.\n<color?>Duration:</color> 24h",64203,5,2800,10,true
10,"Eat from the Hand","Increases Craftsmanship by 5.\n<color?>Duration:</color> 24h",64204,5,2800,11,true
11,"In Control","Increases Control by 5.\n<color?>Duration:</color> 24h",64205,5,2800,12,true
12,"That Which Binds Us","Increases spiritbonding speed.\n<color?>Duration:</color> 24h",64209,5,3500,13,true
13,"Meat and Mead","Increases duration of food effects by five minutes.\n<color?>Duration:</color> 24h",64208,5,2800,14,true
14,"Proper Care","Slows gear wear by 10%.\n<color?>Duration:</color> 24h",64210,5,3500,15,true
15,"Back on Your Feet","Reduces duration of Weakness after being revived by 10%.\n<color?>Duration:</color> 24h",64211,5,2800,16,true
16,"Reduced Rates","Reduces teleportation fees by 20%.\n<color?>Duration:</color> 24h",64212,5,3500,17,true
17,"Jackpot","Increases MGP payout by 5%.\n<color?>Duration:</color> 24h",64219,5,2800,7,true
18,"","",0,0,0,0,true
19,"","",0,0,0,0,true
20,"","",0,0,0,0,true
21,"","",0,0,0,0,true
22,"","",0,0,0,0,true
23,"","",0,0,0,0,true
24,"","",0,0,0,0,true
25,"","",0,0,0,0,true
26,"","",0,0,0,0,true
