Index,0 [0x0][0x4],1 [0x3][0xa],2 [0x3][0xb],3 [0x19][0xd],4 [0x3][0xc],5 [0x5][0x8],6 [0x0][0x0]
0,"",255,255,false,0,0,""
11,"MOVE_AND_STEER",255,255,false,1,1,"ステアリング移動"
12,"MOVE_FORE",255,255,false,1,2,"前進 / 前へ進む"
13,"MOVE_BACK",255,255,false,1,3,"後退 / 後ろへ進む"
14,"MOVE_LEFT",255,255,false,1,4,"左ターン / 左へ進む"
15,"MOVE_RIGHT",255,255,false,1,5,"右ターン / 右へ進む"
16,"MOVE_STRIFE_L",255,255,false,1,6,"左ストライフ移動"
17,"MOVE_STRIFE_R",255,255,false,1,7,"右ストライフ移動"
18,"JUMP",255,255,false,1,8,"ジャンプ"
19,"WALK",255,255,false,1,9,"ウォーキング切り替え"
20,"AUTORUN_KEY",255,255,false,1,10,"オートラン切り替え"
21,"SWARD",255,255,false,1,11,"武器の納刀/抜刀"
22,"CAMERA_FOCUS",255,255,false,1,12,"ロックオン"
23,"MOVE_DESCENT",255,255,false,1,13,"飛行操作：下降"
24,"MOVE_RETENTION",255,255,false,1,14,"飛行操作：高度維持"
25,"MOVE_ANGLE_RISING",255,255,false,1,15,"飛行操作：ピッチ角上昇"
26,"MOVE_ANGLE_DESCENT",255,255,false,1,16,"飛行操作：ピッチ角下降"
27,"",255,255,false,0,0,""
28,"",255,255,false,0,0,""
29,"",255,255,false,0,0,""
30,"",255,255,false,0,0,""
31,"",255,255,false,0,0,""
32,"",255,255,false,0,0,""
33,"",255,255,false,0,0,""
34,"",255,255,false,0,0,""
35,"",255,255,false,0,0,""
36,"",255,255,false,0,0,""
37,"",255,255,false,0,0,""
38,"",255,255,false,0,0,""
39,"",255,255,false,0,0,""
40,"",255,255,false,0,0,""
41,"",255,255,false,0,0,""
42,"",255,255,false,0,0,""
43,"",255,255,false,0,0,""
44,"",255,255,false,0,0,""
45,"",255,255,false,0,0,""
46,"",255,255,false,0,0,""
47,"",255,255,false,0,0,""
48,"",255,255,false,0,0,""
49,"",255,255,false,0,0,""
51,"CAMERA_UP",255,255,false,1,17,"カメラ上移動"
52,"CAMERA_DOWN",255,255,false,1,18,"カメラ下移動"
53,"CAMERA_LEFT",255,255,false,1,19,"カメラ左移動"
54,"CAMERA_RIGHT",255,255,false,1,20,"カメラ右移動"
55,"CAMERA_MODE",255,255,false,1,21,"主観/客観カメラ切り替え"
56,"CAMERA_BACKWARD",255,255,false,1,22,"フリップカメラ"
57,"CAMERA_ZOOMIN",255,255,false,1,23,"カメラ・ズームイン / ページ切り替え：逆送り"
58,"CAMERA_ZOOMOUT",255,255,false,1,24,"カメラ・ズームアウト / ページ切り替え：順送り"
59,"CAMERA_LOAD",255,255,false,1,25,"カメラ位置を戻す"
60,"CAMERA_SAVE",255,255,false,1,26,"現在のカメラ位置の記憶"
61,"CAMERA_RESET",255,255,false,1,27,"カメラ位置記憶のリセット"
62,"CAM_TILT_UP",255,255,false,1,28,"チルトカメラ上操作"
63,"CAM_TILT_DOWN",255,255,false,1,29,"チルトカメラ下操作"
64,"CAMERA_LOOKING",255,255,false,1,30,"カメラ目線をする"
65,"",255,255,false,0,0,""
66,"",255,255,false,0,0,""
67,"",255,255,false,0,0,""
68,"",255,255,false,0,0,""
69,"",255,255,false,0,0,""
70,"",255,255,false,0,0,""
