Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x8],3 [0x3][0xc],4 [0x3][0xd],5 [0x3][0xe],6 [0x3][0xf],7 [0x19][0x14],8 [0x1a][0x14],9 [0x1b][0x14],10 [0x1c][0x14],11 [0x1d][0x14],12 [0x1e][0x14],13 [0x1f][0x14],14 [0x20][0x14],15 [0x3][0x10],16 [0x3][0x11],17 [0x19][0x15],18 [0x5][0xa],19 [0x1a][0x15],20 [0x1b][0x15],21 [0x3][0x12],22 [0x3][0x13]
0,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
1,"石化","手足が石化し、行動できなくなった状態。",15001,0,2,6,122,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
2,"スタン","行動できなくなった状態。",15004,0,2,3,125,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
3,"睡眠","眠りに落ち、行動できなくなった状態。",15013,0,2,2,123,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,3
4,"気絶","気を失い、行動できなくなった状態。",15003,0,2,8,0,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
5,"アビリティ不可","アビリティを使用できなくなった状態。",15015,0,2,15,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
6,"ＷＳ不可","ウェポンスキルを使用できなくなった状態。",15017,0,2,14,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
7,"沈黙","魔法を詠唱できなくなった状態。",15005,0,2,7,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
8,"ヘイスト","オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のリキャストタイムが短縮された状態。",15008,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
9,"スロウ","オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のリキャストタイムが延長された状態。",15009,0,2,13,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
10,"拘束装置：スロウ","拘束装置の影響で動きが鈍った状態。",15545,0,2,13,0,false,false,false,false,false,false,true,true,50,0,false,0,false,false,0,0
11,"混乱","混乱しきった状態。仲間を攻撃し続ける。",15603,0,2,17,0,false,false,false,true,false,true,false,false,100,0,false,0,false,false,0,0
12,"レビテト","重力に反発し、宙に浮いた状態。",15037,0,1,16,128,false,false,false,false,false,false,true,true,1,0,false,0,false,false,0,0
13,"バインド","移動できなくなった状態。",15003,0,2,12,124,true,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
14,"ヘヴィ","移動速度が低下した状態。",15002,0,2,4,126,false,false,false,false,false,false,false,false,100,1,false,0,false,false,0,0
15,"暗闇","闇に囚われ、命中率が低下した状態。",15012,0,2,10,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
16,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
17,"麻痺","身体が痺れ、時々行動できなくなる状態。",15006,0,2,5,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
18,"毒","毒に冒された状態。ＨＰが徐々に失われる。",15007,0,2,1,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
19,"猛毒","毒に冒された状態。ＨＰが徐々に失われる。",15517,0,2,1,0,false,false,false,false,false,false,true,true,10,0,false,0,false,false,0,0
20,"ＴＰ継続ダメージ","連続してＴＰが減少している状態。",15025,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
21,"最大ＨＰアップ","最大ＨＰが増加した状態。",15075,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
22,"最大ＨＰダウン","最大ＨＰが減少した状態。",15076,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
23,"最大ＭＰアップ","最大ＭＰが増加した状態。",15077,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
24,"最大ＭＰダウン","最大ＭＰが減少した状態。",15078,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
25,"物理攻撃力アップ","物理攻撃力が向上した状態。",15050,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
