Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x6][0x58],12 [0x5][0x6c],13 [0x3][0x78],14 [0x3][0x79],15 [0x3][0x7a],16 [0x5][0x6e],17 [0x5][0x70],18 [0x9][0x28],19 [0x9][0x40],20 [0x9][0x2c],21 [0x9][0x44],22 [0x9][0x30],23 [0x9][0x48],24 [0x9][0x34],25 [0x9][0x4c],26 [0x9][0x38],27 [0x9][0x50],28 [0x9][0x3c],29 [0x9][0x54],30 [0x5][0x72],31 [0x0][0x1c],32 [0x0][0x20],33 [0x0][0x24],34 [0x3][0x7b],35 [0x3][0x7c],36 [0x19][0x83],37 [0x6][0x5c],38 [0x6][0x60],39 [0x6][0x64],40 [0x6][0x68],41 [0x2][0x82],42 [0x5][0x74],43 [0x3][0x7d],44 [0x3][0x7e],45 [0x3][0x7f],46 [0x3][0x80],47 [0x3][0x81],48 [0x5][0x76],49 [0x1a][0x83],50 [0x1b][0x83],51 [0x1c][0x83]
0,"",0,"",0,0,1,0,0,"","","",0,0,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,"","","",10,10,true,0,0,0,0,-1,0,0,100,0,0,0,0,false,false,false
1,"Gesellschafts-Chocobo",4,"Gesellschafts-Chocobos",1,0,1,0,0,"Ruf deinen von deiner Staatlichen Gesellschaft ausgegebenen Kampf-Chocobo herbei.","Diese Tiere wachsen im Stadtstaat von Ishgard auf und eignen sich sowohl zum Reiten als auch für die Schlacht. Um dem Körperbau von Roegadyn und Lalafell gerecht zu werden, werden auch besonders kräftige und sehr kleine\nVarianten gezüchtet.","Schlafende Chocobos soll man nicht wecken. Warum? Weil\nsie einen noch strengeren Körpergeruch entwickeln, wenn\nsie nicht ausgeschlafen sind.\n<i>Volksmund</i>",1,2,2,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65536,65536,65537,0,0,4401,1,100,0,0,0,0,false,false,false
2,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65537,65537,65537,65537,-1,0,0,100,0,0,0,0,false,false,false
3,"",0,"",0,0,1,0,0,"","","",1,3,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"","","SE_Bt_Etc_ChocoboBye",2,9,true,65552,65552,65537,0,-1,0,0,100,0,0,0,0,false,false,false
4,"Goobbue",3,"Goobbuen",1,0,1,1,0,"Benutz dein Goobbue-Horn, das dir der Fahrende Sänger gab, um dein moosiges Reittier herbeizurufen.","Wie diese wilde Kreaturen zu zähmen sind, war lange Zeit ein Mysterium. Bis ein sagenumwobener fahrender Sänger in den letzten Tagen vor der Katastrophe durch Eorzea wanderte und es dessen Bewohnern näherbrachte.","Mmmm, was für Delikatessen! Wenn ich\ndoch nur den Magen einer Goobbue hätte,\ndann könnte ich noch mehr essen.\n<i>Nanamo</i>",200,4,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,true,0,1,0,0,1,4403,4,100,0,0,0,1,false,true,false
5,"Legacy-Chocobo",4,"Legacy-Chocobos",1,0,1,0,0,"Fünf Jahre und eine erschütternde Katastrophe konnten die Bande zwischen euch nicht sprengen: Ein Pfiff, und dein treuer Chocobo ist zur Stelle wie in alten Zeiten.","In den fünf Jahren nach deinem plötzlichen Verschwinden in Carteneau hat dieser treue Chocobo jeden Moment damit zugebracht, auf der Suche nach seinem verlorenen Meister durch die Lande zu streifen. Seine zahlreichen\nAbenteuer sind fantastisch\nund herzzerreißend ...","Bis vor kurzem wurde die Chocobo-Zucht nur in Ishgard betrieben. Dort wurde\nalles sehr streng reguliert. Es gab zum Beispiel ein striktes Exportverbot für\nweibliche Chocobos, um die Monopolstellung Ishgards nicht zu gefährden.\n<i>Keitha</i>",1,2,2,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65545,65545,65545,65545,2,4402,1,100,0,0,0,0,false,false,false
6,"Magitek-Kampfmaschine",3,"Magitek-Kampfmaschinen",1,0,1,1,0,"Ruf deine von den Garlond-Metallwerken modifizierte Magitek-Kampfmaschine herbei.","Dieser garleischen Magitek-Kampfrüstung wurde das ursprüngliche Kontrollsystem entfernt und durch einen neuen, modifizierten Kern ersetzt, den Cid von den Garlond-Metallwerken entwickelt hat.","Der Pfirsichduft weckt auch in mir wohlige Erinnerungen. Ganz Doma war im\nFrühling bedeckt von der Pracht rosafarbener Blüten. Nun, bis die Garlear mit ihren\nMagitek-Kampfmaschinen alles niedertraten, was in unserem schönen Land wuchs.\n<i>Houzan</i>",2,2,0,45,15,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,131073,0,0,3,4406,3,77,0,0,0,2,false,true,false
7,"",0,"",0,0,1,0,0,"","","",311,5,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"","","",0,0,true,0,1,0,0,-1,0,0,100,0,0,0,0,false,false,false
8,"Coeurl",4,"Coeurls",1,0,1,0,0,"Ruf deinen flinken Coeurl herbei, der darauf trainiert wurde, dich als <if:seine Meisterin/seinen Meister> zu erkennen und nicht als Mahlzeit.","Diese Spezies stammt aus dem Nahen Osten und hat sich erst vor kurzem auch in Eorzea verbreitet. Die Tiere wurden von Adeligen aus Ul'dah aus fernen Ländern wie Thavnair importiert, um sie als Haustiere zu halten. Jedoch gibt es nur eine Handvoll ausgebildeter Bändiger, die sie abzurichten vermögen.","Erst letzte Woche wurde ein Neuling von einem Coeurl\nin Stücke gerissen. Kein schöner Anblick, das sage ich dir.\n<i>Orwen</i>",70,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,true,0,1,0,0,4,4405,5,60,0,0,0,0,false,false,false
9,"Ahriman",4,"Ahrimans",1,0,1,0,0,"Ruf deinen Ahriman herbei, den mächtige Magie dazu brachte, sich ohne Murren von dir reiten zu lassen. ","Obwohl man wenig über das Reich des Nichts und dessen Kreaturen weiß, haben Gelehrte entdeckt, dass es eine strikte Hierarchie unter den Nichtsgesandten gibt, die aus zwölf Rängen besteht. Ahriman gehören mutmaßlich zum fünften davon, was sie zu formidablen Gegnern macht.","Sprachforscher vermuten, dass gefräßige Ahriman der\nUrsprung für die Redensart „Das Auge isst mit.“ sind.\n<i>Enyklopädie Eorzea</i>",167,2,0,45,15,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,121,"SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,true,0,1,0,0,5,4404,6,100,0,0,0,0,true,false,false
