Index,0 [0x7][0x0],1 [0x2][0x4],2 [0x2][0x5],3 [0x19][0x6]
0,0,-1,1,true
1,120001,6,1,true
2,120002,7,1,true
3,120021,8,1,true
4,120022,-1,1,true
5,120023,9,1,true
6,120031,6,1,true
7,120032,7,1,true
8,120033,10,1,true
9,120034,11,1,true
10,120035,12,1,true
11,120041,13,1,true
12,120042,-1,1,true
13,120043,14,1,true
14,120201,5,1,true
15,120202,5,1,true
16,120203,5,1,true
17,120204,5,1,true
18,120207,5,1,true
19,120208,5,1,true
20,120209,5,1,true
21,120210,5,1,true
22,120701,5,1,true
23,120705,5,1,true
24,120706,5,1,true
25,120708,5,1,true
26,120720,5,1,true
27,120715,5,1,true
28,120711,5,1,true
29,120211,5,1,true
30,120254,5,1,true
31,120255,5,1,true
32,120205,5,1,true
33,120081,15,1,true
34,120082,16,1,true
35,120083,17,1,true
36,120702,5,1,true
37,120081,18,1,true
38,120082,19,1,true
39,120083,20,1,true
40,120256,5,1,true
41,120257,5,1,true
42,120703,5,1,true
43,120709,5,1,true
44,120704,5,1,true
45,120710,5,1,true
46,120712,5,1,true
47,120713,5,1,true
48,120714,5,1,true
49,120716,5,1,true
50,120717,5,1,true
51,120718,5,1,true
52,120719,5,1,true
53,120721,5,1,true
54,120722,5,1,true
55,120723,5,1,true
56,120724,5,1,true
57,120725,5,1,true
58,120726,5,1,true
59,120728,5,1,true
60,120729,5,1,true
61,120730,5,1,true
62,120731,5,1,true
63,120258,5,1,true
64,120259,5,1,true
65,120260,5,1,true
66,120261,5,1,true
67,120262,5,1,true
68,120213,5,1,true
69,120214,5,1,true
70,120215,5,1,true
71,120216,5,1,true
72,120055,7,1,true
73,120309,5,1,true
74,120300,5,1,true
75,120307,5,1,true
76,120320,5,1,true
77,120348,5,1,true
78,120326,5,1,true
79,120302,5,1,true
80,120322,5,1,true
81,120313,5,1,true
82,120330,5,1,true
83,120329,5,1,true
84,120327,5,1,true
85,120324,5,1,true
86,120311,5,1,true
87,120305,5,1,true
88,120304,5,1,true
89,120309,5,1,true
90,120206,5,1,true
91,120217,5,1,true
92,120218,5,1,true
93,120263,5,1,true
94,120264,5,1,true
95,120265,5,1,true
96,120266,5,1,true
97,120267,5,1,true
98,120315,5,1,true
99,120316,5,1,true
100,121021,6,1,true
101,121022,7,1,true
102,120024,8,1,true
103,0,-1,1,true
104,121031,31,1,true
105,121032,32,1,true
106,121033,33,1,true
107,120101,8,1,true
108,120102,-1,1,true
109,120103,-1,1,true
110,120068,5,1,true
111,120351,5,1,true
112,120352,5,1,true
113,120349,5,1,true
114,120314,5,1,true
115,120354,5,1,true
116,120355,5,1,true
117,120339,-1,1,true
118,120336,5,1,true
119,120103,-1,1,true
120,120102,-1,1,true
121,121001,6,1,true
122,121002,7,1,true
123,121011,15,1,true
124,121012,16,1,true
125,121013,17,1,true
126,120081,35,1,true
127,121061,6,1,true
128,121062,7,1,true
129,121071,18,1,true
130,121072,34,1,true
131,121073,17,1,true
132,121041,6,1,true
133,121042,7,1,true
134,121051,15,1,true
135,121052,16,1,true
136,121053,17,1,true
137,120219,5,1,true
138,120220,5,1,true
139,120306,5,1,true
140,120353,5,1,true
141,120308,5,1,true
142,120350,5,1,true
143,120317,5,1,true
144,120323,5,1,true
145,120357,5,1,true
146,120356,5,1,true
147,120344,5,1,true
148,120346,-1,1,true
149,120092,0,1,true
150,120105,48,1,true
151,120093,7,1,true
152,120069,5,1,true
153,120070,5,1,true
154,120230,5,1,true
155,120094,6,1,true
156,120081,36,1,true
157,121051,18,1,true
158,121052,19,1,true
159,120251,5,1,true
160,120252,5,1,true
161,120253,5,1,true
162,120601,5,1,true
163,120602,5,1,true
164,120603,5,1,true
165,120604,5,1,true
166,120605,5,1,true
167,120611,0,1,true
