Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x7][0x8]
0,"アイテム未所持","レースアイテムを所持していない状態。\n宝箱に触れると、レースアイテムを取得できる。",70101
1,"チョコポーション","体力を最大体力の10％分回復する。",70102
2,"体力の薬","10秒間、体力消耗効果を無効化する。",70104
3,"ダッシューズ","チョコボが全力でダッシュする。",70105
4,"チョコエーテル","使用済みのアビリティ、いずれかひとつが使用可能になる。",70108
5,"バッカスの水","自分の前を走っているチョコボを、興奮状態にする。",70107
6,"重力球","自分の前を走っているチョコボを、ヘヴィ状態にする。",70109
7,"茨の種","体力消耗フィールドを生成する。範囲内に入った対象の体力を消耗させる。",70103
8,"英雄の薬","15秒間、自身のチョコボが全体的にパワーアップする。また、すべての弱体効果を無効化する。",70106
9,"チョコメテオ","自分より前を走るすべてのチョコボに対し、チョコメテオが降り注ぐ。",70110
10,"","",0
