Index,0 [0x6][0x0],1 [0x6][0x30],2 [0x6][0x4],3 [0x6][0x34],4 [0x6][0x8],5 [0x6][0x38],6 [0x6][0xc],7 [0x6][0x3c],8 [0x6][0x10],9 [0x6][0x40],10 [0x6][0x14],11 [0x6][0x44],12 [0x6][0x18],13 [0x6][0x48],14 [0x6][0x1c],15 [0x6][0x4c],16 [0x6][0x20],17 [0x6][0x50],18 [0x6][0x24],19 [0x6][0x54],20 [0x6][0x28],21 [0x6][0x58],22 [0x6][0x2c],23 [0x6][0x5c]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30152,0,30153,0,30155,0,30156,0,30157,0,30158,0,30160,0,30161,0,0,0,0,0,0,0,0,0
11,30153,0,30154,0,30155,0,30156,0,30157,0,30158,0,30159,0,30160,0,0,0,0,0,0,0,0,0
12,30152,0,30153,0,30154,0,30155,0,30157,0,30159,0,30160,0,30161,0,0,0,0,0,0,0,0,0
13,30152,0,30154,0,30155,0,30156,0,30158,0,30159,0,30160,0,30161,0,0,0,0,0,0,0,0,0
14,30162,0,30163,0,30165,0,30166,0,30167,0,30168,0,30170,0,30171,0,0,0,0,0,0,0,0,0
15,30163,0,30164,0,30165,0,30166,0,30167,0,30168,0,30169,0,30170,0,0,0,0,0,0,0,0,0
