Index,0 [0x0][0x0],1 [0x5][0x4],2 [0x3][0xc],3 [0x5][0x6],4 [0x5][0x8],5 [0x5][0xa]
0,"",1,0,0,0,0
1,"Interagieren",61103,2,80,81,82
2,"Interagieren",61103,2,80,81,82
3,"Interagieren",61103,5,80,81,82
4,"Interagieren",61103,10,80,81,82
5,"Interagieren",61103,15,80,81,82
6,"Interagieren",61103,2,80,81,82
7,"Interagieren",61103,5,80,81,82
8,"Interagieren",61103,10,80,81,82
9,"Interagieren",61103,15,80,81,82
10,"Warten",61104,2,175,176,177
11,"Warten",61104,2,175,176,177
12,"Warten",61104,5,175,176,177
13,"Warten",61104,10,175,176,177
14,"Interagieren",61103,2,80,81,82
15,"Interagieren",61103,2,80,81,82
16,"Interagieren",61103,5,80,81,82
17,"Interagieren",61103,10,80,81,82
18,"Interagieren",61103,2,80,81,82
19,"Harmonisieren",61105,5,169,170,171
20,"Interagieren",61103,1,80,81,82
21,"Interagieren",61103,2,80,81,82
22,"Interagieren",61103,5,80,81,82
23,"Interagieren",61103,1,172,173,174
24,"Interagieren",61103,2,172,173,174
25,"Interagieren",61103,5,172,173,174
26,"Helfen",61103,2,184,185,186
27,"Pfeifen",61104,2,178,179,180
28,"Wache stehen",61104,10,175,176,177
29,"Vermerken",61103,1,172,173,174
30,"Pfeifen",61103,2,178,179,180
31,"Interagieren",61103,2,181,182,183
32,"Interagieren",61103,5,181,182,183
33,"Interagieren",61103,10,181,182,183
34,"Helfen",61103,2,184,185,186
35,"Helfen",61103,5,184,185,186
36,"Helfen",61103,10,184,185,186
37,"Interagieren",61103,2,178,179,180
38,"Helfen",61103,2,172,173,174
39,"Helfen",61103,5,172,173,174
40,"Helfen",61103,10,172,173,174
41,"Interagieren",61104,10,175,176,177
42,"Fesseln lösen",61103,10,181,182,183
43,"Besänftigen",61103,10,172,173,174
44,"Besänftigen",61103,10,184,185,186
45,"Interagieren",61103,2,172,173,174
46,"Interagieren",61103,5,172,173,174
47,"Interagieren",61103,10,172,173,174
48,"Ärgern",61103,5,181,182,183
49,"Ventil schließen",61103,5,181,182,183
50,"Ausschau halten",61104,5,175,176,177
51,"Ventil schließen",61103,5,181,182,183
52,"Interagieren",61103,1,80,81,82
53,"Interagieren",61103,2,181,182,183
54,"Interagieren",61103,5,181,182,183
55,"Interagieren",61103,10,181,182,183
56,"Ausschau halten",61104,5,175,176,177
57,"Erobern",61103,2,172,173,174
58,"Erobern",61103,5,172,173,174
59,"Erobern",61103,10,172,173,174
60,"Harmonisieren",61103,5,172,173,174
61,"Interagieren",61103,2,0,0,0
