Index,0 [0x9][0x0],1 [0x9][0x4],2 [0x9][0x8],3 [0x9][0xc],4 [0x9][0x10],5 [0x9][0x14],6 [0x9][0x18],7 [0x9][0x1c],8 [0x3][0x28],9 [0x3][0x29],10 [0x3][0x2a],11 [0x3][0x2b],12 [0x9][0x20],13 [0x9][0x24]
0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
1,-1.0,30.0,12.0,6.0,2.4,6.0,2.4,2.4,60,30,60,6,6.0,2.4
2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,30,15,30,8,8.0,3.2
3,-1.0,24.0,9.6,9.0,3.2,8.0,3.2,3.2,30,15,30,8,8.0,3.2
4,-1.0,24.0,12.0,9.0,2.0,9.0,1.6,3.2,30,15,30,8,8.0,3.2
5,-1.0,24.0,9.6,9.0,1.0,9.0,1.0,3.2,30,15,30,8,8.0,3.2
6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
7,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
10,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
15,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
19,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
20,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
