Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x3][0x5],3 [0x3][0x6],4 [0x3][0x7],5 [0x2][0x8]
0,"",0,0,0,0,-1
1,"Free company established!",0,0,0,1,0
2,"Company rank <value> attained!",0,0,1,1,0
3,"Standing with the <ref:GrandCompany> now <color #FFFF66><ref:FCReputation></color>!",1,0,1,1,5
4,"Standing with the <ref:GrandCompany> now <color #FFFF66><ref:FCReputation></color>!",1,0,1,1,6
5,"Standing with the <ref:GrandCompany> now <color #FFFF66><ref:FCReputation></color>!",1,0,1,1,7
6,"“<ref:FCRights>” entitlement awarded!",0,0,1,1,0
7,"<2b?:0xff, 0x2c, 0x2> joined the company.",4,0,0,2,1
8,"<2b?:0xff, 0x2c, 0x2> joined the company.",4,0,0,2,1
9,"<2b?:0xff, 0x2c, 0x2> left the company.",4,0,0,2,2
10,"<2b?:0xff, 0x2c, 0x2> <if:were/was> dismissed from the company.",4,0,0,2,2
11,"<2b?:0xff, 0x2c, 0x2> <if:were/was> made <if:<ref:ObjStr>>.",4,5,0,2,3
12,"<2b?:0xff, 0x2c, 0x2> <if:were/was> elected <if:<ref:ObjStr>>.",4,5,0,2,3
13,"<2b?:0xff, 0x2c, 0x2> <if:were/was> made <if:<ref:ObjStr>>.",4,5,0,2,3
14,"Company allegiance pledged to the <ref:GrandCompany>.",0,1,0,1,5
15,"Company allegiance pledged to the <ref:GrandCompany>.",0,1,0,1,6
16,"Company allegiance pledged to the <ref:GrandCompany>.",0,1,0,1,7
17,"<2b?:0xff, 0x2c, 0x2> changed the settings for the member rank “<if:<ref:ObjStr>>.”",4,5,0,3,3
18,"<2b?:0xff, 0x2c, 0x2> added the member rank “<if:<ref:ObjStr>>.”",4,5,0,3,3
19,"<2b?:0xff, 0x2c, 0x2> deleted the member rank “<if:<ref:ObjStr>>.”",4,5,0,3,3
20,"<2b?:0xff, 0x2c, 0x2> changed member rank hierarchy.",4,0,0,3,3
21,"<2b?:0xff, 0x2c, 0x2> changed company chest settings for <if:<ref:ObjStr>> <value>.",4,6,1,0,-1
22,"<2b?:0xff, 0x2c, 0x2> changed company chest settings for gil.",4,0,0,0,-1
23,"<2b?:0xff, 0x2c, 0x2> changed company chest settings for crystals.",4,0,0,0,-1
