Index,0 [0x3][0x36],1 [0x0][0x0],2 [0x0][0x4],3 [0x3][0x37],4 [0x5][0x30],5 [0x7][0x8],6 [0x5][0x32],7 [0x3][0x38],8 [0x6][0xc],9 [0x6][0x10],10 [0x6][0x14],11 [0x6][0x18],12 [0x6][0x1c],13 [0x6][0x20],14 [0x6][0x24],15 [0x6][0x28],16 [0x6][0x2c],17 [0x3][0x39],18 [0x5][0x34]
0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"To Crush Your Enemies I","Defeat 100 enemies.",5,0,0,262,1,11,100,0,0,0,0,0,0,0,3,1
2,1,"To Crush Your Enemies II","Defeat 500 enemies.",5,0,0,262,1,11,500,0,0,0,0,0,0,0,3,2
3,1,"To Crush Your Enemies III","Defeat 1,000 enemies.",10,0,0,262,1,11,1000,0,0,0,0,0,0,0,3,3
4,1,"To Crush Your Enemies IV","Defeat 5,000 enemies.",10,0,0,262,1,11,5000,0,0,0,0,0,0,0,3,4
5,1,"To Crush Your Enemies V","Defeat 10,000 enemies.",10,0,0,262,1,11,10000,0,0,0,0,0,0,0,3,5
6,1,"To Crush Your Enemies VI","Defeat 50,000 enemies.",10,9,0,262,1,11,50000,0,0,0,0,0,0,0,3,6
7,1,"Let the Bodies Hit the Floor","Defeat 100,000 enemies.",30,0,2907,2554,1,11,100000,0,0,0,0,0,0,0,3,7
8,48,"La Noscea Big Game Hunter","Defeat the notorious monsters Barometz, Slippery Sykes, Gluttonous Gertrude, bomb baron, Unknown Soldier, great buffalo, and Old Sixarms.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
9,48,"Black Shroud Big Game Hunter","Defeat the notorious monsters Queen Bolete, alux, jackanapes, Sirocco, Phaia, Haughtpox Bloatbelly, and the Prince of Pestilence.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
10,48,"Thanalan Big Game Hunter","Defeat the notorious monsters Cactuar Jack, elder mosshorn, Daddy Longlegs, Kokoroon Quickfingers, nest commander, Bardi, and Pyrausta.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
11,48,"Coerthas Big Game Hunter","Defeat the notorious monsters Uraeus, Spitfire, and Downy Dunstan.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
12,48,"Mor Dhona Big Game Hunter","Defeat the notorious monster Dodore.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
13,48,"Shposhae Big Game Hunter","Defeat the notorious monsters Shearing Sheridan, giant remora, and the lone coeurl.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
14,48,"Bane of the Tribes","Defeat the notorious beastmen Lozol Totoloq the Decapitator, Flamefist Ahlygg Roh, and Third Order Patriarch Zu Ga.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
15,48,"Notorious Monster Hunting","Defeat 25 different notorious monsters.",30,10,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
16,48,"Had Me Some Fun","Defeat Ifrit in the Bowl of Embers (Hard).",5,0,0,62912,0,0,0,0,0,0,0,0,0,0,2,0
17,48,"Most Adorable Death Ever","Defeat Good King Moggle Mog XII in Thornmarch (Hard).",5,0,0,62912,0,0,0,0,0,0,0,0,0,0,2,0
18,48,"Where the Wind Blows","Defeat Garuda in the Howling Eye (Hard).",5,0,0,62912,0,0,0,0,0,0,0,0,0,0,2,0
19,10,"Stick Them with the Pointy End I","Achieve gladiator level 10.",5,0,0,30408,3,1,10,0,0,0,0,0,0,0,3,1
20,10,"Stick Them with the Pointy End II","Achieve gladiator level 20.",5,0,0,30408,3,1,20,0,0,0,0,0,0,0,3,2
21,10,"Stick Them with the Pointy End III","Achieve gladiator level 30.",5,0,0,30408,3,1,30,0,0,0,0,0,0,0,3,3
22,10,"Stick Them with the Pointy End IV","Achieve gladiator level 40.",5,0,0,30408,3,1,40,0,0,0,0,0,0,0,3,4
23,10,"Stick Them with the Pointy End V","Achieve gladiator level 50.",5,0,0,30408,3,1,50,0,0,0,0,0,0,0,3,5
24,10,"The Sweet Science I","Achieve pugilist level 10.",5,0,0,31004,3,2,10,0,0,0,0,0,0,0,3,7
25,10,"The Sweet Science II","Achieve pugilist level 20.",5,0,0,31004,3,2,20,0,0,0,0,0,0,0,3,8
26,10,"The Sweet Science III","Achieve pugilist level 30.",5,0,0,31004,3,2,30,0,0,0,0,0,0,0,3,9
27,10,"The Sweet Science IV","Achieve pugilist level 40.",5,0,0,31004,3,2,40,0,0,0,0,0,0,0,3,10
28,10,"The Sweet Science V","Achieve pugilist level 50.",5,0,0,31004,3,2,50,0,0,0,0,0,0,0,3,11
29,10,"An Axe to Grind I","Achieve marauder level 10.",5,0,0,31409,3,3,10,0,0,0,0,0,0,0,3,13
30,10,"An Axe to Grind II","Achieve marauder level 20.",5,0,0,31409,3,3,20,0,0,0,0,0,0,0,3,14
31,10,"An Axe to Grind III","Achieve marauder level 30.",5,0,0,31409,3,3,30,0,0,0,0,0,0,0,3,15
32,10,"An Axe to Grind IV","Achieve marauder level 40.",5,0,0,31409,3,3,40,0,0,0,0,0,0,0,3,16
33,10,"An Axe to Grind V","Achieve marauder level 50.",5,0,0,31409,3,3,50,0,0,0,0,0,0,0,3,17
34,10,"Strong Lance Arm I","Achieve lancer level 10.",5,0,0,31816,3,4,10,0,0,0,0,0,0,0,3,19
35,10,"Strong Lance Arm II","Achieve lancer level 20.",5,0,0,31816,3,4,20,0,0,0,0,0,0,0,3,20
