Index,0 [0x3][0x1c],1 [0x3][0x1d],2 [0x6][0x8],3 [0x3][0x1e],4 [0x6][0xc],5 [0x3][0x1f],6 [0x6][0x10],7 [0x5][0x18],8 [0x5][0x1a],9 [0x0][0x0],10 [0x0][0x4],11 [0x6][0x14]
0,0,0,0,0,0,0,0,0,0,"","",0
1,1,1,3,5,15,3,1000,0,57,"Feeling Lucky","Complete 3 dungeons via the Duty Roulette.",84300
2,1,2,5,5,10,3,2000,0,57,"Dungeon Master","Complete 5 dungeons.",56200
3,2,1,3,5,5,3,1000,0,71,"You're the Hest Around I","Complete 3 guildhests.",28100
4,2,2,10,5,10,3,2000,0,71,"You're the Hest Around II","Complete 10 guildhests.",56200
5,0,0,0,0,0,0,0,0,0,"","",0
6,0,0,0,0,0,0,0,0,0,"","",0
7,3,1,10,0,0,4,10,0,130,"A Wolf in Your Belly","Participate in 10 matches at the Wolves' Den.",0
8,3,2,3,0,0,4,15,0,130,"Thrown to the Wolves","Triumph in 3 matches at the Wolves' Den.",0
9,4,1,5,5,15,3,1000,0,0,"Fated to Wander","Receive the highest rating possible in FATEs in 5 different regions.",84300
10,4,2,10,5,15,3,2000,0,0,"Embrace Your Fate","Successfully complete 10 unique FATEs.",84300
11,5,1,5,5,15,3,1000,0,0,"Just Leve It to Me","Complete 5 levequests with different leve plates.",84300
12,5,2,20,5,15,3,2000,0,0,"Making Like a Tree","Complete 20 levequests.",84300
13,6,1,10,0,0,6,1000,0,89,"Give 'Em What They Want","Complete 10 supply and provisioning missions.",0
14,6,2,5,0,0,6,1000,0,89,"Give 'Em What They Want (HQ)","Submit 5 HQ items in supply and provisioning missions.",0
15,7,1,3,0,0,3,1000,0,149,"X Marks the Spot","Gather 3 timeworn maps.",0
16,7,2,5,0,0,3,2000,0,149,"Find Your Treasure and Have It Too","Open 5 treasure coffers and obtain their contents while treasure hunting.",0
17,8,1,20,7,5,3,1000,0,96,"Bosom Buddies I","Defeat 20 enemies of comparable level to your own with your companion.",0
18,8,2,100,7,10,3,2000,0,96,"Bosom Buddies II","Defeat 100 enemies of comparable level to your own with your companion.",0
19,9,1,5,0,0,3,1000,0,152,"Beast of a Time I","Complete 5 beast tribe daily quests.",0
20,9,2,15,0,0,3,2000,0,152,"Beast of a Time II","Complete 15 beast tribe daily quests.",0
21,10,1,5,0,0,3,4000,0,0,"Up for a Challenge I","Complete 5 unique challenges.",0
22,10,2,10,0,0,3,4000,0,0,"Up for a Challenge II","Complete 10 unique challenges.",0
23,10,3,15,0,0,3,5000,20,0,"Up for a Challenge III","Complete 15 unique challenges.",0
24,10,4,20,0,0,3,5000,30,0,"Up for a Challenge IV","Complete 20 unique challenges.",0
25,11,1,5,5,10,3,1000,0,160,"Exercising the Right","Vote 5 times in player commendation.",56200
26,12,1,100,5,5,3,1000,0,0,"The Gathering Storm","Successfully gather items of comparable level to your own 100 times.",0
27,12,2,30,5,5,3,2000,0,0,"The Gathering Storm (HQ)","Successfully gather high-quality items of comparable level to your own 30 times.",0
28,12,3,30,5,5,3,1000,0,0,"Hooked on the Reeling","Catch 30 fish.",0
29,12,4,10,5,5,3,2000,0,0,"Hooked on the Reeling (HQ)","Catch 10 high-quality fish.",0
30,13,1,30,5,10,3,1000,0,0,"Crafting Up a Storm","Craft 30 items.",0
31,13,2,20,5,10,3,2000,0,0,"Crafting Up a Storm (HQ)","Craft 20 high-quality items.",0
32,13,3,5,5,10,3,2000,0,98,"Meld Your Heart","Successfully affix 5 materia.",0
33,14,1,10,0,0,3,1000,0,168,"Venture Capital","Have a retainer complete 10 ventures.",0
34,14,2,15,0,0,3,4000,0,169,"Venture Bothers","Have a retainer complete 15 exploration ventures.",0
35,3,3,7,0,0,4,10,0,176,"Line Up","Participate in 7 Frontline campaigns.",0
36,3,4,3,0,0,4,15,0,176,"In the Line of Fire","Lead your company to victory in 3 Frontline campaigns.",0
