Index,0 [0x0][0x0],1 [0x1][0x4],2 [0x1][0x5],3 [0x1][0x6],4 [0x1][0x7],5 [0x1][0x8],6 [0x1][0x9],7 [0x1][0xa],8 [0x1][0xb],9 [0x1][0xc],10 [0x1][0xd],11 [0x1][0xe],12 [0x1][0xf],13 [0x1][0x10],14 [0x1][0x11],15 [0x1][0x12],16 [0x1][0x13],17 [0x1][0x14],18 [0x1][0x15],19 [0x1][0x16],20 [0x1][0x17],21 [0x1][0x18],22 [0x1][0x19],23 [0x1][0x1a],24 [0x1][0x1b],25 [0x1][0x1c],26 [0x1][0x1d],27 [0x1][0x1e],28 [0x1][0x1f],29 [0x1][0x20],30 [0x1][0x21],31 [0x1][0x22],32 [0x1][0x23],33 [0x1][0x24],34 [0x1][0x25]
0,"",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1,"全クラス",true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,"剣術士",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
3,"格闘士",false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
4,"斧術士",false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
5,"槍術士",false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
6,"弓術士",false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
7,"幻術士",false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
8,"呪術士",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
9,"木工師",false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
