Index,0 [0x19][0x1],1 [0x1a][0x1],2 [0x1b][0x1],3 [0x1c][0x1],4 [0x1d][0x1],5 [0x1e][0x1],6 [0x1f][0x1],7 [0x20][0x1],8 [0x19][0x2],9 [0x1a][0x2],10 [0x1b][0x2],11 [0x1c][0x2],12 [0x1d][0x2],13 [0x3][0x0],14 [0x1e][0x2],15 [0x1f][0x2],16 [0x20][0x2],17 [0x19][0x3],18 [0x1a][0x3],19 [0x1b][0x3],20 [0x1c][0x3]
0,true,true,true,false,true,true,true,true,true,true,true,true,false,1,false,true,false,true,false,false,true
1,true,true,true,true,true,true,false,true,true,true,true,true,true,2,false,true,true,true,false,false,false
2,false,false,true,false,false,true,true,false,false,true,true,false,false,0,false,false,false,false,false,false,false
3,true,true,false,false,true,true,false,false,true,false,true,false,false,0,false,true,true,false,false,false,false
4,true,true,false,false,true,false,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
5,false,false,false,false,false,true,false,false,false,false,true,false,false,0,false,true,true,false,false,false,false
6,true,true,false,false,false,true,true,true,true,false,true,false,false,0,false,false,true,false,false,false,false
7,true,true,true,false,true,true,true,true,true,false,true,false,false,0,false,true,true,false,false,false,false
8,true,true,false,false,true,true,false,false,true,false,true,false,false,0,true,true,true,false,false,false,false
9,true,true,false,false,true,true,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
10,true,true,false,false,true,true,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
11,true,true,false,false,true,true,false,false,true,false,true,false,false,0,false,true,true,false,false,false,false
12,true,true,true,false,true,true,false,false,false,false,true,false,false,0,false,true,true,false,false,false,false
13,true,true,true,false,true,true,true,true,true,true,true,true,true,1,false,true,false,false,false,false,false
14,true,true,true,false,true,true,true,true,true,true,true,true,true,0,false,true,false,true,true,false,false
15,true,true,true,false,true,true,true,true,true,false,true,false,false,0,false,true,true,false,false,false,false
16,true,true,false,false,true,true,false,false,true,false,true,false,false,0,false,true,true,false,false,false,false
17,true,true,false,false,true,true,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
18,true,true,false,false,true,false,false,false,true,false,true,false,false,0,true,true,true,false,false,false,false
19,true,true,true,false,true,true,true,true,true,true,true,true,false,1,false,true,false,true,true,false,true
20,false,false,false,false,false,true,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
21,false,false,false,false,false,true,false,false,false,false,false,false,false,0,false,true,true,false,false,false,false
22,false,false,true,false,false,true,true,false,false,true,true,false,false,0,false,true,true,false,false,false,false
23,true,true,true,false,true,true,true,true,true,true,true,true,false,1,false,true,false,true,true,true,true
24,true,true,false,false,true,true,false,false,true,false,true,false,false,0,false,true,true,false,false,false,false
