Index,0 [0x3][0x6],1 [0x3][0x7],2 [0x5][0x0],3 [0x5][0x2],4 [0x5][0x4]
0,0,0,100,100,100
1,1,0,19,312,60
2,2,0,20,325,60
3,3,0,20,339,60
4,4,0,21,352,60
5,5,0,33,451,60
6,6,0,36,474,60
7,7,0,37,492,60
8,8,0,41,526,60
9,9,0,42,545,60
10,10,0,45,629,60
11,11,0,48,665,60
12,12,0,53,702,60
13,13,0,54,726,60
14,14,0,54,751,60
15,15,0,55,807,70
16,16,0,63,866,70
17,17,0,66,898,70
18,18,0,67,939,70
19,19,0,68,982,70
20,20,0,74,1053,70
21,21,0,75,1090,70
22,22,0,75,1122,70
23,23,0,79,1169,70
24,24,0,85,1239,70
25,25,0,89,1296,70
26,26,0,90,1332,70
27,27,0,91,1368,70
28,28,0,100,1498,70
29,29,0,101,1544,70
30,30,0,102,1584,70
31,31,0,106,1670,80
32,32,0,110,1697,80
33,33,0,111,1757,80
34,34,0,115,1811,80
35,35,0,123,1853,80
36,36,0,124,1882,80
37,37,0,128,1905,80
38,38,0,129,1961,80
39,39,0,137,2026,80
40,40,0,138,2050,80
41,41,0,143,2109,80
42,42,0,144,2147,80
43,43,0,155,2251,80
44,44,0,156,2277,80
45,45,0,158,2309,80
46,46,0,159,2372,80
47,47,0,167,2421,80
48,48,0,172,2524,80
49,49,0,174,2551,80
50,50,0,186,2641,80
51,50,0,188,2666,80
52,50,0,190,2692,80
53,50,0,193,2717,80
54,50,0,195,2743,80
55,50,1,195,2646,80
56,50,1,198,2664,80
57,50,1,200,2682,80
58,50,1,203,2701,80
59,50,1,205,2719,80
60,50,1,208,2737,80
61,50,1,210,2756,80
62,50,1,213,2774,80
63,50,1,215,2793,80
64,50,1,218,2811,80
65,50,1,220,2829,80
66,50,1,223,2848,80
67,50,1,225,2866,80
68,50,1,228,2884,80
69,50,1,230,2903,80
70,50,2,233,2921,80
71,50,2,244,3024,80
72,50,2,255,3127,80
73,50,2,265,3230,80
74,50,2,276,3333,80
75,50,2,286,3436,80
76,50,2,297,3539,80
77,50,2,308,3642,80
78,50,2,318,3745,80
79,50,2,329,3848,80
80,50,2,339,3951,80
81,50,2,350,4054,80
82,50,2,361,4157,80
83,50,2,371,4260,80
84,50,2,382,4363,80
85,50,2,392,4466,80
86,50,2,403,4569,80
87,50,2,414,4672,80
88,50,2,424,4775,80
89,50,2,435,4878,80
90,50,3,445,4980,80
91,50,3,453,5021,80
92,50,3,460,5061,80
93,50,3,467,5101,80
94,50,3,474,5141,80
95,50,3,481,5181,80
96,50,3,488,5221,80
97,50,3,495,5262,80
98,50,3,502,5302,80
99,50,3,509,5342,80
100,50,3,516,5382,80
101,50,3,523,5422,80
102,50,3,530,5462,80
103,50,3,537,5502,80
104,50,3,544,5543,80
105,50,3,551,5583,80
106,50,3,558,5623,80
107,50,3,565,5663,80
108,50,3,572,5703,80
109,50,3,579,5743,80
110,50,4,586,5783,80
111,50,4,339,3951,80
112,50,4,339,3951,80
113,50,4,339,3951,80
114,50,4,339,3951,80
115,51,0,339,3951,80
116,51,0,355,4073,80
117,51,0,371,4195,80
118,51,0,388,4317,80
119,51,0,404,4439,80
120,51,0,421,4561,80
121,51,0,437,4683,80
122,51,0,454,4805,80
123,51,0,470,4928,80
124,51,0,487,5050,80
125,52,0,503,5172,80
126,52,0,520,5294,80
127,52,0,536,5416,80
128,52,0,553,5538,80
129,52,0,569,5660,80
130,53,0,586,5783,80
131,53,0,604,5869,80
132,53,0,623,5955,80
133,54,0,641,6042,80
134,54,0,660,6128,80
135,54,0,678,6215,80
136,55,0,697,6301,70
137,55,0,715,6388,70
138,55,0,734,6474,70
139,56,0,752,6561,70
140,56,0,771,6647,70
141,56,0,789,6734,70
142,57,0,808,6820,70
143,57,0,826,6907,70
144,57,0,845,6993,70
145,58,0,863,7080,70
146,58,0,882,7166,70
147,58,0,900,7252,70
148,59,0,919,7339,70
149,59,0,937,7425,70
150,60,0,956,7851,70
151,60,0,972,7903,70
152,60,0,988,7956,70
153,60,0,1004,8008,70
154,60,0,1020,8061,70
155,60,0,1036,8114,70
156,60,0,1052,8166,70
157,60,0,1068,8219,70
158,60,0,1084,8272,70
159,60,0,1100,8324,70
160,60,1,1116,8377,70
161,60,1,1132,8429,70
162,60,1,1148,8482,70
163,60,1,1164,8535,70
164,60,1,1180,8587,70
165,60,1,1196,8640,70
166,60,1,1212,8693,70
167,60,1,1228,8745,70
168,60,1,1244,8798,70
169,60,1,1260,8851,70
170,60,1,1276,8903,70
171,60,1,1292,8956,70
172,60,1,1308,9008,70
173,60,1,1324,9061,70
174,60,1,1340,9114,70
175,60,1,1356,9166,70
176,60,1,1372,9219,70
177,60,1,1388,9272,70
178,60,1,1404,9324,70
179,60,1,1420,9377,70
180,60,2,1436,9430,70
181,60,2,1436,9430,70
182,60,2,1436,9430,70
183,60,2,1436,9430,70
184,60,2,1436,9430,70
185,60,2,1436,9430,70
186,60,2,1436,9430,70
187,60,2,1436,9430,70
188,60,2,1436,9430,70
189,60,2,1436,9430,70
190,60,2,1436,9430,70
191,60,2,1436,9430,70
192,60,2,1436,9430,70
193,60,2,1436,9430,70
194,60,2,1436,9430,70
195,60,2,1436,9430,70
196,60,2,1436,9430,70
197,60,2,1436,9430,70
198,60,2,1436,9430,70
199,60,2,1436,9430,70
200,60,2,1436,9430,70
