Index,0 [0x3][0x1c],1 [0x3][0x1d],2 [0x6][0x8],3 [0x3][0x1e],4 [0x6][0xc],5 [0x3][0x1f],6 [0x6][0x10],7 [0x5][0x18],8 [0x5][0x1a],9 [0x0][0x0],10 [0x0][0x4],11 [0x6][0x14]
0,0,0,0,0,0,0,0,0,0,"","",0
1,1,1,3,5,15,3,1000,0,57,"Dungeon: Zufallsinhalt","3 Dungeons als Zufallsinhalt abschließen",84300
2,1,2,5,5,10,3,2000,0,57,"Dungeon: Erfolge","5 Dungeons abschließen",56200
3,2,1,3,5,5,3,1000,0,71,"Gildengeheiß: Erfolge","3 Gildengeheiße erledigen",28100
4,2,2,10,5,10,3,2000,0,71,"Gildengeheiß: Erfolge","10 Gildengeheiße erledigen",56200
5,0,0,0,0,0,0,0,0,0,"","",0
6,0,0,0,0,0,0,0,0,0,"","",0
7,3,1,10,0,0,4,10,0,130,"Wolfshöhle: Teilnahme","10 Mal an PvP-Kämpfen in der Wolfshöhle teilnehmen",0
8,3,2,3,0,0,4,15,0,130,"Wolfshöhle: Siege","3 PvP-Kämpfe in der Wolfshöhle gewinnen",0
9,4,1,5,5,15,3,1000,0,0,"FATE: Regionen","In 5 Regionen ein FATE mit der bestmöglichen Bewertung abschließen",84300
10,4,2,10,5,15,3,2000,0,0,"FATE: Arten","10 verschiedene FATEs erfolgreich abschließen",84300
11,5,1,5,5,15,3,1000,0,0,"Freibriefe: Motive","5 Freibriefe mit unterschiedlichen Heiligenmotiven abschließen",84300
12,5,2,20,5,15,3,2000,0,0,"Freibriefe: Erfolge","20 Freibriefe abschließen",84300
13,6,1,10,0,0,6,1000,0,89,"Nachschub und Material: Liefermenge","10 Güter bei Nachschublieferungen und Materialbeschaffungsmissionen liefern",0
14,6,2,5,0,0,6,1000,0,89,"Nachschub und Material: Qualität","5 HQ-Güter bei Nachschublieferungen und Materialbeschaffungsmissionen liefern",0
15,7,1,3,0,0,3,1000,0,149,"Schatzsuche: Karten sammeln","3 vergilbte Schatzkarten sammeln",0
16,7,2,5,0,0,3,2000,0,149,"Schatzsuche: Erfolge","5 Schatztruhen bei der Schatzsuche öffnen",0
17,8,1,20,7,5,3,1000,0,96,"Mitstreiter: Gegnerzahl 1","20 Feinde gemeinsam mit deinem Mitstreiter besiegen",0
18,8,2,100,7,10,3,2000,0,96,"Mitstreiter: Gegnerzahl 2","100 Feinde gemeinsam mit deinem Mitstreiter besiegen",0
19,9,1,5,0,0,3,1000,0,152,"Wilde Stämme: Erfolge","5 Aufträge der Wilden Stämme abschließen",0
20,9,2,15,0,0,3,2000,0,152,"Wilde Stämme: Erfolge","15 Aufträge der Wilden Stämme abschließen",0
21,10,1,5,0,0,3,4000,0,0,"Aktuelle Agenda: Erfolge 1","5 verschiedene Herausforderungen der Aktuellen Agenda abschließen",0
22,10,2,10,0,0,3,4000,0,0,"Aktuelle Agenda: Erfolge 2","10 verschiedene Herausforderungen der Aktuellen Agenda abschließen",0
23,10,3,15,0,0,3,5000,20,0,"Aktuelle Agenda: Erfolge 3","15 verschiedene Herausforderungen der Aktuellen Agenda abschließen",0
24,10,4,20,0,0,3,5000,30,0,"Aktuelle Agenda: Erfolge 4","20 verschiedene Herausforderungen der Aktuellen Agenda abschließen",0
25,11,1,5,5,10,3,1000,0,160,"WS-Ehrungen","5 Mal jemanden als „Wertvollsten Spieler“ ehren",56200
26,12,1,100,5,5,3,1000,0,0,"Sammeln","100 Mal als Minenarbeiter oder Gärtner der eigenen Stufe nahe Gegenstände sammeln",0
27,12,2,30,5,5,3,2000,0,0,"Sammeln: HQ","30 Mal als Minenarbeiter oder Gärtner der eigenen Stufe nahe HQ-Gegenstände sammeln",0
28,12,3,30,5,5,3,1000,0,0,"Angeln","30 Mal als Fischer erfolgreich angeln",0
29,12,4,10,5,5,3,2000,0,0,"Angeln: HQ","10 Mal als Fischer HQ-Fische angeln",0
30,13,1,30,5,10,3,1000,0,0,"Synthese","30 Mal Gegenstände herstellen",0
31,13,2,20,5,10,3,2000,0,0,"Synthese: HQ","20 Mal HQ-Gegenstände herstellen",0
32,13,3,5,5,10,3,2000,0,98,"Materia einsetzen","5 Mal erfolgreich Materia einsetzen",0
33,14,1,10,0,0,3,1000,0,168,"Unternehmungen: Allgemein","Einen Gehilfen auf 10 Unternehmungen schicken",0
34,14,2,15,0,0,3,4000,0,169,"Unternehmungen: Erkundungen","Einen Gehilfen auf 15 Erkundungen schicken",0
35,3,3,7,0,0,4,10,0,176,"Carteneauer Front: Teilnahme","7 Mal an PvP-Kämpfen an der Carteneauer Front teilnehmen",0
36,3,4,3,0,0,4,15,0,176,"Carteneauer Front: Siege","3 PvP-Kämpfe an der Carteneauer Front gewinnen",0
