Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8],3 [0x0][0xc],4 [0x0][0x10],5 [0x0][0x14],6 [0x0][0x18],7 [0x0][0x1c],8 [0x0][0x20],9 [0x0][0x24],10 [0x0][0x28],11 [0x0][0x2c],12 [0x0][0x30],13 [0x0][0x34],14 [0x0][0x38],15 [0x0][0x3c],16 [0x0][0x40],17 [0x0][0x44],18 [0x0][0x48],19 [0x0][0x4c],20 [0x0][0x50],21 [0x0][0x54],22 [0x0][0x58],23 [0x0][0x5c],24 [0x0][0x60],25 [0x0][0x64],26 [0x0][0x68],27 [0x0][0x6c],28 [0x0][0x70],29 [0x0][0x74],30 [0x0][0x78],31 [0x0][0x7c],32 [0x0][0x80],33 [0x0][0x84],34 [0x0][0x88],35 [0x0][0x8c],36 [0x0][0x90],37 [0x0][0x94],38 [0x0][0x98],39 [0x0][0x9c],40 [0x0][0xa0]
1,"その","それらの","","","","","","","ein ","eine ","ein ","[n] ","eines ","einer ","eines ","[n] ","einem ","einer ","einem ","[n] ","einen ","eine ","ein ","[n] ","","","","","","","","","","","","","","","","",""
2,"","あれらの","","","","","","","der ","die ","das ","die ","des ","der ","des ","der ","dem ","der ","dem ","den ","den ","die ","das ","die ","","","","","","","","","","","","","","","","",""
3,"","これらの","","","","","","","dein ","deine ","dein ","deine ","deines ","deiner ","deines ","deiner ","deinem ","deiner ","deinem ","deinen ","deinen ","deine ","dein ","deine ","","","","","","","","","","","","","","","","",""
4,"","","","","","","","","kein ","keine ","kein ","keine ","keines ","keiner ","keines ","keiner ","keinem ","keiner ","keinem ","keinen ","keinen ","keine ","kein ","keine ","","","","","","","","","","","","","","","","",""
5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,"","","","","","","","","dieser ","diese ","dieses ","diese ","dieses ","dieser ","dieses ","dieser ","diesem ","dieser ","diesem ","diesen ","diesen ","diese ","dieses ","diese ","","","","","","","","","","","","","","","","",""
7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
22,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24,"","","","","","","","","e","e","e","e","er","er","er","er","er","er","er","er","e","e","e","e","","","","","","","","","","","","","","","","",""
25,"","","","","","","","","e","e","e","en","en","en","en","en","en","en","en","en","en","e","e","en","","","","","","","","","","","","","","","","",""
26,"","","","","","","","","er","e","es","en","en","en","en","en","en","en","en","en","en","e","es","en","","","","","","","","","","","","","","","","",""
27,"","","","","","","","","","","","","en","","en","","","","","","","","","","","","","","","","","","","","","","","","","",""
28,"","","","","","","","","","","","","es","","es","","","","","n","","","","","","","","","","","","","","","","","","","","",""
29,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30,"","","","","","","","","","","","","s","","s","","","","","","","","","","","","","","","","","","","","","","","","","",""
31,"","","","","","","","","","","","","ns","","ns","","n","","","","n","","","","","","","","","","","","","","","","","","","",""
32,"","","","","","","","","","","","","en","","en","","en","","en","","en","","en","","","","","","","","","","","","","","","","","",""
33,"","","","","","","","","","","","","ens","","ens","","en","","en","","","","","","","","","","","","","","","","","","","","","",""
34,"","","","","","","","","","","","","n","","n","","n","","n","","n","","n","","","","","","","","","","","","","","","","","",""
35,"","","","","","","","","","","","","","","ses","","","","","","","","","","","","","","","","","","","","","","","","","",""
36,"","","","","","","","","","","","","des","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37,"","","","","","","","","er","e","es","e","en","en","en","er","en","en","en","en","en","e","es","e","","","","","","","","","","","","","","","","",""
38,"","","","","","","","","er","e","es","e","en","er","en","er","em","en","em","en","en","e","es","e","","","","","","","","","","","","","","","","",""
39,"","","","","","","","","der","die","das","","des","der","des","","dem","der","dem","","den","die","das","","","","","","","","","","","","","","","","","",""
