Index,0 [0x0][0x0],1 [0x2][0x10],2 [0x0][0x4],3 [0x2][0x11],4 [0x2][0x12],5 [0x2][0x13],6 [0x2][0x14],7 [0x2][0x15],8 [0x0][0x8],9 [0x0][0xc]
0,"",0,"",0,0,0,0,0,"",""
1,"Flame Private Third Class",0,"Flame Privates Third Class",0,0,0,0,0,"private",""
2,"Flame Private Second Class",0,"Flame Privates Second Class",0,0,0,0,0,"private",""
3,"Flame Private First Class",0,"Flame Privates First Class",0,0,0,0,0,"private",""
4,"Flame Corporal",0,"Flame Corporals",0,0,0,0,0,"corporal",""
5,"Flame Sergeant Third Class",0,"Flame Sergeants Third Class",0,0,0,0,0,"sergeant",""
6,"Flame Sergeant Second Class",0,"Flame Sergeants Second Class",0,0,0,0,0,"sergeant",""
7,"Flame Sergeant First Class",0,"Flame Sergeants First Class",0,0,0,0,0,"sergeant",""
8,"Chief Flame Sergeant",0,"Chief Flame Sergeants",0,0,0,0,0,"sergeant",""
9,"Second Flame Lieutenant",0,"Second Flame Lieutenants",0,0,0,0,0,"lieutenant",""
10,"First Flame Lieutenant",0,"First Flame Lieutenants",0,0,0,0,0,"lieutenant",""
11,"Flame Captain",0,"Flame Captains",0,0,0,0,0,"captain",""
12,"Second Flame Commander",0,"Second Flame Commanders",0,0,0,0,0,"commander",""
13,"First Flame Commander",0,"First Flame Commanders",0,0,0,0,0,"commander",""
14,"High Flame Commander",0,"High Flame Commanders",0,0,0,0,0,"commander",""
15,"Rear Flame Marshal",0,"Rear Flame Marshals",0,0,0,0,0,"rear marshal",""
16,"Vice Flame Marshal",0,"Vice Flame Marshals",0,0,0,0,0,"vice marshal",""
17,"Flame Marshal",0,"Flame Marshals",0,0,0,0,0,"marshal",""
18,"Grand Flame Marshal",0,"Grand Flame Marshals",0,0,0,0,0,"grand marshal",""
19,"Flame Champion",0,"Flame Champions",0,0,0,0,0,"champion",""
