Index,0 [0x7][0xc],1 [0x7][0x10],2 [0x7][0x14],3 [0x0][0x0],4 [0x0][0x4],5 [0x0][0x8]
0,0,0,0,"","",""
1,0,0,0,"Start","",""
2,0,0,0,"Config","",""
3,0,0,0,"Demo","",""
4,0,0,0,"Credits","",""
5,0,0,0,"","",""
6,0,0,0,"ゲームパッドのボタン設定を行いますか？\n※システムコンフィグからいつでも変更可能です。","",""
7,0,0,0,"はい","",""
8,0,0,0,"いいえ","",""
9,0,0,0,"","",""
10,0,0,0,"Service Account","",""
11,0,0,0,"サービスアカウントを選択してください。","",""
12,0,0,0,"Game Version： <value>(<value>)","",""
13,0,0,0,"<color #FF7B1A>注意</color> : 低解像度(480p/i 576p/i)モードで起動中。\n本作は高解像度(720p)モード推奨です。","",""
14,0,0,0,"","",""
15,0,0,0,"OK","",""
16,0,0,0,"CANCEL","",""
17,0,0,0,"変更したい項目を右の一覧から選んで編集してください。???の項目はまだ未決定です。","",""
18,0,0,0,"変更したい項目を右の一覧から選んで編集してください。終了したら一番下のOKで決定すると変更が反映されます。","",""
19,0,0,0,"変更したい項目を右の一覧から選んで編集してください。???の項目はまだ未決定です。LOOKSを決定すると容姿作成を終了します。","",""
20,0,0,0,"削除","",""
21,0,0,0,"「<value>」を削除しますか？","",""
22,0,0,0,"はい。削除します。","",""
23,0,0,0,"名前を変更","",""
24,0,0,0,"リテイナー名を変更","",""
25,0,0,0,"「<value>」でログインします。\nよろしいですか？","",""
26,0,0,0,"このキャラクターでログインするには名前の変更が必要です。新しい名前を決めてください。","",""
27,0,0,0,"このキャラクターでログインするには名前の変更が必要です。","",""
28,0,0,0,"名前を「<value>」に\n変更します。よろしいですか？","",""
29,0,0,0,"リテイナー名を「<value>」に\n変更します。よろしいですか？","",""
30,0,0,0,"キャラクター作成","",""
31,0,0,0,"キャラクター作成を終了します。作成中のキャラクター情報は失われますがよろしいですか？","",""
32,0,0,0,"作成したキャラクターでゲームを開始します。\nよろしいですか？","",""
33,0,0,0,"新規にキャラクターを作成しますか？","",""
34,0,0,0,"これ以上キャラクターを作成することはできません。キャラクターを右クリックメニューから削除することで新しくキャラクターを作成できます。","",""
35,0,0,0,"<value>/<value>","",""
36,0,0,0,"LOCATION","",""
37,0,0,0,"<switch:星1月/霊1月/星2月/霊2月/星3月/霊3月/星4月/霊4月/星5月/霊5月/星6月/霊6月> <value>日","",""
38,0,0,0,"（<value>月<value>日）","",""
39,0,0,0,"","",""
40,0,0,0,"星1月","",""
41,0,0,0,"霊1月","",""
42,0,0,0,"星2月","",""
43,0,0,0,"霊2月","",""
44,0,0,0,"星3月","",""
45,0,0,0,"霊3月","",""
46,0,0,0,"星4月","",""
47,0,0,0,"霊4月","",""
48,0,0,0,"星5月","",""
49,0,0,0,"霊5月","",""
50,0,0,0,"星6月","",""
51,0,0,0,"霊6月","",""
52,0,0,0,"","",""
53,0,0,0,"<switch:1st/2nd/3rd/4th/5th/6th/7th/8th/9th/10th/11th/12th/13th/14th/15th/16th/17th/18th/19th/20th/21st/22nd/23rd/24th/25th/26th/27th/28th/29th/30th/31st/32nd> Sun of the <switch:1st Astral/1st Umbral/2nd Astral/2nd Umbral/3rd Astral/3rd Umbral/4th Astral/4th Umbral/5th Astral/5th Umbral/6th Astral/6th Umbral> Moon","",""
54,0,0,0,"<switch:星1月/霊1月/星2月/霊2月/星3月/霊3月/星4月/霊4月/星5月/霊5月/星6月/霊6月> <value>日","",""
55,0,0,0,"","",""
56,0,0,0,"<value><switch:/(LEGACY)//(LEGACY)/(EU)/(LEGACY/EU)>","",""
57,0,0,0,"ワールドリストを取得中です。","",""
58,0,0,0,"ワールドリストが取得できませんでした。","",""
59,0,0,0,"各ワールドの状況を最新状態にします。更新後<value>分空けないと再更新できません。","",""
60,0,0,0,"所持可能なキャラクター数の上限に達しています。新規の作成には、すでに所持しているキャラクターを削除する必要があります。\n削除したいキャラクターの名称の上で右クリックしてサブコマンドから削除を選択してください。","",""
61,0,0,0,"それぞれのワールドに所持できるキャラクター数の上限に達しているため、これ以上新規にキャラクターを作成できません。新規の作成には、いずれかのワールドにすでに所持しているキャラクターを削除する必要があります。\n削除したいキャラクターの名称の上で右クリックしてサブコマンドから削除を選択してください。","",""
62,0,0,0,"このワールドに所持可能なキャラクター数の上限に達しています。","",""
63,0,0,0,"このワールドは現在新規キャラクターの作成が制限されています。制限が解除されるのを待つか、別のワールドを選択してください。","",""
64,0,0,0,"現在ご契約いただいているサービスでは、このキャラクターを使用できません。","",""
65,0,0,0,"種族や性別・外見や名前を一度だけ変更することができます。","",""
66,0,0,0,"このキャラクターでログインするにはリテイナーの名前の変更が必要です。","",""
67,0,0,0,"種族や性別・外見を変更することができます。","",""
68,0,0,0,"「<ref:ExVersion>」が必要なエリアにいるためログインできません。","",""
69,0,0,0,"「<ref:ExVersion>」が必要なエリアにいるため種族や性別・外見を変更することはできません。","",""
70,0,0,0,"このキャラクターはバージョン1.0からの引き継ぎキャラクターです。ログインしてゲームを始めるには、ゲーム開始時のバトルクラスを設定します。","",""
71,0,0,0,"OK","",""
72,0,0,0,"キャンセル","",""
73,0,0,0,"ゲーム開始時のバトルクラスを「<ref:ClassJob>」に決定します。\nゲーム開始都市は「<ref:Town>」です。","",""
74,0,0,0,"OK","",""
75,0,0,0,"キャンセル","",""
76,0,0,0,"このキャラクターはバージョン1.0からの引き継ぎキャラクターです。ログインしてゲームを始めるには、ゲーム開始時のバトルクラスを設定しますが、同時に一度だけ種族や性別を含めた外見や名前を変更できます。","",""
77,0,0,0,"今すぐ編集する","",""
78,0,0,0,"あとで編集する","",""
79,0,0,0,"キャラクターの再編集","",""
80,0,0,0,"保存した外見で新規作成","",""
81,0,0,0,"外見データを保存","",""
