Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0x8],3 [0x5][0xc],4 [0x3][0xe],5 [0x19][0xf],6 [0x1a][0xf]
0,"","",405,0,0,false,false
1,"Away","Order pet to leave the battlefield.",530,0,0,false,false
2,"Heel","Order pet to follow behind you.",529,0,0,false,false
3,"Place","Order pet to move to a specified location.",527,0,0,false,false
4,"Stay","Order pet to remain where it is.",528,0,0,false,false
5,"Guard","Order pet to refrain from attacking until you attack or are attacked.",531,0,0,false,false
6,"Steady","Order pet to refrain from attacking until ordered to do so.",532,0,0,false,false
7,"Sic","Order pet to attack.",525,0,0,false,false
8,"Obey","Order pet to attack, but refrain from using certain actions until ordered to do so.",526,0,0,false,false
9,"Gust","Deals wind damage with a potency of 90.",561,637,1,false,false
10,"Backdraft","Deals wind damage with a potency of 80.\n<color?>Additional Effect:</color> 15-yalm knockback\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",563,638,1,true,false
11,"Downburst","Deals wind damage with a potency of 80 to target and all enemies nearby it.\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",562,639,1,true,false
12,"Shining Emerald","Extends duration of damage over time effects already cast by master by 15s.\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",564,640,1,true,false
13,"Gouge","Deals earth damage with a potency of 70.\n<color?>Additional Effect:</color> Increased enmity",551,633,2,false,false
14,"Shining Topaz","Deals earth damage with a potency of 70 to all nearby enemies.\n<color?>Additional Effect:</color> Increased enmity\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",552,634,2,true,false
15,"Curl","Decreases damage suffered by pet by 20%.\n<color?>Duration:</color> 20s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",553,635,2,true,false
16,"Storm","Deals earth damage with a potency of 60.\n<color?>Additional Effect:</color> Stun  <color?>Duration:</color> 2s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",554,636,2,true,false
17,"Wind Blade","Deals wind damage with a potency of 100.",2711,792,5,false,false
18,"Shockwave","Deals wind damage with a potency of 90.\n<color?>Additional Effect:</color> 15-yalm knockback\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2713,793,5,true,false
19,"Aerial Slash","Deals wind damage with a potency of 90 to target and all enemies nearby it.\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2712,794,5,true,false
20,"Contagion","Extends duration of damage over time effects already cast by master by 15s.\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2714,795,5,true,false
21,"Aerial Blast","Deals wind damage with a potency of 250 to target and all enemies nearby it.\nExecuted when master uses <color #FF7B1A>Enkindle</color>.",2715,796,5,false,true
22,"Rock Buster","Deals earth damage with a potency of 85.\n<color?>Additional Effect:</color> Increased enmity",2701,787,4,false,false
23,"Mountain Buster","Deals earth damage with a potency of 70 to all nearby enemies.\n<color?>Additional Effect:</color> Increased enmity\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2702,788,4,true,false
24,"Earthen Ward","Decreases damage suffered by pet by 20%.\n<color?>Duration:</color> 20s\nWhen <color #FF7B1A>Obey</color> is active, will only execute upon command.",2703,789,4,true,false
