Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x5][0x24],12 [0x3][0x30],13 [0x3][0x31],14 [0x3][0x32],15 [0x3][0x33],16 [0x3][0x34],17 [0x3][0x35],18 [0x3][0x36],19 [0x3][0x37],20 [0x3][0x38],21 [0x19][0x40],22 [0x1a][0x40],23 [0x1b][0x40],24 [0x1c][0x40],25 [0x5][0x26],26 [0x1d][0x40],27 [0x1e][0x40],28 [0x5][0x28],29 [0x5][0x2a],30 [0x1f][0x40],31 [0x3][0x39],32 [0x3][0x3a],33 [0x5][0x2c],34 [0x3][0x3b],35 [0x3][0x3c],36 [0x3][0x3d],37 [0x20][0x40],38 [0x19][0x41],39 [0x1a][0x41],40 [0x1b][0x41],41 [0x1c][0x41],42 [0x3][0x3e],43 [0x5][0x2e],44 [0x3][0x3f],45 [0x0][0x1c],46 [0x0][0x20]
0,"",0,"",0,0,1,0,0,"","","",0,100,0,0,0,0,0,0,8,0,false,false,false,false,0,false,true,0,0,false,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
1,"タイニーボム",0,"",0,0,1,0,0,"ミニオン「タイニーボム」を呼び出す。\n人工孵化させたボムの幼生体。たぶん爆発しない","ボムの幼生体。異界「ヴォイド」由来のガス状生物「ボム」を、錬金術の技術を応用して人工孵化させたもの。木炭や青燐水、ファイアクリスタルなどの燃料を与えると、喜んで食べる。たぶん爆発しない","ギギ…ギギギ…",427,100,30,0,0,0,2,0,8,1,true,true,false,false,0,false,true,4503,3,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
2,"マメット001",0,"",0,0,1,0,0,"ミニオン「マメット001」を呼び出す。\n錬金術師ギルドと彫金師ギルドが共作した、からくり人形","ウルダハの彫金師ギルドが、錬金術師ギルドの協力を得て開発、製造した魔法人形「マメット」の市販モデル。型式001は、ベーシックな汎用機種であり、これをベースに様々な亜種が作られている","ピカピカ◎新品☆デス",419,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4501,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
3,"チョコチョコボ",0,"",0,0,1,0,0,"ミニオン「チョコチョコボ」を呼び出す。\nチョコチョコ歩くチョコボの子","チョコチョコ歩くチョコボの子。冒険者のことを親だと思い込んでおり、どこまででもついてくる。タマゴのカラを後生大事に身に着け続けているのは、防具を装備する冒険者をマネしてのことらしい","クエーッ！",423,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4502,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
4,"マメット・ケットシー",0,"",0,0,1,0,0,"ミニオン「マメット・ケットシー」を呼び出す。\nケットシーを模した魔法人形","ミッドランダー族の民話に登場する妖精猫、ケットシーを模した魔法人形。彫金師ギルドマスター、セレンディピティーが、親を失った霊災遺児を慰めるために、ぬいぐるみにマメットを仕込んで作り上げた","…………",430,100,30,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4504,201,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
5,"ベビーモス",0,"",0,0,1,0,0,"ミニオン「ベビーモス」を呼び出す。\nブヒーと鳴きそうな幼獣。親の顔が見てみたい","伝説の魔獣「ベヒーモス」の幼生体という触れ込みで、ウルダハの路上で売られていた謎の幼獣。紫色の肉体と黒いタテガミ、そして鈍く光る角を持っているが、ブヒーと鳴きそうな面構えをしている。親の顔が見てみたい","ブ、ブヒッ！？",428,100,30,0,0,0,2,0,8,5,true,true,false,true,0,false,true,4505,5,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
6,"マメット003L",0,"",0,0,1,0,0,"ミニオン「マメット003L」を呼び出す。\n黒渦団制式採用型からくり人形","リムサ・ロミンサのグランドカンパニー「黒渦団」が制式採用した魔法人形。軍事パレードの旗手役を務めるために設計されており、ピンと背筋を伸ばして雄々しく団旗を掲げる。しかし、背が低く、旗は誰にも見えなかった","提督ニ◎敬礼☆",420,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4506,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
7,"マメット003G",0,"",0,0,1,0,0,"ミニオン「マメット003G」を呼び出す。\n双蛇党制式採用型からくり人形","グリダニアのグランドカンパニー「双蛇党」が制式採用した魔法人形。軍事パレードの旗手役を務めるために設計されており、ピンと背筋を伸ばして雄々しく党旗を掲げる。しかし、背が低く、旗は誰にも見えなかった","カヌ・エ様ニ◎敬礼☆",421,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4507,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
8,"マメット003U",0,"",0,0,1,0,0,"ミニオン「マメット003U」を呼び出す。\n不滅隊制式採用型からくり人形","ウルダハのグランドカンパニー「不滅隊」が制式採用した魔法人形。軍事パレードの旗手役を務めるために設計されており、ピンと背筋を伸ばして雄々しく隊旗を掲げる。しかし、背が低く、旗は誰にも見えなかった","局長ニ◎敬礼☆",422,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4508,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
9,"黒渦のチョコチョコボ",0,"",0,0,1,0,0,"ミニオン「黒渦のチョコチョコボ」を呼び出す。\nチョコチョコ歩くチョコボの子。黒渦団に忠誠を誓う","黒渦団に忠誠を誓うチョコボの子。ある日、黒渦団の厩務員が、掃除をするためチョコボ房に入ったところ、何故か当然のようにそこにいた。以来、隊のマスコットとなっていたが、本人の希望により冒険者部隊に転属した","クエッ、クエッ！",424,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4509,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
