Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x7][0x8],3 [0x2][0xd],4 [0x3][0xc]
0,"","",0,0,0
1,"チョコダッシュ","ダッシュする。\n効果時間：1秒",70001,1,1
2,"チョコダッシュII","ダッシュする。\n効果時間：2秒",70002,1,2
3,"チョコダッシュIII","ダッシュする。\n効果時間：3秒",70003,1,3
4,"チョコケアル","体力を6％回復する。",70004,2,6
5,"チョコケアルII","体力を9％回復する。",70005,2,9
6,"チョコケアルIII","体力を12％回復する。",70006,2,12
7,"チョコエスナ","75％の確率で、弱体効果を解除する。",70007,3,75
8,"チョコエスナII","90％の確率で、弱体効果を解除する。",70008,3,90
9,"チョコエスナIII","100％の確率で、弱体効果を解除する。",70009,3,100
10,"チョコイーズ","ヘヴィ状態を解除し、体力を80回復する。",70010,4,80
11,"チョコイーズII","ヘヴィ状態を解除し、体力を130回復する。",70011,4,130
12,"チョコイーズIII","ヘヴィ状態を解除し、体力を180回復する。",70012,4,180
13,"チョコカーム","興奮状態を解除し、体力を100回復する。",70013,5,100
14,"チョコカームII","興奮状態を解除し、体力を150回復する。",70014,5,150
15,"チョコカームIII","興奮状態を解除し、体力を200回復する。",70015,5,200
16,"チョコリフレク","自身のみを対象とした弱体効果攻撃を、使用者に跳ね返す。\n効果時間：10秒",70016,6,10
17,"チョコリフレクII","自身のみを対象とした弱体効果攻撃を、使用者に跳ね返す。\n効果時間：15秒",70017,6,15
18,"チョコリフレクIII","自身のみを対象とした弱体効果攻撃を、使用者に跳ね返す。\n効果時間：20秒",70018,6,20
19,"チョコスティール","自分の前を走るチョコボから、50％の確率でアイテムを盗む。",70019,7,50
20,"チョコスティールII","自分の前を走るチョコボから、70％の確率でアイテムを盗む。",70020,7,70
21,"チョコスティールIII","自分の前を走るチョコボから、90％の確率でアイテムを盗む。",70021,7,90
22,"チョコサイレス","自分の周囲に、アビリティ使用不可フィールドを生成する。\n効果時間：35秒",70022,8,35
23,"チョコサイレスII","自分の周囲に、アビリティ使用不可フィールドを生成する。\n効果時間：40秒",70023,8,40
24,"チョコサイレスIII","自分の周囲に、アビリティ使用不可フィールドを生成する。\n効果時間：45秒",70024,8,45
25,"チョコショック","自分の周囲に、アイテム使用不可フィールドを生成する。\n効果時間：25秒",70025,9,25
26,"チョコショックII","自分の周囲に、アイテム使用不可フィールドを生成する。\n効果時間：30秒",70026,9,30
27,"チョコショックIII","自分の周囲に、アイテム使用不可フィールドを生成する。\n効果時間：35秒",70027,9,35
28,"体力消耗軽減","加速時の体力消費量を9％軽減する。",70028,10,9
29,"体力消耗軽減II","加速時の体力消費量を12％軽減する。",70029,10,12
30,"体力消耗軽減III","加速時の体力消費量を15％軽減する。",70030,10,15
31,"ヘヴィ耐性","60％の確率で、ヘヴィ状態を無効化する。",70031,11,60
32,"ヘヴィ耐性II","70％の確率で、ヘヴィ状態を無効化する。",70032,11,70
33,"ヘヴィ耐性III","80％の確率で、ヘヴィ状態を無効化する。",70033,11,80
34,"ヘヴィ耐性IV","90％の確率で、ヘヴィ状態を無効化する。",70034,11,90
35,"ヘヴィ耐性V","100％の確率で、ヘヴィ状態を無効化する。",70035,11,100
36,"興奮耐性","60％の確率で、興奮状態を無効化する。",70036,12,60
37,"興奮耐性II","70％の確率で、興奮状態を無効化する。",70037,12,70
38,"興奮耐性III","80％の確率で、興奮状態を無効化する。",70038,12,80
39,"興奮耐性IV","90％の確率で、興奮状態を無効化する。",70039,12,90
40,"興奮耐性V","100％の確率で、興奮状態を無効化する。",70040,12,100
41,"体力回復量アップ","体力回復時の回復量が50％上昇する。",70041,13,50
42,"体力回復量アップII","体力回復時の回復量が65％上昇する。",70042,13,65
43,"体力回復量アップIII","体力回復時の回復量が80％上昇する。",70043,13,80
44,"経験値アップ","獲得経験値が10％増加する。",70044,14,10
45,"経験値アップII","獲得経験値が20％増加する。",70045,14,20
46,"経験値アップIII","獲得経験値が30％増加する。",70046,14,30
47,"スタートダッシュ","レース開始時に、最高速度でスタートする。",70047,15,1
48,"","",0,0,0
49,"","",0,0,0
50,"","",0,0,0
