Index,0 [0x7][0x18],1 [0x0][0x0],2 [0x0][0x4],3 [0x0][0x8],4 [0x0][0xc],5 [0x0][0x10],6 [0x0][0x14]
0,0,"Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy","Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy"
1,10,"Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy","Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy"
2,40,"Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy","Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy"
3,100,"Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy","Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy"
4,190,"Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy","Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy"
5,310,"Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy","Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy"
6,490,"Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy","Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy"
7,730,"Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy","Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy"
8,1030,"Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy","Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy"
9,1390,"Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy","Lominsan Puppy","Gridanian Puppy","Ul'dahn Puppy"
10,1810,"Lominsan Howler","Gridanian Howler","Ul'dahn Howler","Lominsan Howler","Gridanian Howler","Ul'dahn Howler"
11,2350,"Lominsan Howler","Gridanian Howler","Ul'dahn Howler","Lominsan Howler","Gridanian Howler","Ul'dahn Howler"
12,3010,"Lominsan Howler","Gridanian Howler","Ul'dahn Howler","Lominsan Howler","Gridanian Howler","Ul'dahn Howler"
13,3790,"Lominsan Howler","Gridanian Howler","Ul'dahn Howler","Lominsan Howler","Gridanian Howler","Ul'dahn Howler"
14,4690,"Lominsan Howler","Gridanian Howler","Ul'dahn Howler","Lominsan Howler","Gridanian Howler","Ul'dahn Howler"
15,5710,"Lominsan Howler","Gridanian Howler","Ul'dahn Howler","Lominsan Howler","Gridanian Howler","Ul'dahn Howler"
16,6910,"Lominsan Howler","Gridanian Howler","Ul'dahn Howler","Lominsan Howler","Gridanian Howler","Ul'dahn Howler"
17,8290,"Lominsan Howler","Gridanian Howler","Ul'dahn Howler","Lominsan Howler","Gridanian Howler","Ul'dahn Howler"
18,9850,"Lominsan Howler","Gridanian Howler","Ul'dahn Howler","Lominsan Howler","Gridanian Howler","Ul'dahn Howler"
19,11590,"Lominsan Howler","Gridanian Howler","Ul'dahn Howler","Lominsan Howler","Gridanian Howler","Ul'dahn Howler"
20,13510,"Lominsan Growler","Gridanian Growler","Ul'dahn Growler","Lominsan Growler","Gridanian Growler","Ul'dahn Growler"
21,15670,"Lominsan Growler","Gridanian Growler","Ul'dahn Growler","Lominsan Growler","Gridanian Growler","Ul'dahn Growler"
22,18070,"Lominsan Growler","Gridanian Growler","Ul'dahn Growler","Lominsan Growler","Gridanian Growler","Ul'dahn Growler"
23,20710,"Lominsan Growler","Gridanian Growler","Ul'dahn Growler","Lominsan Growler","Gridanian Growler","Ul'dahn Growler"
24,23590,"Lominsan Growler","Gridanian Growler","Ul'dahn Growler","Lominsan Growler","Gridanian Growler","Ul'dahn Growler"
25,26710,"Lominsan Growler","Gridanian Growler","Ul'dahn Growler","Lominsan Growler","Gridanian Growler","Ul'dahn Growler"
26,30130,"Lominsan Growler","Gridanian Growler","Ul'dahn Growler","Lominsan Growler","Gridanian Growler","Ul'dahn Growler"
27,33850,"Lominsan Growler","Gridanian Growler","Ul'dahn Growler","Lominsan Growler","Gridanian Growler","Ul'dahn Growler"
28,37870,"Lominsan Growler","Gridanian Growler","Ul'dahn Growler","Lominsan Growler","Gridanian Growler","Ul'dahn Growler"
29,42190,"Lominsan Growler","Gridanian Growler","Ul'dahn Growler","Lominsan Growler","Gridanian Growler","Ul'dahn Growler"
30,46810,"Lominsan Hound","Gridanian Hound","Ul'dahn Hound","Lominsan Hound","Gridanian Hound","Ul'dahn Hound"
31,51790,"Lominsan Hound","Gridanian Hound","Ul'dahn Hound","Lominsan Hound","Gridanian Hound","Ul'dahn Hound"
32,57130,"Lominsan Hound","Gridanian Hound","Ul'dahn Hound","Lominsan Hound","Gridanian Hound","Ul'dahn Hound"
33,62830,"Lominsan Hound","Gridanian Hound","Ul'dahn Hound","Lominsan Hound","Gridanian Hound","Ul'dahn Hound"
34,68890,"Lominsan Hound","Gridanian Hound","Ul'dahn Hound","Lominsan Hound","Gridanian Hound","Ul'dahn Hound"
35,75310,"Lominsan Hound","Gridanian Hound","Ul'dahn Hound","Lominsan Hound","Gridanian Hound","Ul'dahn Hound"
36,82150,"Lominsan Hound","Gridanian Hound","Ul'dahn Hound","Lominsan Hound","Gridanian Hound","Ul'dahn Hound"
37,89410,"Lominsan Hound","Gridanian Hound","Ul'dahn Hound","Lominsan Hound","Gridanian Hound","Ul'dahn Hound"
38,97090,"Lominsan Hound","Gridanian Hound","Ul'dahn Hound","Lominsan Hound","Gridanian Hound","Ul'dahn Hound"
39,105190,"Lominsan Hound","Gridanian Hound","Ul'dahn Hound","Lominsan Hound","Gridanian Hound","Ul'dahn Hound"
40,113710,"Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker","Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker"
41,122710,"Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker","Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker"
42,132190,"Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker","Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker"
43,142150,"Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker","Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker"
44,152590,"Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker","Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker"
45,163510,"Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker","Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker"
46,174970,"Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker","Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker"
47,186970,"Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker","Lominsan Stalker","Gridanian Stalker","Ul'dahn Stalker"
