Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x19][0x8]
0,"","",false
1,"L'Insatiable","L'Insatiable",false
2,"Chevalier intrépide","Chevalière intrépide",false
3,"Maître des chakras","Maîtresse des chakras",false
4,"Exécuteur bestial","Exécutrice bestiale",false
5,"Empaleur céleste","Empaleuse céleste",false
6,"Virtuose des flèches","Virtuose des flèches",false
7,"Prêtre de la nature","Prêtresse de la nature",false
8,"Chasseur d'étoiles","Chasseuse d'étoiles",false
9,"Le Sanguinaire","La Sanguinaire",false
10,"Chasseur célèbre","Chasseuse célèbre",false
11,"Journalier nanti","Journalière nantie",false
12,"Le Détrousseur","La Détrousseuse",false
13,"Le Va-t-en-guerre","La Va-t-en-guerre",false
14,"L'Archimage","L'Archimage",false
15,"Maître ouvrier","Maîtresse ouvrière",false
16,"As des ressources","As des ressources",false
17,"L'Ébéniste","L'Ébéniste",false
18,"Le Forgeur","La Forgeuse",false
19,"Le Marteleur","La Marteleuse",false
20,"Le Joaillier","La Joaillière",false
21,"Le Mégissier","La Mégissière",false
22,"Le Tailleur","La Tailleuse",false
23,"L'Apothicaire","L'Apothicaire",false
24,"Le Cordon-bleu","Le Cordon-bleu",false
25,"Mineur de la prairie","Mineuse de la prairie",false
26,"Mineur de la forêt","Mineuse de la forêt",false
27,"Mineur du désert","Mineuse du désert",false
28,"Extracteur de la prairie","Extractrice de la prairie",false
29,"Extracteur de la forêt","Extractrice de la forêt",false
30,"Extracteur du désert","Extractrice du désert",false
31,"Bûcheron de la prairie","Bûcheronne de la prairie",false
32,"Bûcheron de la forêt","Bûcheronne de la forêt",false
33,"Bûcheron du désert","Bûcheronne du désert",false
34,"Faucheur de la prairie","Faucheuse de la prairie",false
35,"Faucheur de la forêt","Faucheuse de la forêt",false
36,"Faucheur du désert","Faucheuse du désert",false
37,"Pêcheur de la prairie","Pêcheuse de la prairie",false
38,"Pêcheur de la forêt","Pêcheuse de la forêt",false
39,"Pêcheur du désert","Pêcheuse du désert",false
40,"Harponneur de la prairie","Harponneuse de la prairie",false
41,"Harponneur de la forêt","Harponneuse de la forêt",false
42,"Harponneur du désert","Harponneuse du désert",false
43,"Sertisseur certifié","Sertisseuse certifiée",false
44,"Maestro ès matérias","Maestro ès matérias",false
45,"Combattant zélé","Combattante zélée",false
46,"Mage zélé","Mage zélée",false
47,"Artisan zélé","Artisane zélée",false
48,"Récolteur zélé","Récolteuse zélée",false
