Index,0 [0x19][0x0],1 [0x1a][0x0]
32768,false,false
32769,false,false
32770,true,false
32771,false,false
32772,false,false
32773,false,false
32774,true,false
32775,true,false
32776,false,false
32777,false,false
32778,false,false
32779,false,false
32780,false,false
32781,false,false
32782,false,false
32783,false,false
32784,false,false
32785,false,false
32786,false,false
32787,false,false
32788,false,false
32789,false,false
32790,false,false
32791,false,false
32792,false,false
32793,false,false
32794,false,true
