Index,0 [0x3][0x1c],1 [0x3][0x1d],2 [0x6][0x8],3 [0x3][0x1e],4 [0x6][0xc],5 [0x3][0x1f],6 [0x6][0x10],7 [0x5][0x18],8 [0x5][0x1a],9 [0x0][0x0],10 [0x0][0x4],11 [0x6][0x14]
0,0,0,0,0,0,0,0,0,0,"","",0
1,1,1,3,5,15,3,1000,0,57,"ダンジョン：コンテンツルーレット","コンテンツルーレットで、ダンジョンを3回攻略する",84300
2,1,2,5,5,10,3,2000,0,57,"ダンジョン：攻略回数","ダンジョンを5回攻略する",56200
3,2,1,3,5,5,3,1000,0,71,"ギルドオーダー：攻略回数1","ギルドオーダーを3回攻略する",28100
4,2,2,10,5,10,3,2000,0,71,"ギルドオーダー：攻略回数2","ギルドオーダーを10回攻略する",56200
5,0,0,0,0,0,0,0,0,0,"","",0
6,0,0,0,0,0,0,0,0,0,"","",0
7,3,1,10,0,0,4,10,0,130,"ウルヴズジェイル：参加回数","ウルヴズジェイルに10回参加する",0
8,3,2,3,0,0,4,15,0,130,"ウルヴズジェイル：勝利回数","ウルヴズジェイルで3回勝利する",0
9,4,1,5,5,15,3,1000,0,0,"F.A.T.E.：地域制覇","5地域のF.A.T.E.で最高評価を獲得する",84300
10,4,2,10,5,15,3,2000,0,0,"F.A.T.E.：攻略種類数","10種類のF.A.T.E.を達成する",84300
11,5,1,5,5,15,3,1000,0,0,"リーヴ：絵柄制覇","プレートの絵柄が異なるリーヴを、5種類達成する",84300
12,5,2,20,5,15,3,2000,0,0,"リーヴ：達成回数","リーヴを20回達成する",84300
13,6,1,10,0,0,6,1000,0,89,"軍需品・補給品調達：納品回数","軍需品・補給品調達を10回納品する",0
14,6,2,5,0,0,6,1000,0,89,"軍需品・補給品調達：HQ納品回数","軍需品・補給品調達で、HQアイテムを5回納品する",0
15,7,1,3,0,0,3,1000,0,149,"トレジャーハント：地図採集回数","古ぼけた地図を3回採集する",0
16,7,2,5,0,0,3,2000,0,149,"トレジャーハント：宝獲得回数","トレジャーハントで宝箱を開け、宝を5回獲得する",0
17,8,1,20,7,5,3,1000,0,96,"バディ：討伐数1","バディと共に、レベルの近い敵を20体討伐する",0
18,8,2,100,7,10,3,2000,0,96,"バディ：討伐数2","バディと共に、レベルの近い敵を100体討伐する",0
19,9,1,5,0,0,3,1000,0,152,"蛮族クエスト：コンプリート回数1","蛮族デイリークエストを5回コンプリートする",0
20,9,2,15,0,0,3,2000,0,152,"蛮族クエスト：コンプリート回数2","蛮族デイリークエストを15回コンプリートする",0
21,10,1,5,0,0,3,4000,0,0,"攻略手帳：達成数1","攻略手帳の課題を、5種類達成する",0
22,10,2,10,0,0,3,4000,0,0,"攻略手帳：達成数2","攻略手帳の課題を、10種類達成する",0
23,10,3,15,0,0,3,5000,20,0,"攻略手帳：達成数3","攻略手帳の課題を、15種類達成する",0
24,10,4,20,0,0,3,5000,30,0,"攻略手帳：達成数4","攻略手帳の課題を、20種類達成する",0
25,11,1,5,5,10,3,1000,0,160,"MIP推薦","MIP推薦を計5回投票する",56200
26,12,1,100,5,5,3,1000,0,0,"採集活動","採掘師か園芸師で、採集レベルが近いアイテムを
100回採集する",0
27,12,2,30,5,5,3,2000,0,0,"採集活動：HQ","採掘師か園芸師で、採集レベルが近いHQアイテムを30回採集する",0
28,12,3,30,5,5,3,1000,0,0,"釣り","漁師で30回釣り上げる",0
29,12,4,10,5,5,3,2000,0,0,"釣り：HQ","漁師で10回HQアイテムを釣り上げる",0
30,13,1,30,5,10,3,1000,0,0,"製作活動","30回製作をする",0
31,13,2,20,5,10,3,2000,0,0,"製作活動：HQ","20回HQアイテムを製作する",0
32,13,3,5,5,10,3,2000,0,98,"マテリア装着","マテリア装着を5回成功させる",0
33,14,1,10,0,0,3,1000,0,168,"リテイナーベンチャー：完了回数","リテイナーベンチャーの依頼を、10回完了させる",0
34,14,2,15,0,0,3,4000,0,169,"リテイナーベンチャー：探索回数","リテイナーベンチャーの探索依頼を、15回完了させる",0
35,3,3,7,0,0,4,10,0,176,"アウトロー戦区：参戦回数","アウトロー戦区に7回参戦する",0
36,3,4,3,0,0,4,15,0,176,"アウトロー戦区：勝利回数","アウトロー戦区で3回勝利する",0
