Index,0 [0x19][0xb],1 [0x19][0x17],2 [0x19][0x23],3 [0x19][0x2f],4 [0x19][0x3b],5 [0x19][0x47],6 [0x3][0x8],7 [0x3][0x14],8 [0x3][0x20],9 [0x3][0x2c],10 [0x3][0x38],11 [0x3][0x44],12 [0x7][0x0],13 [0x7][0xc],14 [0x7][0x18],15 [0x7][0x24],16 [0x7][0x30],17 [0x7][0x3c],18 [0x2][0x9],19 [0x2][0x15],20 [0x2][0x21],21 [0x2][0x2d],22 [0x2][0x39],23 [0x2][0x45],24 [0x2][0xa],25 [0x2][0x16],26 [0x2][0x22],27 [0x2][0x2e],28 [0x2][0x3a],29 [0x2][0x46],30 [0x6][0x4],31 [0x6][0x10],32 [0x6][0x1c],33 [0x6][0x28],34 [0x6][0x34],35 [0x6][0x40],36 [0x0][0x48],37 [0x0][0x4c],38 [0x0][0x50],39 [0x0][0x54],40 [0x0][0x58],41 [0x0][0x5c]
0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0"
1,false,false,false,false,false,false,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"Vous m'avez amené ce dont j'ai besoin?","Merci!","Dommage...","0","0","0"
2,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ah, voilà ce que je voulais!","Super, merci!","Je vois...","Oh, vous m'en ramenez encore?","Bon, alors parlez-moi de nouveau si vous changez d'avis!","Ça suffira. Merci!"
3,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est vous l'artisan<if:e/none> qui a pris en charge le mandat?","Merci! J'ai eu de la chance de tomber sur une personne fiable comme vous. Voici votre récompense.","Mince, voilà qui ne m'arrange pas... J'ai pourtant émis un mandat pour ce travail...","0","0","0"
4,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est vous l'artisan<if:e/none> qui a accepté le mandat? Vous avez préparé ce qui était demandé?","Merci de m'avoir fourni ce dont j'avais besoin. Je vais vous donner votre récompense.","Ah, dommage... Je n'ai qu'à prendre mon mal en patience, alors.","0","0","0"
5,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Vous êtes l'artisan<if:e/none> que la guilde m'envoie, n'est-ce pas? Vous avez pu préparer ce que j'ai demandé?","Quelle qualité! Merci, j'accuse réception de la commande.","Je comprends, j'imagine que vous avez vos raisons. Une personne comme vous n'agirait pas de manière irresponsable.","Si vous avez encore un peu de temps à m'accorder, accepteriez-vous de me fournir une nouvelle fois?","Il est normal qu'une personne de votre talent ne soit pas toujours disponible, bien sûr... Si jamais vous vous libériez, cependant, revenez me voir.","Merci beaucoup!"
6,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah, vous voilà enfin! Je n'en pouvais plus d'attendre! Vous avez ce que j'ai demandé?","Oh, quel beau travail! Très bien, voici la récompense.","Que quelqu'un vienne m'aider, et vite! Si ce n'était pas urgent, je n'aurais pas émis un mandat exprès!","J'ai demandé une nouvelle livraison, est-ce que vous voudriez bien m'aider à nouveau? Je vois que vous savez travailler vite et bien...","Bien, n'hésitez pas à revenir une autre fois. Enfin, si c'est pour m'inviter, c'est à voir.","Merci! Les aventuriers qui me rendent service comme vous sont toujours les bienvenus ici!"
7,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah, c'est vous qui avez accepté la requête de mon unité. Très bien, voyons un peu ce que vous nous avez apporté.","Je n'ai rien à redire sur la qualité, c'est de l'excellent travail. Vous avez toute ma reconnaissance.","Moi et mes hommes avons besoin de la marchandise dans les plus brefs délais. Tout retard est susceptible de nous coûter la vie si nous subissons une attaque.","0","0","0"
8,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah! Vous devez être l'aventuri<if:ère/er> dont on m'a parlé... <forename>, c'est ça? Bien, montrez-moi la marchandise...","Hmm... C'est du bon travail. Oui, j'aime beaucoup ce que vous avez fait. Je ne manquerai pas de faire à nouveau appel à vos services dans le futur. Tenez, voici votre récompense.","Pressez-vous, le Consortium de Brugaire est réputé pour la rapidité avec laquelle il honore ses commandes. Si vous ne pouvez pas fabriquer les objets que j'ai demandés, dites-le-moi et j'embaucherai quelqu'un d'autre. Comme vous pouvez le voir, les aventuriers ne manquent pas par ici.","Ho, ho... Beau travail... Excellent travail, dirais-je même. Que diriez-vous de m'en livrer un peu plus?","Non? Bon, tant pis... Je ferai avec ce que j'ai.","Merci, <forename>. Vous avez rendu un grand service au Consortium de Brugaire. J'espère que nous aurons l'occasion de travailler ensemble à nouveau."
9,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est très aimable à vous d'avoir accepté ma requête. Je suis moi-même initiée à plusieurs disciplines de la main, mais il y a encore des domaines pour lesquels je préfère faire appel à des artisans plus expérimentés.","Magnifique! C'est exactement ce que je voulais. Tenez, c'est votre récompense.","Et ma commande, alors? Ne me dites pas que vous l'avez perdue en cours de route!?","0","0","0"
10,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Aaah, enfin une livraison! Alors, voyons voir ce que nous avons là...","Ooh... Pas mal! Pas mal du tout! Oui, je devrais pouvoir en tirer un bon prix. Tiens, c'est ta récompense. N'hésite pas à accomplir d'autres mandats pour moi, j'aime beaucoup ce que tu fais.","T'es pas sympa de me faire des fausses joies, comme ça! J'ai besoin de cette marchandise le plus rapidement possible. Au cas où tu l'aurais pas remarqué, je roule pas sur l'or et chaque minute qui passe me rapproche un peu plus de la famine. Fais vite!","0","0","0"
11,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Salut, mousaillon! Alors, qu'est-ce que tu m'apporrrtes de beau, aujourd'hui?","Parrrfait, c'est exactement ce que je voulais. Si jamais tu te lasses du métier d'aventurier et que tu veux devenir marin, sache que tu es l<if:a/e> bienvenu<if:e/none> sur la Prrrincesse de glace.","Ça y est, tu te rappelles de ce que tu devais m'apporrrter? Bien, dans ce cas, dépêche-toi de me livrer! Plus tu me fais attendrrre, plus ta récompense diminue! Hé hé hé!","Par Llymlaen! Tu te débrouilles sacrément bien, dis donc! Dis, tu voudrrrais pas m'en livrer un peu plus? Je te paierai, bien sûr...","Comment ça “non”!? Tu sais à qui tu parrrles, petit<if:e/none>? Bon, tant pis... Je vais me contenter de ce que j'ai sous la main.","Alors là, chapeau... c'est de l'excellent boulot! Avec un<if:e/none> artisan<if:e/none> de ton calibrrre dans mon équipage, je suis sûr que la Princesse de glace deviendrait le navire de commerce numéro un dans la région! Penses-y et reviens me voir si le cœurrr t'en dit."
12,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"<if:<if:Bonsoir/Bonjour>/<if:Bonjour/Bonsoir>> aventuri<if:ère/er>. Avez-vous les marchandises que messire Gegeruju a commandées?","Merci. C'est un beau produit que vous m'avez livré. Je suis sûr que le seigneur en sera fort satisfait. Prenez soin de vous, et à bientôt j'espère.","Eh bien, n'avez-vous rien à me montrer? Ne me dites pas que vous n'avez pas encore commencé!? Je vous conseille de faire vite, le seigneur Gegeruju a <i>horreur</i> d'attendre!","Quel travail remarquable... Connaissant le seigneur, je suis persuadé qu'il apprécierait d'en avoir quelques exemplaires supplémentaires. Que diriez-vous d'effectuer une nouvelle livraison? Bien sûr, vous serez généreusement récompensé<if:e/none>. Vous le savez, l'argent n'est pas un problème chez nous. Ho ho ho!","Quel dommage... Enfin, j'imagine que vous avez d'autres coeurls à fouetter.","Parfait! Messire Gegeruju sera aux anges. Après tout, c'est un homme dont la devise est: “Pourquoi se contenter d'un arbre quand on peut avoir toute une forêt?”. Continuez à mettre votre talent au service du seigneur et, bientôt, vous aussi serez riche que lui! Enfin... presque. Ho ho ho!"
13,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"<if:<if:Bonsoir/Bonjour>/<if:Bonjour/Bonsoir>> aventuri<if:ère/er>. C'est pour une livraison ou un enlèvement?","Une livraison? Signez ici, je vous prie. Merci, et bonne journée. Au suivant!","Je suis désolé, mais je ne peux pas signer votre contrat tant que vous n'avez pas livré les marchandises. Au suivant!","Les affaires marchent fort en ce moment et j'aimerais en profiter pour renflouer nos stocks. Que diriez-vous de prolonger votre contrat avec nous? Bien sûr, vous serez récompensé<if:e/none> comme il se doit.","Vous n'êtes pas intéressé<if:e/none>? Tant pis, alors... Au suivant!","C'est pour...? Ah, je vous reconnais. Une livraison, donc. Signez ici, je vous prie. Merci, et bonne journée!"
14,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"<if:<if:Bonsoir, bonsoir/Bonjour, bonjour>/<if:Bonjour, bonjour/Bonsoir, bonsoir>>! C'est pour une livraison, j'imagine? Montrez-moi ce que vous avez.","Hmm... Oui, je pense que ça fera l'affaire. Tenez, c'est pour vous. Au plaisir de vous revoir!","Comment voulez-vous que je procède au contrôle des marchandises si vous venez les mains vides!? Si vous n'êtes pas capable de fabriquer les produits que j'ai commandés, dites-le tout de suite et ne me faites pas perdre mon temps.","0","0","0"
15,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Une livraison, vous dites? Montrez-moi la marchandise, que je l'inspecte.","Oui, c'est bien ce que j'avais commandé. Merci, aventuri<if:ère/er>.","Il faudrait savoir: vous avez quelque chose pour moi, oui ou non? Si vous cherchez juste à enquiquiner quelqu'un, allez voir mon collègue Gigiyon, au rond-point des Scorpions!","0","0","0"
16,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Une livraison, tu dis? Ha! On ne me la fait pas, à moi! C'est les Amalj'aa qui t'envoient, c'est ça!?","Oups! C'est bien le produit que j'avais commandé. Je me sens un peu idiote maintenant... Enfin, avec tous ces escrocs qui traînent, on n'est jamais trop prudent. Merci encore et... désolée pour la méprise.","Ha! J'en étais sûre! Tu ne manques pas de toupet pour t'aventurer dans ce camp. Je vais être gentille et te laisser la vie sauve... pour cette fois. Mais ne t'avise pas de remettre les pieds ici, sinon je te dénoncerai aux autorités!","Maintenant que je sais que tu es un<if:e/none> artisan<if:e/none> digne de confiance, j'aimerais te demander un petit service... Rien de compliqué, rassure-toi. Je voudrais juste que tu me fabriques quelques objets en plus, histoire de réapprovisionner mes stocks de marchandises.","Tu refuses? C'est juste une petite commande de rien du tout. Un<if:e/none> artisan<if:e/none> digne de ce nom ne laisserait jamais un client dans l'embarras. Hmm... Je commence à douter de ton honnêteté, tout à coup.","Merci! Merci mille fois! C'est tellement rassurant de savoir qu'il existe des gens honnêtes dans ce bas monde."
17,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"0","0","0","0","0","0"
18,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Voilà donc le fameux envoyé de la guilde des aventuriers que j'attendais... Tu as du courage de venir travailler dans un endroit aussi froid.","Voyons voir ça... Oui, il y a bien tout ce que j'ai commandé. Brrr, décidément, qu'est-ce qu'il fait froid par ici...","Non, ça ne va pas. Tu dois m'apporter ce que j'ai demandé, c'est pourtant simple! Tu as de la chance que j'ai l'habitude d'attendre dans le froid. Brrr...","Pas de doute, tout y est. En fait, ça serait encore mieux s'il y en avait un peu plus! Tu crois que tu peux faire ça pour me rendre service?","Pas de problème, je comprends très bien. Qui aurait envie de faire du zèle avec une température pareille, après tout?","Ça alors, merci beaucoup! Ça valait le coup d'attendre ici, sous cette neige glaciale... Je crois que je vais m'acheter une épaisseur de fourrure supplémentaire pour la prochaine fois."
19,true,true,true,true,true,true,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est bien toi l'aventuri<if:ère/er> qu'on envoie pour ma requête?","Hum, oui, c'est vraiment pas mal du tout. J'ai bien fait de m'adresser à la guide des aventuriers, finalement. ","Avec tous les frais que j'ai payés à la guilde, j'espérais qu'on me fasse parvenir mon dû aussitôt. Dépêche-toi, je n'ai pas que ça à faire.","Tu travailles bien, dis donc. Si ça t'intéresse, j'ai encore du travail pour toi. Bien sûr, il y a une récompense à la clef!","Si tu es occupé<if:e/none>... Pas grave, je demanderai à quelqu'un d'autre.","Tu me rends un immense service! Avec tout ce que tu m'as apporté, ça devrait permettre à ma bourse de retrouver des couleurs."
