Index,0 [0x4][0x8],1 [0x4][0xa],2 [0x4][0xc],3 [0x4][0xe],4 [0x4][0x10],5 [0x4][0x12],6 [0x6][0x0],7 [0x6][0x4]
0,0,0,0,0,0,0,100,100
1,5,11,35,51,35,51,100,100
2,5,12,35,51,35,51,100,100
3,5,13,35,51,35,51,100,100
4,5,14,35,51,35,51,100,100
5,5,15,35,53,35,53,100,100
6,5,16,47,59,35,59,100,100
7,5,17,47,59,35,59,100,100
8,5,18,57,69,57,69,100,100
9,5,19,57,71,57,71,100,100
10,5,20,57,73,57,73,84,100
11,6,21,66,87,62,76,84,100
12,7,22,69,91,62,83,84,100
13,8,23,71,94,62,83,84,100
14,9,24,73,97,62,83,84,100
15,10,25,75,100,62,91,84,100
16,11,26,96,128,76,94,84,100
17,12,27,99,132,76,94,84,100
18,13,28,102,136,76,97,84,100
19,14,29,105,140,76,97,84,100
20,15,30,108,144,76,107,67,100
21,16,31,125,166,78,111,67,100
22,17,32,129,172,80,114,67,100
23,18,33,135,179,77,109,67,100
24,19,34,140,186,79,112,67,100
25,20,35,144,192,80,114,67,100
26,21,36,150,199,82,117,67,100
27,22,37,153,204,84,120,67,100
28,23,38,157,209,87,123,67,100
29,24,39,160,213,89,126,67,100
30,25,40,164,218,90,128,67,100
31,26,41,168,223,99,141,67,100
32,27,42,171,228,101,144,67,100
33,28,43,174,232,103,147,67,100
34,29,44,178,237,105,150,67,100
35,30,45,182,242,108,153,67,100
36,31,46,186,247,119,170,67,100
37,32,47,189,251,122,173,67,100
38,33,48,192,256,124,177,67,100
39,34,49,196,261,126,180,67,100
40,35,50,200,266,129,183,67,100
41,36,51,207,276,136,193,67,100
42,37,52,211,281,138,197,67,100
43,38,53,215,286,140,200,67,100
44,39,54,219,291,143,204,67,100
45,40,55,222,295,145,207,67,100
46,41,56,233,310,147,210,67,100
47,42,57,237,315,150,214,67,100
48,43,58,240,320,152,217,67,100
49,44,59,244,325,155,221,67,100
50,45,60,248,330,157,224,67,100
51,115,120,333,444,259,304,67,100
52,120,125,336,448,283,332,67,100
53,125,130,387,516,307,361,67,100
54,128,133,389,518,330,388,67,100
55,131,136,415,553,354,416,67,100
56,134,139,417,555,356,418,67,100
57,137,142,420,560,363,426,67,100
58,140,145,424,565,371,436,67,100
59,143,148,429,572,380,447,67,100
60,145,150,434,578,393,462,67,100
