Index,0 [0x0][0x0],1 [0x3][0x8],2 [0x19][0xa],3 [0x1a][0xa],4 [0x1b][0xa],5 [0x9][0x4],6 [0x3][0x9]
0,"",0,false,false,true,90.0,0
1,"music/ffxiv/BGM_Null.scd",0,false,false,true,90.0,0
2,"music/ffxiv/BGM_System_Title.scd",1,false,false,true,90.0,0
3,"music/ffxiv/BGM_System_Launcher.scd",1,false,false,true,90.0,0
4,"music/ffxiv/BGM_System_Chara.scd",1,false,false,true,90.0,0
5,"music/ffxiv/BGM_Town_Rest_01.scd",1,false,false,true,90.0,0
6,"music/ffxiv/BGM_Town_Gri_Day.scd",1,false,false,true,90.0,0
7,"music/ffxiv/BGM_Town_Gri_Night.scd",1,false,false,true,90.0,0
8,"music/ffxiv/BGM_Field_Gri_01.scd",1,true,true,false,90.0,0
9,"music/ffxiv/BGM_Field_Gri_02.scd",1,false,true,true,35.0,0
10,"music/ffxiv/BGM_Field_Gri_03.scd",1,false,true,true,120.0,0
11,"music/ffxiv/BGM_Field_Gri_04.scd",1,false,true,true,120.0,0
12,"music/ffxiv/BGM_Field_Gri_05.scd",1,false,true,true,120.0,0
13,"music/ffxiv/BGM_Battle_Gri_01.scd",2,false,false,true,90.0,0
14,"music/ffxiv/BGM_Leves.scd",1,false,false,true,90.0,0
15,"music/ffxiv/BGM_Dungeon_Gri_01.scd",1,true,true,false,90.0,0
16,"music/ffxiv/BGM_Battle_Dungeon_01.scd",2,false,false,true,90.0,0
17,"music/ffxiv/BGM_Rade_01.scd",1,false,false,true,90.0,1
18,"music/ffxiv/BGM_System_WinLoop.scd",1,false,false,true,90.0,0
19,"music/ffxiv/BGM_Event_OP01.scd",1,false,false,true,90.0,0
20,"music/ffxiv/BGM_System_WinShot_01.scd",1,false,false,true,90.0,0
21,"music/ffxiv/BGM_System_WinShot_02.scd",1,false,false,true,90.0,0
22,"music/ffxiv/BGM_System_WinShot_03.scd",1,false,false,true,90.0,0
23,"music/ffxiv/BGM_System_WinShot_04.scd",1,false,false,true,90.0,0
24,"music/ffxiv/BGM_Field_Gri_06.scd",1,false,true,true,120.0,0
25,"music/ffxiv/BGM_Town_Lim_Day.scd",1,false,false,true,90.0,0
26,"music/ffxiv/BGM_Town_Lim_Night.scd",1,false,false,true,90.0,0
27,"music/ffxiv/BGM_Field_Lim_01.scd",1,true,true,false,90.0,0
28,"music/ffxiv/BGM_Field_Lim_02.scd",1,false,true,true,120.0,0
29,"music/ffxiv/BGM_Field_Lim_03.scd",1,false,true,true,120.0,0
30,"music/ffxiv/BGM_Field_Lim_04.scd",1,false,true,true,120.0,0
31,"music/ffxiv/BGM_Field_Lim_05.scd",1,false,true,true,45.0,0
32,"music/ffxiv/BGM_Field_Lim_06.scd",1,false,true,true,120.0,0
33,"music/ffxiv/BGM_Battle_Lim_01.scd",1,false,false,true,90.0,0
34,"music/ffxiv/BGM_Leves_Lim_01.scd",1,false,false,true,90.0,0
35,"music/ffxiv/BGM_Dungeon_Lim_01.scd",1,true,true,false,90.0,0
36,"music/ffxiv/BGM_Boss_01.scd",1,false,false,true,90.0,0
37,"music/ffxiv/BGM_Boss_02.scd",1,false,false,true,90.0,0
38,"music/ffxiv/BGM_Boss_03.scd",1,false,false,true,90.0,0
39,"music/ffxiv/BGM_Boss_04.scd",1,false,false,true,90.0,0
40,"music/ffxiv/BGM_Behest.scd",1,false,false,true,90.0,0
41,"music/ffxiv/BGM_Dungeon_Gri_02.scd",1,true,true,false,90.0,0
42,"music/ffxiv/BGM_Dungeon_Gri_03.scd",1,true,true,false,90.0,0
43,"music/ffxiv/BGM_Dungeon_Lim_02.scd",1,true,true,false,90.0,0
44,"music/ffxiv/BGM_Town_Uru_Day.scd",1,false,false,true,90.0,0
