Index,0 [0x7][0x4],1 [0x3][0xc],2 [0x7][0x8],3 [0x0][0x0],4 [0x19][0xd],5 [0x1a][0xd]
0,0,2,5728,"",false,true
1,14999504,2,5729,"blanc neige",false,true
2,11315362,2,5730,"gris cendre",false,true
3,9013124,2,5731,"gris goobbue",false,true
4,6645093,2,5732,"gris ardoise",false,true
5,4736834,2,5733,"gris charbon",false,true
6,2828579,2,5734,"noir suie",false,true
7,15114134,4,5735,"rose floral",false,true
8,8612201,4,5736,"lilas",false,true
9,5969705,4,5737,"rouge rolanberry",false,true
10,7871002,4,5738,"rouge Dalamud",false,true
11,6431239,4,5739,"rouille",false,true
12,4527377,4,5740,"lie-de-vin",false,true
13,13397086,4,5741,"rose corail",false,true
14,9517863,4,5742,"rouge sang",false,true
15,14985866,4,5743,"rose saumon",false,true
16,12016685,5,5744,"orange couchant",false,true
17,8206598,5,5745,"vermillon terne",false,true
18,6966071,5,5746,"marron écorce",false,true
19,7224612,5,5747,"chocolat",false,true
20,5188895,5,5748,"brun fauve",false,true
21,3154203,5,5749,"brun kobold",false,true
22,13209942,5,5750,"brun liège",false,true
23,10055231,5,5751,"brun qiqirn",false,true
24,8084525,5,5752,"brun opo-opo",false,true
25,10651484,5,5753,"brun bouquetin",false,true
26,12940324,5,5754,"orange citrouille",false,true
27,9328667,5,5755,"brun noisette",false,true
28,6570518,5,5756,"feuille-morte",false,true
29,4008205,5,5757,"brun châtaigne",false,true
30,12166281,5,5758,"brun gobelin",false,true
31,9601388,5,5759,"brun schiste",false,true
32,6378053,5,5760,"brun taupe",false,true
33,4141865,5,5761,"brun argile",false,true
34,15455136,6,5762,"ivoire",false,true
35,12034928,6,5763,"ocre uldien",false,true
36,14398551,6,5764,"jaune chocobo",false,true
37,16434731,6,5765,"jaune miel",false,true
38,14982708,6,5766,"jaune milli-maïs",false,true
39,12355588,6,5767,"jaune coeurl",false,true
40,15914864,6,5768,"jaune crème",false,true
41,10847280,6,5769,"jaune Halatali",false,true
42,4207377,6,5770,"raisin sec",false,true
43,5788208,7,5771,"kaki",false,true
44,12303242,7,5772,"vert sylphe",false,true
45,11251796,7,5773,"vert citron",false,true
46,7369510,7,5774,"vert mousse",false,true
47,9149539,7,5775,"vert prairie",false,true
48,4936242,7,5776,"vert olive",false,true
49,3290657,7,5777,"vert viridien",false,true
50,10204003,7,5778,"vert pomme",false,true
51,6652481,7,5779,"vert cactuar",false,true
52,2640684,7,5780,"vert chasseur",false,true
53,4219705,7,5781,"vert otyugh",false,true
54,6255960,7,5782,"vert adamankhélone",false,true
55,3886396,7,5783,"vert Nophica",false,true
56,1976865,7,5784,"vert sapin",false,true
57,9878969,7,5785,"vert céleste",false,true
58,4420210,7,5786,"turquoise",false,true
59,2049606,7,5787,"vert morbol",false,true
60,11715790,8,5788,"bleu glace",false,true
61,8630482,8,5789,"bleu ciel",false,true
62,6586784,8,5790,"bleu horizon",false,true
63,3893382,8,5791,"bleu paon",false,true
64,1850708,8,5792,"bleu de Rhotano",false,true
65,9345964,8,5793,"bleu charron",false,true
66,5199718,8,5794,"bleu céruleum",false,true
67,3094609,8,5795,"bleu guède",false,true
68,1711911,8,5796,"bleu encre",false,true
69,5996480,8,5797,"bleu raptor",false,true
70,3102857,8,5798,"bleu d'Othard",false,true
71,2310514,8,5799,"bleu tempête",false,true
72,1124676,8,5800,"bleu du néant",false,true
73,2568295,8,5801,"bleu royal",false,true
74,1579319,8,5802,"bleu de minuit",false,true
75,3618631,8,5803,"bleu turquin",false,true
76,3222871,8,5804,"bleu marine",false,true
77,8880046,9,5805,"lavande",false,true
78,5326176,9,5806,"colombin",false,true
79,3288123,9,5807,"cassis",false,true
80,12033724,9,5808,"iris",false,true
81,3877437,9,5809,"raisin",false,true
82,16699125,9,5810,"mauve lotus",false,true
83,14457802,9,5811,"mauve colibri",false,true
84,7950956,9,5812,"prune",false,true
85,6697038,9,5813,"byzantium",false,true
86,0,0,0,"",false,true
87,0,0,0,"",false,true
88,0,0,0,"",false,true
89,0,0,0,"",false,true
90,0,0,0,"",false,true
91,0,0,0,"",false,true
92,0,0,0,"",false,true
93,0,0,0,"",false,true
94,0,0,0,"",false,true
95,0,0,0,"",false,true
96,0,0,0,"",false,true
97,0,0,0,"",false,true
98,0,0,0,"",false,true
99,0,0,0,"",false,true
100,0,0,0,"",false,true
101,16382196,10,8732,"blanc immaculé",false,true
102,1973790,10,8733,"noir de jais",false,true
103,16632006,10,8734,"rose pastel",false,true
104,3283225,0,8735,"rouge foncé",false,true
105,2629916,0,8736,"brun foncé",false,true
106,12242858,10,8737,"vert pastel",false,true
107,1387564,0,8738,"vert foncé",false,true
108,9872601,10,8739,"bleu pastel",false,true
109,1187629,0,8740,"bleu foncé",false,true
110,12301786,10,8741,"violet pastel",false,true
111,2301990,0,8742,"violet foncé",false,true
112,10987431,10,8743,"argent brillant",true,false
113,15590973,10,8744,"or brillant",true,false
114,11935051,10,8745,"rouge métallique",true,false
115,14978095,0,8746,"orange métallique",true,false
116,16046662,0,8747,"jaune métallique",true,false
117,2271063,10,8748,"vert métallique",true,false
118,6214886,0,8749,"bleu ciel métallique",true,false
119,5264089,10,8750,"bleu métallique",true,false
120,10708674,0,8751,"violet métallique",true,false
