Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x12],4 [0x3][0x13],5 [0x19][0x16],6 [0x3][0x14],7 [0x7][0x8],8 [0x4][0x10],9 [0x3][0x15]
0,"","",0,0,0,false,0,0,0,0
1,"KONS-Schub","Die Konstitution wird um 2 erhöht.",5130,1,8,false,0,0,2,38
2,"Verbesserter Schutzwall","Verbessert die Schadensreduktion durch „Schutzwall“ auf 20 %.",5201,1,14,false,0,0,0,38
3,"KONS-Schub II","Die Konstitution wird um 4 erhöht.",5131,1,16,false,0,0,4,38
4,"Verlängerte Achtsamkeit","Die Vermeidung kritischer Treffer mit „Achtsamkeit“ wird um 25 Sekunden verlängert.",5208,1,44,false,0,0,0,38
5,"KONS-Schub III","Die Konstitution wird um 6 erhöht.",5132,1,24,false,0,0,6,38
6,"Verbessertes Blitzlicht","„Blitzlicht“ bewirkt zusätzlich „Blind“.\nDauer: 12 Sekunden.",5203,1,20,false,0,0,0,38
7,"Verbesserte Konvaleszenz","Erhöht die LP-Regeneration durch „Konvaleszenz“ auf 30 %.",5206,1,32,false,0,0,0,38
8,"Verbesserter Sentinel","Verbessert die Schadensreduktion durch „Sentinel“ auf 40 %.",5202,1,48,false,0,0,0,38
9,"Halones verstärkter Groll","„Halones Groll“ reduziert STR des Gegners um 10 %.",5207,1,40,false,0,0,0,38
10,"Verbesserter Schildschlag","Die Wirkungsdauer von „Schildschlag“ ist auf 6 Sekunden verlängert.",5204,1,36,false,0,0,0,38
11,"Verlängerte Verwegenheit","Die Wirkungsdauer von „Verwegenheit“ ist auf 30 Sekunden verlängert.",5205,1,28,false,0,0,0,38
12,"KONS-Schub","Die Konstitution wird um 2 erhöht.",5130,3,8,false,0,0,2,44
13,"KONS-Schub II","Die Konstitution wird um 4 erhöht.",5131,3,16,false,0,0,4,44
14,"Blutbad","Verlängert die Wirkungsdauer von „Blutbad“ auf 30 Sekunden.",5252,3,20,false,0,0,0,44
15,"Beschleunigte Vorahnung","Verkürzt die Reaktivierungszeit von „Vorahnung“ auf 90 Sekunden.",5251,3,14,false,0,0,0,44
16,"KONS-Schub III","Die Konstitution wird um 6 erhöht.",5132,3,24,false,0,0,6,44
17,"Verlängerte Verstümmelung","Verlängert die Wirkungsdauer von „Verstümmelung“ auf 24 Sekunden.",5254,3,48,false,0,0,0,44
18,"Verlängerte Tollwut","Verlängert die Wirkungsdauer von „Tollwut“ auf 20 Sekunden.",5253,3,36,false,0,0,0,44
19,"Verlängerte Rohe Gewalt","Verlängert die Wirkungsdauer von „Rohe Gewalt“ auf 5 Sekunden.",5255,3,32,false,0,0,0,44
20,"Beschleunigter Gnadenstoß","Verkürzt die Reaktivierungszeit von „Gnadenstoß“ auf 40 Sekunden.",5257,3,40,false,0,0,0,44
21,"Verlängerter Knochenbrecher","Verlängert die Wirkungsdauer von „Knochenbrecher“ auf 30 Sekunden.",5256,3,28,false,0,0,0,44
22,"Verbesserter Kampfrausch","Erhöht die Steigerung der Maximal-LP durch „Kampfrausch“ auf 20 %.",5258,3,44,false,0,0,0,44
23,"STR-Schub","Die Stärke wird um 2 erhöht.",5110,2,8,false,0,0,2,41
24,"STR-Schub II","Die Stärke wird um 4 erhöht.",5111,2,16,false,0,0,4,41
25,"STR-Schub III","Die Stärke wird um 6 erhöht.",5112,2,24,false,0,0,6,41
