Index,0 [0x7][0x60],1 [0x0][0x5c],2 [0x19][0x64],3 [0x0][0x0],4 [0x0][0x8],5 [0x0][0x10],6 [0x0][0x18],7 [0x0][0x20],8 [0x0][0x28],9 [0x0][0x30],10 [0x0][0x38],11 [0x0][0x40],12 [0x0][0x48],13 [0x7][0x4],14 [0x7][0xc],15 [0x7][0x14],16 [0x7][0x1c],17 [0x7][0x24],18 [0x7][0x2c],19 [0x7][0x34],20 [0x7][0x3c],21 [0x7][0x44],22 [0x7][0x4c],23 [0x0][0x50],24 [0x0][0x54],25 [0x0][0x58]
0,0,"",false,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
1,0,"",false,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","はい","いいえ"
2,0,"WarpRentalChocobo",true,"HOWTO_ABOUT_RENTAL_CHOCOBO","LOGMSG_CHOCOBO_SUMMON_FAIL_FOR_BUDDY","","","","","","","","",81,1337,0,0,0,0,0,0,0,0,"レンタルチョコボ","",""
3,0,"WarpInnLimsaLominsa",true,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
4,0,"WarpInnGridania",true,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
5,0,"WarpInnUldah",true,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
6,0,"WarpHousingEnterHouse",true,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","はい","いいえ"
7,0,"WarpHousingExitHouse",true,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","はい","いいえ"
8,0,"WarpWeddingPlaceDesk",false,"QUEST_WEDDING","ITEM_CHILD_TICKET","","","","","","","","",67114,8699,0,0,0,0,0,0,0,0,"","はい","いいえ"
9,0,"WarpInnIshgard",true,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
