Index,0 [0x5][0x0],1 [0x19][0x3],2 [0x1a][0x3],3 [0x1b][0x3],4 [0x3][0x2]
0,0,false,false,false,0
1,8165,true,false,false,0
2,8166,true,false,false,0
3,7894,true,true,false,1
4,7895,true,true,false,2
5,7896,true,true,false,3
6,7897,true,true,false,4
7,7898,true,true,false,5
8,7899,true,true,false,6
9,7900,true,true,false,7
10,7799,false,true,false,0
11,8157,false,false,true,0
12,8158,false,false,true,0
13,8159,false,false,true,0
14,8160,false,false,true,0
15,8161,false,false,true,0
16,8162,false,false,true,0
17,8163,false,false,true,0
18,0,false,false,false,0
19,0,false,false,false,0
20,0,false,false,false,0
