Index,0 [0x3][0xc],1 [0xb][0x0],2 [0x6][0x8]
0,0,"0, 0, 0, 0",0
1,0,"0, 0, 0, 0",65536
2,0,"15, 0, 0, 0",1118044160
3,0,"15, 0, 0, 0",1200160768
4,0,"15, 0, 0, 0",1175191552
5,0,"0, 0, 0, 0",393216
6,0,"0, 0, 0, 0",589824
7,0,"0, 0, 0, 0",655360
8,0,"0, 0, 0, 0",1179648
9,0,"0, 0, 0, 0",112459776
10,0,"0, 0, 0, 0",1441792
11,0,"0, 0, 0, 0",983040
12,1,"0, 0, 0, 0",59179008
13,1,"0, 0, 0, 0",92602368
14,0,"0, 0, 0, 0",393216
15,0,"0, 0, 0, 0",133234688
16,0,"0, 0, 0, 0",589824
17,0,"0, 0, 0, 0",393216
18,0,"0, 0, 0, 0",1900544
19,0,"0, 0, 0, 0",151060480
20,0,"0, 0, 0, 0",2031616
21,0,"0, 0, 0, 0",0
22,1,"0, 0, 0, 0",90439680
23,1,"0, 0, 0, 0",109838336
24,0,"0, 0, 0, 0",23003136
25,0,"0, 0, 0, 0",33161216
26,0,"0, 0, 0, 0",62259200
27,2,"0, 0, 0, 0",79233024
28,0,"0, 0, 0, 0",64684032
29,0,"0, 0, 0, 0",22085632
30,0,"0, 0, 0, 0",66256896
31,0,"0, 0, 0, 0",45940736
32,0,"0, 0, 0, 0",56033280
33,0,"0, 0, 0, 0",67698688
34,1,"0, 0, 0, 0",74973184
35,0,"0, 0, 0, 0",93519872
36,0,"0, 0, 0, 0",2883584
37,0,"0, 0, 0, 0",2883584
38,2,"0, 0, 0, 0",61669376
39,0,"0, 0, 0, 0",180617216
40,0,"0, 0, 0, 0",128647168
41,0,"0, 0, 0, 0",3014656
42,0,"0, 0, 0, 0",179765248
43,0,"0, 0, 0, 0",182910976
44,0,"0, 0, 0, 0",185008128
45,0,"0, 0, 0, 0",196608000
46,0,"0, 0, 0, 0",205520896
47,0,"0, 0, 0, 0",164495360
48,0,"0, 0, 0, 0",3014656
49,0,"0, 0, 0, 0",206307328
50,2,"0, 0, 0, 0",144572416
51,0,"0, 0, 0, 0",197656576
52,0,"0, 0, 0, 0",197197824
53,0,"0, 0, 0, 0",197984256
54,0,"0, 0, 0, 0",198639616
55,0,"0, 0, 0, 0",198246400
56,0,"0, 0, 0, 0",199229440
57,0,"0, 0, 0, 0",198901760
58,2,"0, 0, 0, 0",1966080
59,0,"0, 0, 0, 0",221577216
60,3,"0, 0, 0, 0",190251008
61,0,"0, 0, 0, 0",215613440
62,0,"0, 0, 0, 0",216006656
63,0,"0, 0, 0, 0",216596480
64,0,"0, 0, 0, 0",222625792
65,0,"0, 0, 0, 0",3801088
66,0,"0, 0, 0, 0",3801088
67,0,"0, 0, 0, 0",215220224
68,1,"0, 0, 0, 0",204275712
69,0,"0, 0, 0, 0",213516288
70,0,"0, 0, 0, 0",228327424
71,0,"0, 0, 0, 0",234881024
72,0,"0, 0, 0, 0",228589568
73,0,"0, 0, 0, 0",234618880
74,0,"0, 0, 0, 0",228851712
75,0,"0, 0, 0, 0",234225664
76,0,"0, 0, 0, 0",235077632
77,0,"11, 1, 0, 0",591790080
78,0,"2, 1, 0, 0",591921152
79,0,"0, 0, 0, 0",224591872
80,0,"0, 0, 0, 0",237305856
81,0,"0, 0, 0, 0",231407616
82,0,"0, 0, 0, 0",239140864
83,0,"0, 0, 0, 0",266010624
84,0,"0, 0, 0, 0",266010624
85,0,"0, 0, 0, 0",266010624
86,0,"0, 0, 0, 0",266010624
87,0,"0, 0, 0, 0",242614272
88,0,"0, 0, 0, 0",211419136
89,0,"0, 0, 0, 0",236847104
90,0,"0, 0, 0, 0",243466240
91,0,"0, 0, 0, 0",257753088
92,0,"0, 0, 0, 0",269746176
93,0,"0, 0, 0, 0",273547264
94,0,"0, 0, 0, 0",275972096
95,0,"0, 0, 0, 0",291569664
96,0,"0, 0, 0, 0",247398400
97,0,"0, 0, 0, 0",321716224
98,0,"0, 0, 0, 0",257818624
99,0,"0, 0, 0, 0",255918080
100,0,"0, 0, 0, 0",255262720
101,0,"0, 0, 0, 0",279117824
102,0,"0, 0, 0, 0",253296640
103,0,"0, 0, 0, 0",252641280
104,0,"0, 0, 0, 0",251396096
105,0,"0, 0, 0, 0",250675200
106,0,"0, 0, 0, 0",246677504
107,0,"0, 0, 0, 0",246743040
108,0,"0, 0, 0, 0",269418496
109,0,"0, 0, 0, 0",258670592
110,0,"0, 0, 0, 0",280559616
111,0,"0, 0, 0, 0",254279680
112,0,"0, 0, 0, 0",1441792
113,0,"0, 0, 0, 0",295436288
114,0,"0, 0, 0, 0",244842496
115,2,"0, 0, 0, 0",1900544
116,0,"0, 0, 0, 0",304283648
117,0,"0, 0, 0, 0",257753088
118,0,"0, 0, 0, 0",245760000
119,0,"0, 0, 0, 0",292028416
120,0,"0, 0, 0, 0",0
