Index,0 [0x4][0x6],1 [0x4][0x8],2 [0x5][0x0],3 [0x5][0x2],4 [0x3][0xa],5 [0x3][0xb],6 [0x3][0xc],7 [0x5][0x4],8 [0x3][0xd],9 [0x3][0xe]
0,0,0,0,0,0,0,0,0,0,0
1,0,256,0,60436,0,128,3,153,0,0
2,0,256,0,60436,0,128,1,151,0,0
3,0,1078,0,60436,4,198,2,548,0,0
4,0,1350,0,60442,3,5,2,564,0,0
5,2,1151,0,60441,2,213,2,52,0,1
6,4,511,0,60441,5,34,2,54,0,1
7,4,656,0,60441,3,12,4,54,0,1
8,0,1305,0,0,5,0,4,83,1,0
9,0,994,0,60442,3,208,2,535,0,0
10,0,861,0,60442,2,73,0,534,0,0
11,0,1024,0,60442,4,0,4,608,0,0
12,0,1192,0,60442,4,0,2,602,0,0
13,0,1024,0,60442,4,0,2,609,0,0
14,0,782,0,60442,4,0,4,876,0,0
15,0,1422,0,60442,2,226,4,871,0,0
16,0,1014,0,60442,4,0,4,872,0,0
17,0,1024,0,60442,4,0,4,608,0,0
18,0,1192,0,60442,4,0,2,602,0,0
19,0,1024,0,60442,4,0,2,609,0,0
20,0,0,0,0,0,0,0,0,0,0
21,0,600,0,0,4,232,4,520,0,0
22,0,482,0,60442,4,64,4,1308,0,0
23,0,124,0,0,4,0,4,1309,0,0
24,149,124,0,60447,4,32,4,1353,0,1
25,0,1024,0,0,2,88,4,1315,0,0
26,0,1024,0,0,2,88,4,1314,0,0
27,0,1024,0,0,2,88,4,1313,0,0
28,0,1024,0,0,3,132,4,1304,0,0
29,2,1024,0,60441,4,86,3,52,0,1
30,3,1210,0,60441,4,200,3,53,0,1
31,12,1025,0,60441,4,88,3,29,0,1
32,0,0,0,60441,0,0,0,0,0,0
33,0,0,0,60441,0,0,0,0,0,0
34,73,1024,0,60441,4,48,3,698,0,1
35,0,0,0,60441,0,0,0,0,0,0
36,20,950,0,60441,3,255,1,42,0,1
37,20,950,0,60441,3,255,1,42,0,1
38,20,950,0,60441,3,255,1,42,0,1
39,0,1140,0,0,5,208,3,247,1,0
40,0,1095,0,0,4,204,4,243,1,0
41,0,798,0,0,4,164,4,250,1,0
42,0,893,0,0,1,232,4,254,1,0
43,0,1082,0,0,4,145,4,258,1,0
44,40,653,0,60447,2,93,2,850,0,1
45,0,779,0,0,2,159,4,674,0,0
46,40,1145,0,60446,4,13,4,850,0,1
47,0,1094,0,60442,5,12,4,692,0,0
48,43,793,0,60447,4,58,3,855,0,1
49,42,793,0,60446,4,53,2,854,0,1
50,43,1202,0,60446,3,100,4,855,0,1
51,0,823,0,60442,3,187,2,428,0,0
52,0,1167,0,60442,3,255,1,447,0,0
53,56,1412,0,60442,4,9,1,441,0,1
54,0,1335,0,0,3,112,1,449,0,0
55,102,1382,0,60442,4,2,1,445,0,1
56,0,1156,0,60442,4,1,2,456,0,0
57,101,1470,0,60446,4,108,2,444,0,1
58,0,1320,0,60442,3,184,2,1332,0,0
59,9,736,0,60453,2,176,3,378,0,3
60,13,1209,0,60441,3,26,4,40,0,1
61,0,975,0,60442,3,191,2,641,0,0
62,14,894,0,60447,4,37,3,373,0,1
63,0,969,0,60442,5,151,3,841,0,0
64,0,0,0,0,0,0,0,0,0,0
65,0,668,0,60442,2,111,4,843,0,0
66,0,1047,0,60456,5,155,2,476,0,0
67,20,999,0,60441,2,114,1,42,0,1
68,0,1006,0,60425,4,40,3,0,0,0
69,0,1006,0,60425,4,40,3,0,0,0
70,0,1006,0,60425,4,40,3,0,0,0
71,16,1074,0,60441,5,105,3,31,0,1
72,15,1149,0,60441,4,0,3,30,0,1
73,0,1006,0,60442,3,214,2,731,0,0
74,0,1358,0,0,4,126,3,161,1,0
75,0,1277,0,0,4,244,3,164,1,0
76,0,1677,0,0,6,77,3,167,1,0
77,0,1908,0,0,5,60,3,170,1,0
78,0,442,0,0,4,215,3,174,1,0
79,0,520,0,0,2,110,3,175,1,0
80,0,1666,0,60442,2,254,4,661,0,0
81,0,1062,0,60442,4,60,3,686,0,0
82,0,1283,0,60442,7,154,1,791,0,0
83,0,1085,0,60425,4,58,1,0,0,0
84,0,1030,0,60442,3,252,4,851,0,0
85,0,0,0,0,0,0,0,0,0,0
86,16,1003,0,60441,2,170,4,31,0,1
87,0,944,0,0,4,238,4,886,0,0
88,0,1024,0,60442,4,62,4,895,0,0
89,0,1024,0,0,4,202,3,899,0,0
90,0,1024,0,0,4,202,3,900,0,0
91,0,1024,0,0,4,202,3,901,0,0
92,0,1024,0,0,4,100,3,902,0,0
93,0,992,0,60442,2,238,4,902,0,0
94,0,0,0,0,0,0,0,0,0,0
95,0,1024,0,60442,4,0,2,934,0,0
96,0,1106,0,60442,3,148,2,928,0,0
97,132,938,0,60446,4,2,1,937,0,1
98,0,1024,0,60442,4,0,4,929,0,0
99,0,1024,0,60442,4,0,1,930,0,0
100,0,1024,0,60442,4,0,3,931,0,0
101,0,1255,0,60442,3,228,1,687,0,0
102,0,1276,0,0,4,254,4,380,1,0
103,0,1024,0,60442,5,174,4,880,0,0
104,0,1024,0,60442,5,82,4,805,0,0
105,0,511,0,0,3,197,4,809,0,0
106,0,1106,0,0,3,20,2,796,0,0
107,0,1024,0,60442,4,236,1,877,0,0
108,0,443,0,0,3,21,4,409,1,0
109,25,1025,0,60441,4,116,3,67,0,1
110,0,802,0,0,6,52,4,857,0,0
111,0,802,0,0,6,116,3,861,0,0
112,159,895,0,60446,6,51,4,486,0,1
113,0,1024,0,60442,4,100,4,1356,0,0
114,0,1024,0,60442,2,111,4,1357,0,0
115,0,1024,0,60442,2,111,4,1358,0,0
116,0,1024,0,60442,2,111,4,1359,0,0
117,0,1024,0,60442,2,111,4,1360,0,0
118,0,1024,0,60442,2,111,4,1361,0,0
119,141,653,0,60447,2,93,2,850,0,1
120,0,779,0,0,2,159,4,674,0,0
121,141,1145,0,60446,4,13,4,850,0,1
122,0,1369,0,60442,3,192,4,1343,0,0
123,151,922,0,60446,3,84,1,1335,0,1
124,0,1024,0,60573,2,102,4,1364,0,0
125,0,1468,0,60442,3,232,2,1378,0,0
126,0,830,0,60442,4,128,1,664,0,0
127,0,912,0,60442,4,0,4,1337,0,0
128,0,1199,0,0,3,196,4,1394,0,0
129,0,1283,0,60442,7,154,1,791,0,0
130,0,622,0,0,6,193,1,1433,0,0
131,11,995,0,62621,5,99,0,28,0,1
132,13,866,0,62661,5,6,0,40,0,1
133,2,971,0,62641,3,30,0,52,0,1
134,53,1024,0,62681,4,0,0,63,0,1
135,25,838,0,62701,3,69,0,67,0,1
136,87,721,0,60442,4,90,2,22,0,1
137,0,0,0,0,0,0,0,0,0,0
138,183,1019,0,60447,3,255,4,856,0,1
139,182,1041,0,60446,4,0,3,855,0,1
140,0,1024,0,0,3,116,4,1411,0,0
141,0,1024,0,0,7,90,4,1418,0,0
142,0,1024,0,0,3,72,4,1408,0,0
143,0,1024,0,0,4,156,4,1409,0,0
144,0,1266,0,0,3,138,4,1454,0,0
145,0,1115,0,60412,4,19,2,0,0,0
146,0,959,0,60412,4,3,2,0,0,0
147,0,765,0,60430,4,217,2,0,0,0
148,0,1024,0,60442,2,223,4,1501,0,0
149,0,775,0,60442,3,253,3,1448,0,0
150,0,986,0,60442,4,3,3,872,0,0
151,0,1423,0,60442,3,249,3,1450,0,0
152,0,1024,0,60442,6,216,3,400,0,0
153,202,1002,0,60446,3,250,3,1526,0,1
154,201,829,0,60447,3,80,3,1525,0,1
155,202,1136,0,60447,3,31,3,1526,0,1
156,0,1212,0,60583,3,226,2,1538,0,0
157,0,1170,0,60583,2,63,2,1538,0,0
158,0,1160,0,60583,3,204,2,1538,0,0
159,0,1204,0,60412,4,60,2,0,0,0
160,0,506,0,60412,3,129,2,0,0,0
161,0,1483,0,60311,6,202,2,593,0,0
162,0,1546,0,60311,4,66,1,593,0,0
163,0,976,0,60311,3,63,1,2238,0,0
164,0,1276,0,60311,6,25,1,2238,0,0
165,0,425,0,60311,5,204,2,593,0,0
166,0,425,0,60412,1,246,2,0,0,0
167,228,1232,0,60446,5,80,4,1615,0,1
168,227,1314,0,60447,5,60,3,1616,0,1
169,228,1011,0,60447,2,253,3,1615,0,1
170,232,892,0,60447,3,89,3,1604,0,1
171,231,889,0,60446,3,227,4,1603,0,1
172,232,1001,0,60441,3,255,1,1604,0,1
173,233,1198,0,60441,5,197,3,1626,0,1
174,0,740,0,0,5,240,4,1539,0,0
175,0,1030,0,0,4,116,1,1629,0,0
176,0,988,0,0,5,10,4,1634,0,0
177,0,1024,0,0,4,40,4,1636,0,0
178,0,1030,0,60442,4,86,3,1639,0,0
179,0,1024,0,0,4,132,4,1645,0,0
180,212,1361,0,62721,4,13,0,2000,0,1
181,215,942,0,62741,4,34,0,2100,0,1
182,0,1328,0,60412,4,27,2,0,0,0
183,249,1125,0,60446,3,42,4,1559,0,1
184,248,1127,0,60447,3,52,3,1558,0,1
185,0,1200,0,60442,3,252,3,1565,0,0
186,0,850,0,60442,3,252,3,1567,0,0
187,0,250,0,60442,3,252,3,1617,0,0
188,0,836,0,0,4,72,2,1531,1,0
189,0,1032,0,0,4,120,2,1545,1,0
190,0,1052,0,0,4,200,2,1546,1,0
191,0,952,0,0,4,188,2,1547,1,0
192,0,1320,0,0,4,176,2,1548,1,0
193,0,1710,0,0,4,202,4,1573,1,0
194,0,1164,0,60412,4,5,2,0,0,0
195,0,1080,0,0,2,233,4,1583,0,0
