Index,0 [0x0][0x4],1 [0x3][0xa],2 [0x3][0xb],3 [0x19][0xd],4 [0x3][0xc],5 [0x5][0x8],6 [0x0][0x0]
0,"",255,255,false,0,0,""
11,"MOVE_AND_STEER",255,255,false,1,1,"Steer"
12,"MOVE_FORE",255,255,false,1,2,"Move Forward"
13,"MOVE_BACK",255,255,false,1,3,"Move Back / Walk Backwards"
14,"MOVE_LEFT",255,255,false,1,4,"Move Left / Turn Left"
15,"MOVE_RIGHT",255,255,false,1,5,"Move Right / Turn Right"
16,"MOVE_STRIFE_L",255,255,false,1,6,"Strafe Left"
17,"MOVE_STRIFE_R",255,255,false,1,7,"Strafe Right"
18,"JUMP",255,255,false,1,8,"Jump"
19,"WALK",255,255,false,1,9,"Toggle between Run/Walk"
20,"AUTORUN_KEY",255,255,false,1,10,"Turn On/Off Auto-run"
21,"SWARD",255,255,false,1,11,"Draw/Sheathe Weapon"
22,"CAMERA_FOCUS",255,255,false,1,12,"Lock Camera on Target"
23,"MOVE_DESCENT",255,255,false,1,13,"Flight - Descend"
24,"MOVE_RETENTION",255,255,false,1,14,"Flight - Ascend"
25,"MOVE_ANGLE_RISING",255,255,false,1,15,"Flight - Angular Ascent"
26,"MOVE_ANGLE_DESCENT",255,255,false,1,16,"Flight - Angular Descent"
27,"",255,255,false,0,0,""
28,"",255,255,false,0,0,""
29,"",255,255,false,0,0,""
30,"",255,255,false,0,0,""
31,"",255,255,false,0,0,""
32,"",255,255,false,0,0,""
33,"",255,255,false,0,0,""
34,"",255,255,false,0,0,""
35,"",255,255,false,0,0,""
36,"",255,255,false,0,0,""
37,"",255,255,false,0,0,""
38,"",255,255,false,0,0,""
39,"",255,255,false,0,0,""
40,"",255,255,false,0,0,""
41,"",255,255,false,0,0,""
42,"",255,255,false,0,0,""
43,"",255,255,false,0,0,""
44,"",255,255,false,0,0,""
45,"",255,255,false,0,0,""
46,"",255,255,false,0,0,""
47,"",255,255,false,0,0,""
48,"",255,255,false,0,0,""
49,"",255,255,false,0,0,""
51,"CAMERA_UP",255,255,false,1,17,"Point Camera Up"
52,"CAMERA_DOWN",255,255,false,1,18,"Point Camera Down"
53,"CAMERA_LEFT",255,255,false,1,19,"Point Camera to the Left"
54,"CAMERA_RIGHT",255,255,false,1,20,"Point Camera to the Right"
55,"CAMERA_MODE",255,255,false,1,21,"Toggle between 1st/3rd Person Mode"
56,"CAMERA_BACKWARD",255,255,false,1,22,"Flip Camera"
57,"CAMERA_ZOOMIN",255,255,false,1,23,"Zoom Camera In / Previous Page"
58,"CAMERA_ZOOMOUT",255,255,false,1,24,"Zoom Camera Out / Next Page"
59,"CAMERA_LOAD",255,255,false,1,25,"Return Camera to Saved Position"
60,"CAMERA_SAVE",255,255,false,1,26,"Save Current Camera Position"
61,"CAMERA_RESET",255,255,false,1,27,"Return Camera to Default Position"
62,"CAM_TILT_UP",255,255,false,1,28,"Tilt Camera Up"
63,"CAM_TILT_DOWN",255,255,false,1,29,"Tilt Camera Down"
64,"CAMERA_LOOKING",255,255,false,1,30,"Face Camera"
65,"",255,255,false,0,0,""
66,"",255,255,false,0,0,""
67,"",255,255,false,0,0,""
68,"",255,255,false,0,0,""
69,"",255,255,false,0,0,""
70,"",255,255,false,0,0,""
71,"",255,255,false,0,0,""
72,"",255,255,false,0,0,""
73,"",255,255,false,0,0,""
74,"",255,255,false,0,0,""
75,"",255,255,false,0,0,""
76,"",255,255,false,0,0,""
77,"",255,255,false,0,0,""
78,"",255,255,false,0,0,""
79,"",255,255,false,0,0,""
80,"",255,255,false,0,0,""
81,"",255,255,false,0,0,""
82,"",255,255,false,0,0,""
83,"",255,255,false,0,0,""
84,"",255,255,false,0,0,""
85,"",255,255,false,0,0,""
86,"",255,255,false,0,0,""
87,"",255,255,false,0,0,""
88,"",255,255,false,0,0,""
89,"",255,255,false,0,0,""
90,"",255,255,false,0,0,""
91,"",255,255,false,0,0,""
92,"",255,255,false,0,0,""
93,"",255,255,false,0,0,""
94,"",255,255,false,0,0,""
95,"",255,255,false,0,0,""
96,"",255,255,false,0,0,""
97,"",255,255,false,0,0,""
98,"",255,255,false,0,0,""
99,"",255,255,false,0,0,""
103,"TARGET_NEXT",255,255,false,2,1,"Cycle through Enemies (Nearest to Farthest)"
104,"TARGET_PREV",255,255,false,2,2,"Cycle through Enemies (Farthest to Nearest)"
105,"TARGET_P1",255,255,false,2,3,"Target Self"
106,"TARGET_P2",255,255,false,2,4,"Target Member 2 in Party List"
107,"TARGET_P3",255,255,false,2,5,"Target Member 3 in Party List"
108,"TARGET_P4",255,255,false,2,6,"Target Member 4 in Party List"
109,"TARGET_P5",255,255,false,2,7,"Target Member 5 in Party List"
110,"TARGET_P6",255,255,false,2,8,"Target Member 6 in Party List"
111,"TARGET_P7",255,255,false,2,9,"Target Member 7 in Party List"
112,"TARGET_P8",255,255,false,2,10,"Target Member 8 in Party List"
113,"TARGET_PET",255,255,false,2,11,"Target Pet/Familiar"
114,"TARGET_TTOT",255,255,false,2,12,"Target the Target of Your Current Target (Assist Target)"
115,"TARGET_LASTTARGET",255,255,false,2,13,"Target Last Target"
116,"TARGET_LASTENEMY",255,255,false,2,14,"Target Last Enemy"
117,"TARGET_LASTATTACKER",255,255,false,2,15,"Target Enemy Attacking You"
118,"TARGET_CLOSEST_ENEMY",255,255,false,2,16,"Target Nearest Enemy"
119,"TARGET_CLOSEST_PC",255,255,false,2,17,"Target Nearest PC"
120,"TARGET_CLOSEST_NPC",255,255,false,2,18,"Target Nearest NPC or Object"
121,"TARGET_FOCUS",255,255,false,2,19,"Set Focus Target"
122,"TARGET_SELECT",255,255,false,2,20,"Target Current Focus Target"
123,"FACE",255,255,false,2,21,"Face Target"
124,"CIRCLE_ALL",255,255,false,2,22,"Set Targeting Mode to All"
125,"CIRCLE_ENEMY",255,255,false,2,23,"Set Targeting Mode to PC Only"
126,"CIRCLE_PARTY",255,255,false,2,24,"Set Targeting Mode to Party Only"
127,"CIRCLE_PC",255,255,false,2,25,"Set Targeting Mode to Enemy Only"
136,"TARGET_ENEMY_LIST_UP_KEY",255,255,false,2,26,"Cycle Up through Enmity List"
137,"TARGET_ENEMY_LIST_DOWN_KEY",255,255,false,2,27,"Cycle Down through Enmity List"
138,"TARGET_ALLIANCE_NEXT_KEY",255,255,false,2,28,"Cycle through Alliance List (Nearest to Farthest)"
139,"TARGET_ALLIANCE_PREV_KEY",255,255,false,2,29,"Cycle through Alliance List (Farthest to Nearest)"
140,"TARGET_ALLIANCE1_NEXT",255,255,false,2,30,"Cycle through Alliance List 1 (Nearest to Farthest)"
141,"TARGET_ALLIANCE1_PREV",255,255,false,2,31,"Cycle through Alliance List 1 (Farthest to Nearest)"
142,"TARGET_ALLIANCE2_NEXT",255,255,false,2,32,"Cycle through Alliance List 2 (Nearest to Farthest)"
143,"TARGET_ALLIANCE2_PREV",255,255,false,2,33,"Cycle through Alliance List 2 (Farthest to Nearest)"
144,"TARGET_ALLIANCE1_1",255,255,false,2,34,"Target Alliance 1, Member 1"
145,"TARGET_ALLIANCE1_2",255,255,false,2,35,"Target Alliance 1, Member 2"
146,"TARGET_ALLIANCE1_3",255,255,false,2,36,"Target Alliance 1, Member 3"
147,"TARGET_ALLIANCE1_4",255,255,false,2,37,"Target Alliance 1, Member 4"
148,"TARGET_ALLIANCE1_5",255,255,false,2,38,"Target Alliance 1, Member 5"
149,"TARGET_ALLIANCE1_6",255,255,false,2,39,"Target Alliance 1, Member 6"
