Index,0 [0x19][0x9],1 [0x3][0x8],2 [0x0][0x0],3 [0x7][0x4]
0,false,0,"",0
1,false,0,"Producer",61531
2,false,0,"Game Master",61524
3,false,0,"Game Master",61532
4,false,0,"Game Master",61533
5,false,0,"Disconnected",61503
6,true,1,"Waiting for Friend List Approval",61501
7,true,2,"Waiting for Linkshell Approval",61501
8,true,3,"Waiting for Free Company Approval",61501
9,true,4,"Not Found",61502
10,true,5,"Offline",61504
11,true,6,"Busy",61509
12,true,7,"PvP",61510
13,true,8,"Playing Triple Triad",61539
14,true,9,"Viewing Cutscene",61508
15,true,11,"Using a Chocobo Porter",61534
16,true,12,"Away from Keyboard",61511
17,true,13,"Looking for Repairs",61512
18,true,14,"Looking to Repair",61513
19,true,15,"Looking to Meld Materia",61514
20,true,16,"Looking for Party",61515
21,true,17,"",61516
22,true,18,"Waiting for Duty Finder",61517
23,true,19,"Recruiting Party Members",61536
24,true,26,"New Adventurer",61523
25,true,20,"Alliance Leader",61518
26,true,21,"Alliance Party Leader",61519
27,true,22,"Alliance Party Member",61520
28,true,23,"Party Leader",61521
29,true,24,"Party Member",61522
30,true,25,"Another World",61535
31,false,0,"Sharing Duty",61506
32,false,0,"Similar Duty",61507
33,true,10,"In Duty",61510
34,true,28,"Trial Adventurer",61525
35,false,0,"Free Company",0
36,false,0,"Grand Company",0
37,true,27,"Online",61505
