Index,0 [0x6][0x8],1 [0x3][0xc],2 [0x3][0xd],3 [0x2][0xe],4 [0x0][0x0],5 [0x0][0x4]
0,0,0,0,0,"",""
1,16,10,1,-3,"納刀する/抜刀する","納刀/抜刀の状態を切り替えます。"
2,1,13,1,0,"マイキャラクター","キャラクターのパラメータを確認できます。装備の変更やボーナスパラメータの設定、称号の変更などもここで行えます。"
3,4,11,1,-2,"アクションリスト","キャラクターが修得しているアクションを確認できます。アクションのホットバーへの登録や、他クラスで修得したアクションの追加もここで行います。"
4,5,32,2,0,"ジャーナル","進行中、または完了したクエストやリーヴの情報を確認できます。クエストの目的リストの切り替えや、受注したリーヴの開始/破棄などはここで行います。"
5,47,34,2,2,"コンテンツ情報一覧","リーヴの受注権発行までの時間や、ダンジョンの再挑戦までの時間など、コンテンツにかかわるタイマー情報を確認できます。"
6,6,21,1,8,"アチーブメントリスト","アチーブメントの一覧です。アチーブメントの達成状況や取得条件、得られる報酬などをここで確認できます。"
7,23,43,3,1,"採集手帳","ギャザラーが採掘、砕岩、伐採、草刈で得られるアイテムの一覧です。目的のアイテムを採集できるエリアの情報もここから確認できます。"
8,21,40,3,-2,"討伐手帳","ファイター・ソーサラークラスの討伐目標となるモンスターの一覧です。討伐対象モンスターの討伐数や生息地、獲得できる経験値報酬などを確認できます。"
9,22,42,3,0,"製作手帳","クラフターが製作できるアイテムやレシピの一覧です。アイテムの製作はここから行います。"
10,2,15,1,2,"所持品","所持しているアイテムやクリスタルを確認できます。アイテムの装備や使用、並べ替えなどはここから行えます。"
11,3,31,2,-1,"イベントアイテムリスト","所持しているイベントアイテムを確認できます。イベントアイテムと結びつくクエストを破棄するとそのイベントアイテムも破棄されます。"
12,17,60,5,0,"パーティメンバー","パーティメンバーの一覧です。並び順の変更や、パーティからの離脱/解散などはここから行えます。"
13,18,75,6,4,"フレンドリスト管理","フレンド登録したキャラクターの一覧です。ここから簡単にTellやパーティ勧誘などを実行できます。"
14,19,76,6,5,"ブラックリスト管理","ブラックリストに登録したキャラクターの一覧です。ブラックリストに登録すると、そのキャラクターのチャットは見えなくなり、トレードや様々な勧誘も受け付けなくなります。"
15,20,70,6,-1,"プレイヤーサーチ","様々な条件を指定して他のキャラクターを検索できます。"
16,7,50,4,0,"マップ","パーティメンバーや自分の位置、エーテライト、ショップ、クエストの目的地などを確認できます。縮尺の変更や他エリアの情報も確認できます。"
17,9,71,6,0,"エモートアクション","キャラクターの感情を表現するエモートの一覧です。適度に使って他プレイヤーとのコミュニケーションを円滑にすすめましょう。"
18,10,62,5,2,"ターゲットマーカー","ターゲットの頭上にマーキング用アイコンを表示できます。"
19,29,83,7,1,"システムコンフィグ","サウンドやグラフィックなどのシステム項目を、プレイヤーの環境にあわせて自由に設定できます。"
20,28,86,7,4,"キーバインド変更","様々なショートカット機能に割り当てるキーを自由に設定できます。"
21,30,85,7,3,"マクロ管理","テキストコマンドを自由に組み合わせてマクロを作成できます。よく使うテキストコマンドは、マクロ化してホットバーに登録すると便利です。"
22,31,84,7,2,"HUDレイアウト変更","画面に常時表示されるウィンドウ（HUD）の表示位置を変更できます。"
23,27,87,7,6,"ログアウトする","ログアウトしてタイトル画面に戻ります。"
24,26,88,7,7,"ゲームを終了する","ログアウトしてゲームを終了します。"
25,32,14,1,1,"アーマリーチェスト","入手した装備品は自動的にアーマリーチェストに格納されます。装備品は部位ごとに整理され、いつでも自由にその装備に変更できます。"
26,0,0,0,0,"",""
27,8,72,6,1,"フリーカンパニー","所属するフリーカンパニーの様々な情報を確認できます。フリーカンパニーに所属していない場合は利用できません。"
28,11,74,6,3,"リンクシェル","所属するすべてのリンクシェルのメンバーを確認できます。"
29,24,44,3,2,"釣り手帳","漁師クラスが釣った魚や釣り場を記した一覧です。様々な地域で釣りをすることで記載内容が追加されていきます。"
30,33,81,7,-1,"HowToリストを開く","過去に確認したHowToの一覧です。"
31,25,30,2,-2,"おすすめコンテンツ","周囲で発生している、おすすめのクエストを確認できます。"
32,13,80,7,-2,"サポート&ニュース","サポートからのお知らせの確認や、様々なお問い合わせの窓口となります。"
33,46,33,2,1,"コンテンツファインダー","ダンジョンやギルドオーダーなどのパーティコンテンツに、自動的に編成されたパーティで挑戦します。コンテンツの内容や参加条件の確認、コンテンツへの参加申請が行えます。"
34,48,82,7,0,"キャラクターコンフィグ","キャラクターの移動や表示情報など、キャラクターに関わるコンフィグ項目を自由に設定できます。"
35,0,0,4,1,"テレポ","訪れたことのあるエーテライトに、ギルを対価として瞬間的に移動します。パーティメンバーと共に移動することもできます。"
36,0,0,4,2,"デジョン","ホームポイントに設定したエーテライトに、対価なしで瞬間的に移動します。ただし一度実行したあとは、15分間実行することができません。"
37,0,0,7,5,"ライセンス表示","「ファイナルファンタジーXIV」のライセンス項目を確認します。"
38,0,0,0,0,"手帳","（ヘルプ無し）"
39,0,0,0,0,"ソーシャル","（ヘルプ無し）"
40,0,0,0,0,"システム","（ヘルプ無し）"
41,50,45,3,3,"魚類図鑑","漁師クラスが釣った魚についての詳細を記した図鑑です。多くの魚を釣ることで記載内容が追加されていきます。"
42,49,16,1,3,"バディ","バディの状態や残り時間、利用できるアクションなどを確認できます。バディの育成もここから行います。"
43,0,0,0,0,"コンテンツ","（ヘルプ無し）"
44,52,73,6,2,"ハウジング","ハウジングに関するメニューを開きます。"
