Index,0 [0x0][0x0],1 [0x6][0x4],2 [0x3][0xe],3 [0x3][0xf],4 [0x6][0x8],5 [0x19][0x10],6 [0x5][0xc]
0,"",0,0,0,0,true,0
1,"Mündlichen Überlieferungen zufolge können diese schleimigen Algen auf hoher See angeblich bis zu einem Malm lang werden.",4776,4,0,128,true,0
2,"Diesen braunen Krustentieren wird nachgesagt, dass sie so leicht zu fangen sind, dass man nicht einmal einen Köder braucht. Sie schnappen nach allem, was ihnen vor die Scheren kommt.",4925,2,2,148,true,0
3,"Kopf, Bauch und Schwanzflosse dieses Fisches nehmen während der Brutzeit hell leuchtende Farben an. Er ist daher vor allem als Zierfisch überaus beliebt.",4926,3,2,134,true,0
4,"Dieser Fisch ist wesentlicher Bestandteil des Speiseplans vieler Raubfische, die in der Nahrungskette über ihm angesiedelt sind. Besonders Hochseeangler kennen sich daher sehr gut mit seinen Eigenheiten aus.",4869,3,0,134,true,0
5,"Seitdem ein Qiqirn auf dem Deck eines Schiffes ein verwestes Exemplar dieses kleinen Salzwasserfisches gefunden und für exquisit befunden hat, steigt dessen Nachfrage unaufhörlich. Mittlerweile aber eher die in Salz eingelegte Variante.",4870,3,0,134,true,0
6,"Wenn man einem Volksmärchen aus Coerthas Glauben schenken mag, war dieser Süßwasserfisch früher ein wahrer Sonnenanbeter, wurde aber aufgrund seiner Arroganz von den Göttern zu einem Leben nahe dem dunklen Seeboden verbannt, wo er seither sein Dasein fristet.",4927,4,2,148,true,0
7,"Dieser Katfisch reibt seine Rückenflosse an seinen Gräten, wenn er von einem Angler gefangen wird, was einen leisen aber distinktiven Ton verursacht, der sich wie ein Klagegeräusch anhört. Er löst damit bei so manchem Angler ein starkes Gefühl des Mitleids aus. ",4928,4,2,134,true,0
8,"Diesen kleinen Krebs findet man sehr oft als Zutat in Eintöpfen oder als Köder an Angelhaken vor.",4871,4,0,134,true,0
9,"Diese weißen Krustentiere leben für gewöhnlich dort, wo sie nicht der Sonne ausgesetzt sind. Speziell nach der Häutung sind ihre Körper sogar fast durchsichtig. ",4929,5,2,148,true,0
10,"Obwohl diese weiße Koralle oft aussieht wie ein Teil des Riffgesteins, ist sie doch eindeutig ein lebender Organismus. Aufgrund ihres entzückenden, weißen Glanzes wird sie oft als Juwel der See bezeichnet.",5460,5,0,134,true,0
11,"Diese Süßwasserforelle ist ein perfekter Einstieg in die Welt des Forellenfischens. Das heißt aber noch lange nicht, dass erfahrene Angler sie nicht genauso zu schätzen wissen.",4930,5,2,134,true,0
12,"Laut Naturforschern aus Sharlayan durchlebt diese Qualle neun verschiedene Entwicklungsstadien.",4872,6,0,134,true,0
13,"Diese Grundel schwimmt gerne Flüsse hinauf, um zu laichen. Sie kann je nach Fanggrund die mannigfaltigsten Färbungen aufweisen. ",4931,6,2,134,true,0
14,"Diese schneckenartige Kreatur gilt nicht unbedingt als Inbegriff der Schönheit, wird aber auf der Insel Mazlaya und der östlichen Inselnation von Thavnair äußerst gerne in getrockneter Form verzehrt.",4873,7,0,135,true,0
15,"Dieser Hering dreht seine Runden in Hafennähe, weshalb er auch so leicht gefangen werden kann. In Ufernähe der Hafenstadt Limsa Lominsa scheint es ihm am besten zu gefallen.",4874,7,0,134,true,0
16,"Dieser äußerst aggressive Fisch hat schon so manches Mal an Tieren oder sogar Kindern genagt, die sich in seine Hoheitsgewässer gewagt haben. Als Schmorbraten zubereitet ist er allerdings eher weniger gefährlich, dafür aber umso delikater.",4932,7,2,148,true,0
17,"Die Larven dieser tiefroten Krustentiere sind überraschenderweise blau. In den fortgeschritteneren Wachstumsphasen setzt sich dann allerdings der Rotton immer weiter durch.",4933,8,2,137,true,0
18,"Eine schmackhafte Muschel, die besonders in küstennahen Gebieten in allerlei Rezepten der häuslichen Küche auftaucht.",4875,8,0,135,true,0
19,"Dieser Süßwasserfisch versteckt sich jede Nacht in selbst gegrabenen Löchern vor Raubfischen. Deshalb wird er in La Noscea auch „Feiglingsfisch“ genannt.",4934,8,2,134,true,0
